premise	hypothesis	label
The girls are taking a nap.	These girls are having a great time looking for seashells.	2
A woman is flying crosscountry.	A man is playing the saxophone in the street and some people are sitting on the curb next to the street by him.	2
Three people are having a meeting.	A standing man talks to a seated woman while on some sort of vehicle.	2
a small boy runs through the corn field	A young boy with close-cropped hair, wearing a red robe, is holding a black kettle as someone is about to pour something in it.	2
People and a baby riding the bus.	Four people and a baby are crossing the street at a crosswalk.	2
The women are having a conversation at the office,	Two woman wearing dresses are standing outside on the grass while one of them is holding a cup and saucer.	2
The flower is blue	A woman leans over a small fence to take a picture of a yellow flower.	2
A man stirs the stew.	A group of four children pose on a muddy beach, smiling and making faces.	2
The men are at a baseball game.	Several men at a bar watch a sports game on the television.	2
A woman chastises another.	Two roadside workers with lime green safety jackets, white hard hats and gloves on with construction cones in the background	2
A woman is asleep while moonlight filters in the window.	A woman in a black outfit lies face first on a yoga mat; several paintings are hanged on the wall, and the sun shines through a large window near her.	2
The kids crawl in sand.	Children in yellow sports uniforms climbing a tower.	2
There is only one dog at the beach.	Some dogs are running on a deserted beach.	2
A woman is ironing red pants.	A woman wearing a bright orange blouse is weaving.	2
A group of people are inside watching a hockey game.	A group of people are in a rowboat in the ocean surrounded by seagulls.	2
A woman is riding a bicycle.	A woman in a brown shirt is kneeling in the street.	2
the side of the road is empty.	Men sitting on the side of a brick road.	2
A dog is avoiding the water.	A black dog with a blue collar is jumping into the water.	2
Everyone is sitting.	A young girl in a yellow top and a flowered skirt is standing on a blanket and biting on a toy.	2
The children are playing mini golf.	many children play in the water.	2
The kids are singing in a choir	A group of kids is splashing in deep water nearby a rock formation.	2
A woman climber attempts to pull herself up	a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage.	2
A man is swimming in the ocean.	a man with a red headband climbing a rock cliff looming over greenery.	2
Two long-haired young women.	Two formally dressed, bald older women	2
A rich man holding a rolex	A homeless man pushes an overfilled plastic blue shopping cart.	2
The shoemaker is getting ready for his 16th birthday.	an old shoemaker in his factory	2
A man hits on a woman.	A blond woman speaks with a group of young dark-haired female students carrying pieces of paper.	2
Woman is keeping the paper to herself.	The woman in the black shirt hands papers to the children surrounding her.	2
The girl is sitting on the grass.	Girl in red jumping up	2
The ladies are riding bikes.	3 ladies with numbers on their shirts running.	2
A boy is making a sub sandwich in his kitchen.	A young boy walks on a pipe that stretches over water.	2
Nobody is balancing.	A young boy in green shorts balances on a pipe above a river.	2
A girl with a ponytail is riding a bike at a park.	A young man waring black and carrying a skateboard looks at an outdoor skateboard park.	2
A young boy is playing soccer.	Young boy wearing pajamas lying down in bed and sleeping on a colorful striped pillow.	2
He is wearing the newspaper on his head.	A man in a blue collared t-shirt posing at someone while holding a hebrew newspaper.	2
Nobody is jumping.	A bearded man jumps in the snow with the ocean in the background and an orange, recumbent bike parked near a road sign.	2
The children are doing chores.	Four children are playing in some water.	2
There are boys and girl in the water.	Four young girls playing in the water.	2
The man is walking away.	The man in the black t-shirt is trying to throw something.	2
A young boy juggling three red balls while blindfolded.	One young boy in a yellow long-sleeved shirt and jeans sitting down, with five adults in front of him, one operating a video camera.	2
The wave missed the boys.	Four boys are about to be hit by an approaching wave.	2
A lady is sleeping on a couch	A lady is helping another woman work in a silver compartment, which is most likely related to nurse-work.	2
A woman puts on makeup	One man, wearing a blue jacket, is kicking another man, wearing a red jacket.	2
Mob gathers as flutes fight to the death	"Many people gathered in a room with several people on stage with instruments and the words ""The Early November"" on the wall."	2
People leave as the concert is decides to charge per note	"Many people gathered in a room with several people on stage with instruments and the words ""The Early November"" on the wall."	2
The players are taking rest.	A hockey player in helmet.	2
A man is wearing nothing.	Man wearing blue bowing on floor in front of another man in blue bowing on floor with two other men wearing blue kneeling on same floor also.	2
Man riding motorcycle on highway.	Biker riding through the forest.	2
two men are at the pool.	A young man in a blue T-shirt and sweatpants stands over a stove and looks at the camera while another young man stands behind him.	2
THERE IS A COUPLE WALKING THEIR DOGS	couples enjoying a meal, while a bunch of dogs take a nap.	2
The duck is a rare breed, most thought to have been driven into extinction years ago.	A white duck expanding its wings in the water.	2
The duck sleeps soundly, floating on top of the water	A white duck expanding its wings in the water.	2
An elderly woman with a cane is sitting on a chair.	A woman wearing jeans is walking down the street.	2
a person lies on the couch	A group of people stand near and on a large black square on the ground with some yellow writing on it.	2
A group of people dressed as clowns stroll into the Bigtop Circus holding signs.	A crowd is watching a group of men in suits with briefcases walk in formation down the street led by a woman holding a sign.	2
the boy is sleeping at home	The little boy gets ready to kick the soccer ball.	2
The man and woman are standing.	A man and woman sitting on the sidewalk.	2
A dog is running up the steps of a building.	A female within the foreground is heading towards a large white colored pillar that is apart of a large building with people are loitering or waiting on the steps of said building.	2
A father looks at his wife and son.	A woman in a black jacket and a black and white striped skirt is watching a woman talking to a little boy sitting on concrete steps.	2
A man and his family are eating pizza.	Man and woman eating a hotdog.	2
The employee is swimming in the ocean.	An aisle at Best Buy with an employee standing at the computer and a Geek Squad sign in the background.	2
A boy is jumping up and down.	A carpenter is working on a roof at a house being built.	2
The man has fallen out of the boat.	A group of seven individuals wearing rafting gear, white water raft down a river.	2
The boys are bare-chested.	Two little boys wearing athletic jerseys are washing their hands in a public restroom.	2
The boys are in band uniforms	Two small boys in blue soccer uniforms use a wooden set of steps to wash their hands in an adult-sized bathroom.	2
A man in a suit walking on a sidewalk.	A naked man rides a bike.	2
These two illiterate men convinced their dog to write a panhandling sign for them.	Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.	2
Two men own homes.	Two homeless men dressed in gray sit against a wall with a sleeping dog on a purple leash.	2
A woman is napping in the gym.	A woman doing gymnastics, she is using the balance beam	2
six people get ready to eat a seventh who is injured	Six rescuers cooperate to place an injured man on a transport device in snowy, mountainous terrain.	2
The three women are looking into the forest.	Three women are sitting on a green bench looking out at the coast.	2
A man wearing football pads.	A man in a black tank top wearing a red plaid hat	2
The woman is seated on a beach towel.	A blond woman in a black shirt is standing behind a counter.	2
Boys are playing chess.	The boys are playing with Legos.	2
A couple is eating in a restaurant.	A man and a child are purchasing ice cream from a man with a hand pushed ice cream cart.	2
A person drives away in a winnebago.	Three men are carrying a red bag into a boat with another person and boat in the background.	2
The man is holding a bag.	Man holding torch of fire.	2
The villagers are sitting around the camp fire.	Villagers pulling in the fish boat.	2
The crowd of people are inside a mall.	A crowd of people shopping at a street market in an urban area with buildings and a statue in background.	2
A child is at home, resting.	A child is sticking her head out of the 0095 taxi cab and screaming.	2
They are playing football.	Five children playing soccer chase after a ball.	2
There are ten total children playing.	Five children playing soccer chase after a ball.	2
a dog barks loud	A woman in red blouse is standing with small blond child in front of a small folding chalkboard.	2
A boy swims nude while a seagull eats his peanut butter sandwich.	A boy swims shirtless with a black and red bathing suit while a seagull sits on the sand.	2
The street is quiet and calm.	A busy street with numerous people interacting and going about their lives.	2
the player is flying planes	A female softball player wearing blue and red crouches in the infield, waiting for the next play.	2
There is one person outdoors.	Two people crossing by each other while kite surfing.	2
The people are bickering about politics.	A variety of people are sitting around a tale doing craft projects.	2
The woman in black is not walking to work.	A woman in black reviews a message as she walks to work.	2
A man is juggling baseballs while fans look on upset	A pro-baseball pitcher sends a curve ball to his opponent while many fans relax and enjoy the game.	2
The barber cuts a man's hair.	A family walking with a soldier.	2
People are playing the harmonica while standing on a roof.	Violin soloists take the stage during the orchestra's opening show at the theater.	2
A mother and daughter are eating spaghetti in a kitchen.	A mother and daughter walk along the side of a bridge.	2
The boy is afraid to ride his bicycle so he lets it sit in the garage and collect rust.	Boy in midair on bicycle	2
The dogs are eating	Three dogs running through a field.	2
4 fisherman are hanging over the boat, trying to pet the shark	Three workers, with life vests and hard hats, on a boat hanging from cables over water.	2
two men play with a snowman	A man wearing a short-sleeved blue shirt and carrying a blue backpack while using snow walking sticks treks through the snow with a woman wearing a long-sleeved blue shirt and black pants also using snow walking sticks.	2
the man is wearing a black shirt	A man in a plaid shirt looking through a telescope lens.	2
There are children in the streets.	A female runner dressed in blue athletic wear is running in a competition, while spectators line the street.	2
The streets are empty.	A female runner dressed in blue athletic wear is running in a competition, while spectators line the street.	2
A young man in a blue hoodie falls off a half-wall that is painted nicely.	A young man in a blue hoodie doing a flip off of a half-wall that is covered in graffiti.	2
The two dogs are sleeping on the pile of leaves.	Two dogs run together near the leaves.	2
A man throws a banana in the air.	A man with no shirt on is performing with a baton.	2
A group of drag queens walking down the street.	A crowd wearing orange cheering for their team in a stadium.	2
Football players practice.	Female gymnasts warm up before a competition.	2
A man is sitting watching TV.	Dark-haired man wearing a watch and oven mitt about to cook some meat in the kitchen.	2
The unemployed person is near a building.	A worker peers out from atop a building under construction.	2
a child fights a bag, the bag is winning	A young child joyfully pulls colorful tissue paper from a decorated box, looking for his present.	2
A child does a cannonball into a pool.	A young boy in red leaping into sand at a playground.	2
Two boys watching a superhero show.	two boys reading superhero books	2
The man is driving a limosine.	A man in a suit driving a horse-drawn buggy down a stone street.	2
A blond little boy is sleeping.	A blond little boy in an orange sweatshirt with red sleeves is using scissors to cut something.	2
The man is dressed in summer clothing.	A person dressed in white and black winter clothing leaps a narrow, water-filled ditch from one frost-covered field to another, where a female dressed in black coat and pants awaits.	2
A man enjoying the view of the golden gate bridge.	Blond woman overlooking Seattle Space Needle scene.	2
The man is young	An old man looking over a sculpture.	2
A soccer team hangs out in the locker room.	The soccer team, clad in blue for the match, began to counter down the field in front of the defender, clad in red.	2
Two children are sleeping at daycare	Two little kids without shirts are sitting down facing each other.	2
Workers walk off a lift	Workers standing on a lift.	2
Workers walk home from work	Workers standing on a lift.	2
women shopping at the mall	Two people talking on a dock.	2
The young girl looks through the telescope.	a young boy using a field microscope to identify a field specimen during a field trip.	2
The man is running after a robber.	A man has flung himself over a pole with people and canopies in the background.	2
The golfer retired from play today.	A golfer is getting ready to putt on the green, with a crowd of people watching in the background.	2
a child is wrestling with bears	A child in a ninja outfit does a jumping kick.	2
Three men are sitting at the kitchen table.	Three men are sitting outside on chairs with red seats.	2
A person is laying at home	A person is sitting in front of a graffiti covered wall.	2
A man is raking the yard.	A man cooking over high flames.	2
A man is cooking with a bunch of ovens.	A man cooking with fire in like 5 pots at the same time!	2
A man takes a picture of a woman	A man with a long white beard is examining a camera and another man with a black shirt is in the background.	2
Four women are walking near the dry highway.	Four women are taking a walk down an icy road.	2
The men are watching a sports channel	Four men stand in a circle facing each other playing brass instruments which people watch them.	2
A man is shooting a bow and arrow on a rainy day.	A man is shooting a gun outdoors, on what looks like a beautiful sunny day.	2
There is only one person present.	A group of footballs players is standing behind a coaching official.	2
Some people are at work.	Five young men are in a loft, with one holding a whiteboard and one making a shaka sign in front of the television.	2
The man is standing in front of a building.	A man in a black ball cap, black jacket and pants sitting in front of a building painted white and blue with the words ING and PEOPLE written on it.	2
A group of people are sitting at the tables sharing a meal.	People seated at long tables all facing the same direction, some writing and some watching.	2
A man cleans the kitchen.	An elderly woman is preparing food in the kitchen.	2
four men are rollerskating.	Four women competitively rollerskating around an area.	2
A man walking on water.	A group of cleaners are sweeping up animal feces from the street during a parade or festival.	2
The young girl is playing with a race car.	A young girl in a pink shirt playing with her barbie.	2
The car is a convertible.	A car is loaded with items on the top.	2
There are men dancing	Several women wearing dresses dance in the forest.	2
A boy in a green shirt rollerblading through the tunnel.	A boy in a green shirt on a skateboard on a stone wall with graffiti	2
There was a dog inside.	The back of a woman wearing a white jacket with blue jeans walking towards a flock of birds.	2
A dog is being chased by a cat	Dog running with pet toy being chased by another dog.	2
A man is lying down, sleeping.	A man is sitting on the floor, sleeping.	2
The woman is wearing a prom dress.	A woman, wearing a colorful bikini, rests laying down next to the blue water.	2
The dog is in a pool.	A brown dog jumps over an obstacle.	2
A dog is carrying an object down a grassy side.	A brown dog carries an object in its mouth on a snowy hillside.	2
Man who wears red jacket got an accident.	A group of people watch a breakdancer in a red jacket do a one-handed trick.	2
Two men are hammering.	Two men in neon yellow shirts busily sawing a log in half.	2
two strong men are having a beer	Two strong men work to saw a log.	2
The men are blackbelts.	A black man wearing a red belt and a white man wearing a blue belt are pictured in the act of practicing martial arts inside a building with a woman looking on in the background.	2
The ladies are sitting on the floor.	Two ladies at workout in mother nature.	2
The child is sleeping.	A kid playing a game called The Derby.	2
The man is riding a horse.	A man is riding a bike along a dirt trail.	2
People are on their computer	A group of people in an alley looking at the camera.	2
A group of dogs look at fresh lettuce in at the local street market.	A group of people look at fresh lettuce in at the local street market.	2
Group of people throwing bananas at a market.	A group of consumers walking through a public market to purchase vegetables with the background of the busy store just behind them.	2
An Asian man is reading the paper.	An Asian wearing a pastel print shirt and sunhat pushing his cart up the street.	2
The man is in an office building.	A man is working on a Earthen structure with a pickaxe.	2
Two dogs sitting on the porch.	Two dogs stand side by side in the yard.	2
The baby is nude.	Two older women with a baby that has a pacifier in its mouth, the baby wears an orange and brown dress.	2
Two women dressed in opposing team colors of brown and black and red and black fight in a karate match.	A man in a black shirt and brown pants is jumping in the air performing a karate kick towards a man in a red shirt and black hat.	2
The temperature is a scalding 100 degrees fahrenheit.	Three young girls in winter clothing and hats look at disposable cameras they are holding.	2
A tall man is sitting on a swingset in a deserted park.	A man with a red helmet and numbers on his arm and leg is riding a red racing bike.	2
A man in a red cape and a hat with three feathers sits by himself.	A man wearing dark knee boots, a green cape, and a hat with two big feathers on the front is sitting by himself on a bench in front of a building with a blue and white patterned piece of wheeled luggage to his right while he rests both his hands on a walking stick.	2
The dog is taking a nap at the park.	The white dog is pulling a large stick.	2
A ballerina is climbing a tree.	A tree worker with a hard hat is cutting down a branch.	2
A child is playing with her mothers' shoe.	A child plays with her father's boots.	2
A boy is taking a bath with his rubber duck.	A young boy in a hoodie climbs a red slide sitting on a red and green checkered background.	2
the lioness is sleeping	A lioness closes in on its prey.	2
The female gymnast is on her way to the gym.	A female gymnast in black and red being coached on bar skills.	2
the pigs eat dogs	A woman in a white hijab digs into the ground.	2
A frowning boy is playing soccer.	A smiling girl slides down a purple slide feet first.	2
A skateboarded is jogging down the street.	A skateboarder with a black and white hat at the top of a jump on a snowy day.	2
A child hunts for easter eggs.	A man stands by two face structures on Easter Island.	2
The man is sunbathing and doesn't have on anything but his swim trunks.	a man in a red shirt is laying on the grass reaching out to another person.	2
Three women go to the spa.	Three women are smiling and making cupcakes.	2
Guys are jumping in the pool.	Men in hard hats work along a wall.	2
People wearing shorts are standing around doing nothing.	The farmers are out working hard on there tractor, they have on their overalls and the machine is almost fixed.	2
The equipment is being pulled by sheep.	Two men working on farm equipment that is being pulled by two horses.	2
A skier down the road skiying	A Skier ski-jumping while two other skiers watch his act.	2
The boys are sleeping.	Three young boys enjoying a day at the beach.	2
The boy holds down his laughing nephew as his sister sprays him with water.	Three children hold a boy's arms down while another boy in a hat shoots a water gun at him.	2
The three girls hold the boy down while his girlfriend shoots water at him.	Three children hold a boy's arms down while another boy in a hat shoots a water gun at him.	2
The dog is walking	A dog runs.	2
The animal is sleeping in the basement.	A brown and black dog runs on the grass outdoors in front of a sidewalk.	2
A family skeet shooting	A black mother in an orange dress with her two little boys and husband at an outdoor market stand.	2
A group of kids is watching TV in the living room.	A group of kids play on a colorful structure.	2
The woman is reading a book.	A man walking and carrying a notebook.	2
A man is taking the bus.	A man in an overcoat putting on his gloves at a subway station.	2
The man is not confused.	One confused man is standing and staring off into the distance in front of some ticket collecting machines.	2
The men are wearing bright suits in the park.	Under the glaring light of a fluorescent bulb, men in dark clothing and hats approach fare card machines; one older man in a blue scarf glances up as he puts on his gloves.	2
The dogs are eating from their dog bowls.	two dogs fighting over a pink and red toy	2
a group of friends are sleep.	A group of friends are sitting at a table while drinking alcohol at their local pub.	2
A person is falling off their bicycle.	A person wearing a red shirt is falling off a white surfboard.	2
A man is running past the sign.	A man is walking past a large sign that says E.S.E. Electronics.	2
Man breaks camera in front of liquor store.	An African American man is posing in front of an E.S.E. Electronics advertisement billboard after purchasing items from the local liquor store.	2
One person sits on a subway car alone.	A crowd of people are packed into a subway car.	2
A girl is sitting on a park bench holding a puppy.	A girl wearing a scarf is brushing a horse.	2
A guitarist sitting on stage.	A closeup view of a guitarist in a red shirt standing outside, with a group of children playing around him.	2
The girl is ready to go swimming.	A girl in a white knit hat and winter gear rubs her tongue over her braces.	2
A group of people dance in the daytime.	A crowd walks about a square at night with smoke or fog drifting over them.	2
A business man is hurrying to work.	An Asian woman enjoys a nice treat	2
A girl tripped on herself before she attempt to jump over a hurdle.	A schoolgirl is jumping over a low hurdle.	2
The woman is standing.	A woman is seen from above applying red nail polish to her toes, as they rest on a leather seat.	2
