index	premise	hypothesis	label	hypothesis_neg	neg_label	tag
24	A blond-haired baby is sitting on the floor playing with toys while looking at a black and white cat.	The baby and the cat are in the same room	0	The baby and the cat are in the other room	2	antonym
25	A fat woman wearing faint blue top is blowing soap bubble.	A fat woman is wearing a shirt.	0	A thin woman is wearing a shirt.	2	antonym
26	A fat woman wearing faint blue top is blowing soap bubble.	A fat woman is wearing a shirt.	0	A nonfat woman is wearing a shirt.	2	antonym
27	A man is swimming with a little girl wearing a pink life jacket in an indoor pool	A man is swimming in an indoor pool.	0	A man is swimming in an outdoor pool.	2	antonym
28	A young woman is ordering from a red food truck.	A young lady is ordering food.	0	An old lady is ordering food.	2	antonym
29	Two young girls are jumping off of a steep step.	Two young girls are jumping outside.	0	Two old girls are jumping outside.	2	antonym
30	A man is laying down inside a black, non-working boat.	The man is outside on a boat.	0	The man is inside on a boat.	2	antonym
31	A young boy wearing red Croc sandals climbs a tree with healthy, green leaves.	A young boy wears sandals.	0	An old boy wears sandals.	2	antonym
32	Three young men are playing soccer in the beach wearing shorts and beach attire while some people watch	Three young men are playing soccer in the beach wearing shorts	0	Three old men are playing soccer in the beach wearing shorts	2	antonym
33	A man in a military uniform is walking away from a line of military vehicles.	A military man is walking away from the line of military vehicles	0	A military man is walking away from the line of civilian vehicles	2	antonym
34	A beautiful bride walking on a sidewalk with her new husband.	A couple walks outdoors together.	0	A couple walks indoors together.	2	antonym
35	A man wearing black pants rides along a concrete ledge on rollerblades.	The ledge is made of a hard substance.	0	The ledge is made of a soft substance.	2	antonym
36	A young woman is ordering from a red food truck.	A young lady is ordering from a food truck.	0	An old lady is ordering from a food truck.	2	antonym
37	A child in an orange outfit stands holding flowers.	A kid is wearing colorful clothing.	0	A kid is wearing uncolored clothing.	2	antonym
38	A child in an orange outfit stands holding flowers.	A kid is wearing colorful clothing.	0	A kid is wearing colorless clothing.	2	antonym
39	Red capped male dressed in white shirt and dark shorts is standing on small green boat located water in tall grassy bank.	A man wears a white shirt.	0	A man wears a black shirt.	2	antonym
40	A couple opening up a new electronically mixer.	A couple opens a new appliance together	0	A couple opens an old appliance together	2	antonym
41	A woman in a bathing suit is sitting on a dock over a body of water.	A woman sits outside on the dock.	0	A woman sits inside on the dock.	2	antonym
42	A young boy holding a red toy wearing green snowman and reindeer pajamas with an older woman on a couch behind him.	The young boy is holding a toy.	0	The old boy is holding a toy.	2	antonym
43	a young woman siting on a park bench in the sun.	A young woman is sitting down	0	An old woman is sitting down	2	antonym
44	A woman is using a small scissors on a large net.	A woman is using small cutting utensils on a large net.	0	A woman is using large cutting utensils on a large net.	2	antonym
45	A lone person is walking in front of a white building.	A single human is outside in front of a building.	0	Multiple humans are outside in front of a building.	2	antonym
46	A lone person is walking in front of a white building.	A single human is outside in front of a building.	0	A single human is inside in front of a building.	2	antonym
47	A white dog is running through the water at a beach	The white dog is at a beach.	0	The black dog is at a beach.	2	antonym
48	A woman is using a small scissors on a large net.	A woman is using small cutting utensils on a large net.	0	A woman is using small cutting utensils on a small net.	2	antonym
49	A small dog watches two big dogs playing rough in a field.	A few dogs are playing outsides.	0	Many dogs are playing outsides.	2	antonym
50	A young woman dressed up semi-formally is reading book and drinking in the sun, seated on a bench.	A young woman reads near the ocean.	0	An old woman reads near the ocean.	2	antonym
51	A woman is using a small scissors on a large net.	A woman is using small cutting utensils on a large net.	0	A woman is using big cutting utensils on a large net.	2	antonym
52	A man in a short Mohawk and beard.	A man with a short Mohawk and beard stands outside.	0	A man with a long Mohawk and beard stands outside.	2	antonym
53	Two girls, one with dark hair, wearing glasses and red pants, the other with a blue shirt and jeans with blond-hair talking and walking down a sidewalk.	Two people are outside walking together.	0	Two people are inside walking together.	2	antonym
54	An obese white male wearing a blue shirt and khaki shorts sits in front of fountain all while gabbing on phone.	A man is talking outside on his phone.	0	A man is talking inside on his phone.	2	antonym
55	An obese white male wearing a blue shirt and khaki shorts sits in front of fountain all while gabbing on phone.	A man is talking outside on his phone.	0	A man is talking indoor on his phone.	2	antonym
56	Two men in black jackets behind a white handrail.	The two men are wearing black jackets	0	The two men are wearing white jackets	2	antonym
57	an elderly woman walking down the street.	An elderly woman is shown outside.	0	A young woman is shown outside.	2	antonym
58	A middle-aged woman in a light brown trench coat and black boots walks on the sidewalk past a shop entrance.	The middle-aged woman is outdoors.	0	The middle-aged woman is indoors.	2	antonym
59	An old Indian man dressed in rags sleeps on the ground using his backpack as a pillow.	An old Indian man is sleep	0	A young Indian man is sleep	2	antonym
60	a couple wearing bright outfits walking hand and hand on a sidewalk.	A couple is wearing bright outfits.	0	A couple is wearing dark outfits.	2	antonym
61	A young woman cooks a meal in a wok while conversing with another woman, as an illuminated shrine to Mr. T looks on.	A young woman stands near a stove.	0	An old woman stands near a stove.	2	antonym
62	Two young girls in bathing suits laugh while standing under a fountain of water.	Two young girls are standing under a fountain of water.	0	Two old girls are standing under a fountain of water.	2	antonym
63	"There is a line of various trucks with advertising on the side parked by the side of the road, with the ""Grilled Cheese Truck ""and the ""Calbi"" truck in focus."	there are many food trucks	0	There are a few food trucks	2	antonym
64	A little girl drawing with chalk, on a chalkboard.	A young girl is drawing on a chalkboard.	0	An old girl is drawing on a chalkboard.	2	antonym
65	A man siting on a bench with a briefcase.	The man is outdoors with his briefcase.	0	The man is inside with his briefcase.	2	antonym
66	A man wearing a black jacket stands next to a body of water.	A person is outside near some water.	0	A person is inside near some water.	2	antonym
67	a candid photo of a young lady sitting at a restaurant table.	A young lady is sitting at a table.	0	An old lady is sitting at a table.	2	antonym
68	A man in glasses and an orange shirt is sitting outside next to a table with drinks on it.	A man sits outside by a table	0	A man sits inside by a table	2	antonym
69	An old woman and a young man examine their bingo cards.	An old woman and young man are playing bingo.	0	A young woman and young man are playing bingo.	2	antonym
70	An older woman with short red-hair is preparing food in a kitchen.	An old woman is in the kitchen.	0	A young woman is in the kitchen.	2	antonym
71	A man in a black business suit stands upright next to a man wearing blue and leaning against a railing.	A man in a black suit is standing next to a man in a blue outfit.	0	A man in a black suit is standing next to a man in a red outfit.	2	antonym
72	A long jumper takes flight in an attempt to jump the longest distance possible in a track competition.	A long jumper is jumping a hurdle.	0	A short jumper is jumping a hurdle.	2	antonym
73	Young man performing a skateboard trick on a sidewalk in a city.	A young man is perfoming a good skill on a skateboard on the sidewalk in a metropolitan area.	0	An old man is performing a good skill on a skateboard on the sidewalk in a metropolitan area.	2	antonym
74	A bald, black man wearing safety glasses and a long-sleeved black shirt is using a pick and hammer to sculpt a sizable rock into art.	A black man with no hair is making a scultpure with a pick and a hammer.	0	A white man with no hair is making a sculpture with a pick and a hammer.	2	antonym
75	A girl with black pants on is lowering a camera onto the running track.	A camera is being lowered onto a running track by a girl in black pants	0	A camera is being lowered onto a running track by a girl in white pants	2	antonym
76	A man in a winter jacket and knit cap stand with his arms up at his side in a snow landscape.	A man is outside in the snow.	0	A man is inside in the snow.	2	antonym
77	A man in a black business suit stands upright next to a man wearing blue and leaning against a railing.	A man in a black suit is standing next to a man in a blue outfit.	0	A man in a white suit is standing next to a man in a blue outfit.	2	antonym
78	A young man, wearing a T-shirt that says Joplin, plays the guitar in front of a large amplifier.	The young man is a guitar player	0	The old man is a guitar player	2	antonym
79	An elderly man is smiling while sitting in front of a row of soda cans.	An old man smiles in front of soda cans.	0	A young man smiles in front of soda cans.	2	antonym
80	A small dog runs to catch a ball.	A little dog chases a ball.	0	A big dog chases a ball.	2	antonym
81	Man with tattoo is lying down in the sand next to a cow.	The man is outdoors and with animals.	0	The man is indoors and with animals.	2	antonym
82	A little dark-haired girl runs on the beach.	The girl with the dark hair is running in the sand.	0	The girl with the bright hair is running in the sand.	2	antonym
83	Two men in workers' gear and colorful hard hats standing on board what appears to be a large ship, next to some very large machinery.	two men in workers gear are on a large ship with machinery	0	Two men in workers gear are on a small ship with machinery	2	antonym
84	A group of Asian girls are standing together.	There are many girls standing together.	0	There are few girls standing together.	2	antonym
85	A family with young children sits down outside.	There is a family sitting outside with their children.	0	There is a family sitting indoor with their children.	2	antonym
86	A family with young children sits down outside.	There is a family sitting outside with their children.	0	There is a family sitting inside with their children.	2	antonym
87	A group of young people pose for a picture in a field	The young people are outdoors.	0	The old people are outdoors.	2	antonym
88	The man in the black shirt is skateboarding on the front steps of the building.	A person with a dark top is outside doing something active.	0	A person with a light top is outside doing something active.	2	antonym
89	A man wearing a black cap is suspended in the air on a swing, as children are swinging on a swing set.	A man in a black hat is swinging with some children.	0	A man in a white hat is swinging with some children.	2	antonym
90	railroad workers working on the tracks at nighttime	there are people outside at night	0	There are people inside at night	2	antonym
91	The man in the black shirt is skateboarding on the front steps of the building.	A person with a dark top is outside doing something active.	0	A person with a dark top is inside doing something active.	2	antonym
92	A woman is taking a picture on the shoulders of another woman in cold weather.	A woman is taking a picture in cold weather.	0	A woman is taking a picture in hot weather.	2	antonym
93	A white dog with brown spots running on a dirt path	A white dog runs on a dirt path.	0	A black dog runs on a dirt path.	2	antonym
94	A young white girl is standing on the street in front of a storefront, dressed up in red with a hoop decorated with card symbols.	The young white girl is outdoors.	0	The young black girl is outdoors.	2	antonym
95	A man in a khaki jacket and ball cap walks down the street.	The man is outdoors walking.	0	The man is inside walking.	2	antonym
96	A young smiling girl is holding a stuffed animal in one hand and a candy apple in the other.	A young smiling girl is holding a cute stuffed animal in one hand	0	An old smiling girl is holding a cute stuffed animal in one hand	2	antonym
97	A young smiling girl is holding a stuffed animal in one hand and a candy apple in the other.	A young smiling girl is holding a stuffed animal in one hand	0	An old smiling girl is holding a stuffed animal in one hand	2	antonym
98	A person of indeterminate sex wearing a dark hat, neutral pants, and a red shirt walking up a rocky slope at high altitude in the daytime.	A person is wearing a dark hat	0	A person is wearing a light hat	2	antonym
99	A group of men in blue shirts, banded hats, and red bandannas stand in a group.	a bunch of guys in colorful clothes stand together	0	A bunch of guys in uncolored clothes stand together	2	antonym
100	A group of men in blue shirts, banded hats, and red bandannas stand in a group.	a bunch of guys in colorful clothes stand together	0	A bunch of guys in colorless clothes stand together	2	antonym
101	A man wearing blue pants, a white helmet, and a green-striped shirt is shown on skis in midair, against a blue sky with a single puffy cloud.	The sky is blue with a single puffy cloud.	0	The sky is blue with a multiple puffy cloud.	2	antonym
102	A group of young men are dumping soil onto the ground of their backyard.	The young men are working outside.	0	The old men are working outside.	2	antonym
103	A young girl in a red top is running through a grassy area with large buildings in the background.	The young girl is outside.	0	The old girl is outside.	2	antonym
104	A man wearing blue jeans and a peach shirt is arguing with a woman with long gray hair, a red skirt and tan shirt.	A man wearing blue jeans and a peach shirt is arguing with a woman	0	A man wearing red jeans and a peach shirt is arguing with a woman	2	antonym
105	Some elderly people are playing instruments in a park.	A group of old people are outdoors playing music.	0	A group of young people are outdoors playing music.	2	antonym
106	A barefoot child climbs at the jungle gym.	A child is playing outside on a jungle gym.	0	A child is playing inside on a jungle gym.	2	antonym
107	A barefoot child climbs at the jungle gym.	A child is playing outside on a jungle gym.	0	A child is playing indoor on a jungle gym.	2	antonym
108	The three young children played with some toilet paper in the grass.	The three young children are outside.	0	The three young children are inside.	2	antonym
109	A man in a blue shirt, blue jeans, and a red apron standing at a grill.	A man in a blue shirt stands by a grill.	0	A man in a red shirt stands by a grill.	2	antonym
110	The female soccer team is getting last minute instruction from their coach.	A female soccer team is listening to their coach.	0	A male soccer team is listening to their coach.	2	antonym
111	The female soccer team is getting last minute instruction from their coach.	A female soccer team is listening to their coach.	0	An androgynous soccer team is listening to their coach.	2	antonym
112	A young woman skateboarding on an outdoor basketball court in front of a mural.	A young woman skateboards on an outdoor basketball court.	0	A young woman skateboards on an indoor basketball court.	2	antonym
113	A young woman skateboarding on an outdoor basketball court in front of a mural.	A young woman skateboards on an outdoor basketball court.	0	An old woman skateboards on an outdoor basketball court.	2	antonym
114	Some people are relaxing in front of a large red building.	A crowd relaxes in front of a large red building.	0	A crowd relaxes in front of a little red building.	2	antonym
115	Some people are relaxing in front of a large red building.	A crowd relaxes in front of a large red building.	0	A crowd relaxes in front of a small red building.	2	antonym
116	Men wearing painted clothes are standing in the rain.	Men are getting wet with the rain.	0	Men are getting dry with the rain.	2	antonym
117	Artists install a new exhibit in a gallery.	People put up new art at the towns local gallery.	0	People put up old art at the towns local gallery.	2	antonym
118	A biker wearing glass and a backpack rides near a fountain.	A biker is close to the fountain.	0	A biker is distant to the fountain.	2	antonym
119	Two women are relaxing in a hot tub.	A couple of women are in the hot tub.	0	A couple of women are in the cold tub.	2	antonym
120	Three young women perform a dance in a crowded hall.	Three young women are performing in front of a big audience.	0	Three old women are performing in front of a big audience.	2	antonym
121	Three young women perform a dance in a crowded hall.	Three young women are performing in front of a big audience.	0	Three young women are performing in front of a small audience.	2	antonym
122	A young man, wearing a white shirt, prepares hotdogs on a small grill.	A young man is grilling food.	0	An old man is grilling food.	2	antonym
123	Three young women perform a dance in a crowded hall.	Three young women are performing in front of a big audience.	0	Three young women are performing in front of a little audience.	2	antonym
124	A girl in a blue shirt hugging a girl also in a blue shirt.	Two girls are wearing blue shirts.	0	Two girls are wearing purple shirts.	2	antonym
125	Three males and one female are posing for a photograph with snow on the ground and mountains covered with green trees and snow in the background.	Four people pose for an outdoor photo.	0	Four people pose for an indoor photo.	2	antonym
126	A man on a bicycle, wearing cycle gear, riding at a fast past down paved trail surrounded by tree's and grass.	The man is riding fast down a trail.	0	The man is riding slow down a trail.	2	antonym
127	A young girl wearing a red shirt and cap smiling and holding a small toy is standing in front of a group of children playing behind her.	The young girl is wearing a red shirt.	0	The old girl is wearing a red shirt.	2	antonym
128	A crowd in which two men are wearing Santa Claus Hats are celebrating Christmas outside of a Bank of America and a Christmas tree.	A crowd is celebrating Christmas outside of Bank of America.	0	A crowd is celebrating Christmas inside of Bank of America.	2	antonym
129	This is a very large vegetable stand under a white tent.	Vegetables are being sold under a white tent.	0	Vegetables are being sold under a black tent.	2	antonym
130	A roofer in a gray sweatshirt and orange hat walks on a unfinished roof at a lake-side home.	The roofer is outside working.	0	The roofer is inside working.	2	antonym
131	The man in the black hat has his back to a theater sign.	There is a man standing outside of a theater.	0	There is a man standing indoor of a theater.	2	antonym
132	A cement worker is working on a new sidewalk outside of a clothing store.	A cement worker is working on a new sidewalk.	0	A cement worker is working on a worn sidewalk.	2	antonym
133	A man in a white shirt speaks into a microphone as other men gather behind him at a public event.	A man in a white shirt is making a speech in front of a crowd.	0	A man in a black shirt is making a speech in front of a crowd.	2	antonym
134	A young man blew up balloons to craft into animals for the seven excited children that looked on.	A man is being creative in front of the crowd.	0	A man is being uncreative in front of the crowd.	2	antonym
135	A blond woman in a blue shirt looks on at an event.	The woman is wearing a blue shirt.	0	The woman is wearing a pink shirt.	2	antonym
136	A single person stands on a heavily-eroded cliff-side rock while holding a bare branch aloft.	A single person stands on a heavily-eroded large cliff-side rock	0	Multiple people stand on a heavily  eroded large cliff  side rock	2	antonym
137	Three adults are working in a garden near a fence in the yard.	The three adults are outside in the garden.	0	The three adults are inside in the garden.	2	antonym
138	A cement worker is working on a new sidewalk outside of a clothing store.	A cement worker is working on a new sidewalk.	0	A cement worker is working on an old sidewalk.	2	antonym
139	A younger man dressed in tribal attire.	A young man wears clothing.	0	An old man wears clothing.	2	antonym
140	A man wearing a brown shirt and backpack is pushing a stroller while a small toddler is walking along aside him on a rain-covered street.	People are walking on a wet street.	0	People are walking on a dry street.	2	antonym
141	A young couple sitting in a black chair smiling.	Two young people sit in a black chair happily.	0	Two young people sit in a black chair sadly.	2	antonym
142	A young couple sitting in a black chair smiling.	Two young people sit in a black chair happily.	0	Two young people sit in a black chair unhappily.	2	antonym
143	A young couple sitting in a black chair smiling.	Two young people sit in a black chair happily.	0	Two young people sit in a white chair happily.	2	antonym
144	A young couple sitting in a black chair smiling.	Two young people sit in a black chair happily.	0	Two old people sit in a black chair happily.	2	antonym
145	A woman in a black leather shirt trench-coat and black leather calf-high boots and carrying a colorful bag with a shoulder strap faces away from the camera with a yellow post visible just in front of her.	A lady in black leather trench coat, with matching black leather boots walks away from the camera in her front with her bag strapped to her shoulders	0	A lady in white leather trench coat, with matching black leather boots walks away from the camera in her front with her bag strapped to her shoulders	2	antonym
146	A dark-haired lady with a big smile is wearing a bright red scarf.	There is a happy lady with colorful clothing	0	There is a sad lady with colorful clothing	2	antonym
147	Two men are looking through microscopes in a room.	There are men using scientific instruments.	0	There are men using unscientific instruments.	2	antonym
148	A dark-haired lady with a big smile is wearing a bright red scarf.	There is a happy lady with colorful clothing	0	There is an unhappy lady with colorful clothing	2	antonym
149	A boy wearing a shirt with an American flag plays with a basketball on the blacktop.	A young male is wearing clothes.	0	An old male is wearing clothes.	2	antonym
150	The man in the blue shirt is relaxing on the rocks.	A man is wearing a blue shirt.	0	A man is wearing a red shirt.	2	antonym
151	Two small children walk away in a field.	Two small children walk outdoors.	0	Two large children walk outdoors.	2	antonym
152	Two small children walk away in a field.	Two small children walk outdoors.	0	Two big children walk outdoors.	2	antonym
153	A group of runners are running towards two identical skyscrapers.	The runners are running towards the large buildings.	0	The runners are running towards the little buildings.	2	antonym
154	A dark-haired lady with a big smile is wearing a bright red scarf.	There is a happy lady with colorful clothing	0	There is a unhappy lady with colorful clothing	2	antonym
155	A dark-haired lady with a big smile is wearing a bright red scarf.	There is a happy lady with colorful clothing	0	There is a happy lady with uncolored clothing	2	antonym
156	Right leg in a brace, a young boy lies on the couch while using his cellphone.	The right leg is in a brace	0	The left leg is in a brace	2	antonym
157	A nighttime street scene of a restaurant.	The restaurant is open at night.	0	The restaurant is close at night.	2	antonym
158	Three women are dressed in ninja costumes.	There are multiple people present.	0	There is a single person present.	2	antonym
159	Casually dressed young males and females are sitting and laying on a grassy area with bicycles and other personal belongings reading on a sunny day.	people are hanging outside with their bicycles on the grass.	0	People are hanging inside with their bicycles on the grass.	2	antonym
160	A young boy sits curiously on a rock near the water, looking at his reflection.	A kid is outside looking into the water.	0	A kid is inside looking into the water.	2	antonym
161	A woman in a black leather shirt trench-coat and black leather calf-high boots and carrying a colorful bag with a shoulder strap faces away from the camera with a yellow post visible just in front of her.	A lady in black leather trench coat, with matching black leather boots walks away from the camera in her front with her bag strapped to her shoulders	0	A lady in black leather trench coat, with matching white leather boots walks away from the camera in her front with her bag strapped to her shoulders	2	antonym
162	A young woman wearing a white sleeveless dress with red flowers is talking on her cellphone as she walks down a street.	A young woman wearing a white sleeveless dress lined with red flowers talking on her cellphone as she walks down the street sidewalk outside.	0	A young woman wearing a black sleeveless dress lined with red flowers talking on her cellphone as she walks down the street sidewalk outside.	2	antonym
163	Two men spar in martial arts gear.	There are multiple people present.	0	There is a single person present.	2	antonym
164	A young black man wearing a dark leather jacket and gloves is standing on a lit stage, looking down.	A black man is standing on stage.	0	A white man is standing on stage.	2	antonym
165	A young woman wearing a white sleeveless dress with red flowers is talking on her cellphone as she walks down a street.	A young woman wearing a white sleeveless dress lined with red flowers talking on her cellphone as she walks down the street sidewalk outside.	0	An old woman wearing a white sleeveless dress lined with red flowers talking on her cellphone as she walks down the street sidewalk outside.	2	antonym
166	An old man in a plaid shirt and blue pants is looking in a telescope on a sunny day.	The older gentleman wearing a plaid shirt and blue pants looks through the telescope.	0	The older gentleman wearing a plaid shirt and green pants looks through the telescope.	2	antonym
167	A biker wearing glass and a backpack rides near a fountain.	A biker is close to the fountain.	0	A biker is open to the fountain.	2	antonym
168	The basketball player in the blue uniform is guarding the player in the orange uniform, who has the ball.	A orange uniform basketball player with ball is guarded by, a blue uniform opponent team player	0	An orange uniform basketball player with ball is guarded by, a black uniform opponent team player	2	antonym
169	Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.	Two men sit outdoors in an urban area.	0	Two men sit inside in an urban area.	2	antonym
170	Little girl is flipping an omelet in the kitchen.	A young girl flips an omelet.	0	An old girl flips an omelet.	2	antonym
171	A group of kids is splashing in deep water nearby a rock formation.	The kids are in deep water	0	The kids are in shallow water	2	antonym
172	Three young Asian women walk on a rain soaked street with traffic in the background.	There is more than one woman in the group.	0	There is less than one woman in the group.	2	antonym
173	Three young Asian women walk on a rain soaked street with traffic in the background.	There is more than one woman in the group.	0	There is fewer than one woman in the group.	2	antonym
174	A crowded city street with lots of pedestrians.	There are many pedestrians on the city street.	0	There are few pedestrians on the city street.	2	antonym
175	Some dogs are running on a deserted beach.	There are multiple dogs present.	0	There is a single dog present.	2	antonym
176	The small child is wearing winter clothes and a hat.	The small child is dressed for winter.	0	The big child is dressed for winter.	2	antonym
177	The small child is wearing winter clothes and a hat.	The small child is dressed for winter.	0	The large child is dressed for winter.	2	antonym
178	Children play in a shallow pool next to a large image of a girl's face.	There are multiple people present.	0	There is a single person present.	2	antonym
179	a guy with long hair is making a sand sculpture	A long haired guy is working with sand.	0	A short haired guy is working with sand.	2	antonym
180	Children, including one with a painted face, pet tiny turtles that are crawling in the green grass.	Turtles are crawling in the green grass.	0	Turtles are crawling in the brown grass.	2	antonym
181	There are five singers on a stage, three women and two men.	There are more females than males.	0	There are fewer females than males.	2	antonym
182	A young man wearing goggles is putting some liquid in a beaker while a young girl wearing blue gloves looks down while holding a pen.	Two people are in the same area.	0	Two people are in the other area.	2	antonym
183	Two people using a water buffalo to cultivate a watery field.	Two people are outside with animals.	0	Two people are inside with animals.	2	antonym
184	A young man wearing goggles is putting some liquid in a beaker while a young girl wearing blue gloves looks down while holding a pen.	Two people are in the same area.	0	Two people are in the different area.	2	antonym
185	By a table with several boxes and two coffee cups on it, a woman in a green sweater is opening a small box and another person (whose head cannot be seen) is operating a small handheld electronic device.	A woman in green opening a box while a half concealed man manipulates a handheld device.	0	A woman in red opening a box while a half concealed man manipulates a handheld device.	2	antonym
186	A young man sitting under a tree while others walk down the street.	A young man is sitting down.	0	An old man is sitting down.	2	antonym
187	The young Asian woman is using an umbrella, and is in front of a brightly colored patch of flowers in the back.	A woman is using a large umbrella.	0	A woman is using a small umbrella.	2	antonym
188	A blond woman speaks with a group of young dark-haired female students carrying pieces of paper.	A blond speaks with a group of young dark-haired woman students carrying pieces of paper.	0	A blond speaks with a group of old dark-haired woman students carrying pieces of paper.	2	antonym
189	A man wielding an electric razor is gleefully shaving away another man's hair.	There are multiple people present.	0	There is a single person present.	2	antonym
190	A young female gymnast, wearing a sequined royal blue and white outfit, is lifting her right leg straight up in the air.	A younger gymnast, wearing dark blue and white, has her right leg straight in the air.	0	A younger gymnast, wearing dark blue and white, has her left leg straight in the air.	2	antonym
191	An Indian woman stands in an outdoor marketplace.	A female is outdoors at a bazaar.	0	A female is inside at a bazaar.	2	antonym
192	A man and a woman sitting down laughing.	The man and woman are having a good time.	0	The man and woman are having a bad time.	2	antonym
193	A cobblestone street lined with houses and some pedestrians milling around.	Humans are outside meandering around.	0	Humans are inside meandering around.	2	antonym
194	Three men are carrying a red bag into a boat with another person and boat in the background.	Some people put something in a boat in a place with more than one boat.	0	Some people put something in a boat in a place with fewer than one boat.	2	antonym
195	Three men are carrying a red bag into a boat with another person and boat in the background.	Some people put something in a boat in a place with more than one boat.	0	Some people put something in a boat in a place with less than one boat.	2	antonym
196	Two women stand in the street both wearing matching outfits with police like jackets that say Polotie.	Two women look like Police in similar jackets standing in the street.	0	Two women look like Police in dissimilar jackets standing in the street.	2	antonym
197	An elderly male is blowing air into an object.	An elderly male is blowing air inyto an object	0	A young male is blowing air into an object	2	antonym
198	Two women stand in the street both wearing matching outfits with police like jackets that say Polotie.	Two women look like Police in similar jackets standing in the street.	0	Two women look like Police in unalike jackets standing in the street.	2	antonym
199	Two guys on a couch, one is looking up the other is looking away with a cup in his hand.	They are not looking in the same direction.	0	They are not looking in the other direction.	2	antonym
200	Bearded black dressed male performer is displaying his skill by swinging a fire line in each hand in arcs.	A sideshow man in a black costume is performing a trick with fire for the audience.	0	A sideshow man in a white costume is performing a trick with fire for the audience.	2	antonym
