index	premise	hypothesis	label	hypothesis_paraphrase
41	While traveling, a woman in a black jacket is resting on the shoulder of a man in a black jacket.	A woman rests on the shoulder of a man	0	A woman sits on a man's shoulder.
42	While traveling, a woman in a black jacket is resting on the shoulder of a man in a black jacket.	A man rests on a womans shoulder	2	A man rests his head on the shoulder of a woman.
43	While traveling, a woman in a black jacket is resting on the shoulder of a man in a black jacket.	A man's wife lays on his shoulder	1	A man's wife rests her head on his shoulder.
44	A baseball player in the act of pick up a baseball with his hand.	A basketball player dunking the ball.	2	A basketball player goes up for a dunk.
45	An Asian wearing a pastel print shirt and sunhat pushing his cart up the street.	An Asian man is reading the paper.	2	A young Asian man is reading the newspaper.
46	An Asian wearing a pastel print shirt and sunhat pushing his cart up the street.	An Asian man is selling food.	1	A man from Asia is selling food.
47	Two dogs stand side by side in the yard.	Two dogs hiding in the yard together.	1	Two dogs huddled together in the yard.
48	Two dogs stand side by side in the yard.	Two dogs standing together in the yard.	0	In the yard, two dogs stand together.
50	A person obscured in shadow in a gymnasium.	The person is a vampire avoiding the sun.	2	The individual is a vampire who avoids the sun.
51	A woman in a green suit walking towards an escalator.	A woman sits beside the escalator.	2	A woman is sitting next to the escalator.
52	A woman in a green suit walking towards an escalator.	A woman walks to an escalator.	0	A woman makes her way to an escalator.
55	A child with curly blond-hair looks at another child with long brown hair while sitting on a bench.	The school kids are relaxing during recess.	1	During recess, the students are unwinding.
56	A runner in a black and blue uniform competes in a race.	he is running against a group of people	0	He's up against a group of people.
57	A young female standing on the deck of a boat starring at her cellphone while riding on the water.	A girl is talking on a landline.	2	A young lady is on the phone.
58	A black scientist looks through a scope examining a biological specimen's blood cells.	he looks through the microscope before lunch	1	Before lunch, he examines the microscope.
59	A black scientist looks through a scope examining a biological specimen's blood cells.	he looks through the microscope	0	He examines the specimen under the microscope.
60	A person is climbing a wooden ladder on a very steep, jagged, rock cliff.	A man is climbing a ladder on a cliff in hopes of not falling to his death.	1	A man is climbing a cliff ladder in the hopes of avoiding death.
61	A brown dog plays in a deep pile of snow.	A brown dog is outside and it's snowing	1	There's a brown dog outside, and it's snowing.
62	A white and black spotted dog is running through a grassy area.	A dog is asleep on the couch.	2	On the couch, a dog is fast asleep.
63	A white and black spotted dog is running through a grassy area.	A dog is running in the field towards another dog.	1	A dog sprints across the field toward another dog.
64	Two women drink coffee and chat while sitting on a blanket near a rocky shore.	The two women are walking down the shore drinking tea.	2	The two women are drinking tea as they walk down the beach.
65	A person on blue pants and a white shirt walks away from a dirt circle on multicolored grass.	a person walks a way from a dirt circle	0	A person moves away from a dirt circle.
66	A view of bicyclists on a city street, riding in both directions, with red reflective safety cones dividing the two lanes.	Bumper to bumper automobile traffic clogs the street.	2	The street is clogged by bumper-to-bumper automobile traffic.
67	A man in a white shirt, dark shorts and a red cap is standing in a small green rowboat with green oars, in the middle of what appears to be a shallow river, against a bank of tall dried grasses.	The man is in a prison cell	2	The man is incarcerated.
68	A man in a white shirt, dark shorts and a red cap is standing in a small green rowboat with green oars, in the middle of what appears to be a shallow river, against a bank of tall dried grasses.	The man is fishing in the lake.	2	The man is out on the lake fishing.
69	A young woman in a black skirt and boots walks by stores.	A young woman in a black skirt is walking next to nearby shops.	0	A young woman in a black skirt walks past nearby stores.
70	Three women sit together near woven walls.	The woven walls are multicolored.	1	The woven walls are a rainbow of colors.
71	Three women sit together near woven walls.	The three bar tenders work hard pouring drinks.	2	The three bartenders are hard at work pouring drinks.
72	A blond woman in a white shirt demonstrates her talents to a crowd.	A woman performs for the crowd.	0	A woman entertains the audience.
73	A blond woman in a white shirt demonstrates her talents to a crowd.	The woman is a street performer.	0	The woman is a performer on the street.
74	A blond woman in a white shirt demonstrates her talents to a crowd.	A dark haired kid dances for the crowd.	2	A young man with dark hair performs a dance for the audience.
75	Four children are wearing blue hats with colored streamers.	Four kids are waiting in line for the bus.	1	Four children are waiting for the bus.
76	"A construction worker stands in front of a red truck which has the word ""hot"" on the side."	A man standing in front of a vehicle.	0	A man stands in front of a car.
77	"A construction worker stands in front of a red truck which has the word ""hot"" on the side."	A worker standing in front of his truck which has writing on it.	0	A worker stands in front of his truck, which is emblazoned with writing.
78	A child with curly blond-hair looks at another child with long brown hair while sitting on a bench.	Two kids are sitting next to each other.	0	Two children are seated next to each other.
79	A child with curly blond-hair looks at another child with long brown hair while sitting on a bench.	The boys are playing dodge ball.	2	The boys are having a game of dodge ball.
80	Performer who is wearing 2 hats a scary mask and a black and white robe.	A costume is being worn by a performer.	0	A performer is dressed in a costume.
81	Performer who is wearing 2 hats a scary mask and a black and white robe.	The actor playing Voldemort is wearing a scary mask and a black and white robe.	1	Voldemort is played by an actor who wears a terrifying mask and a black and white robe.
82	Four entertainers dressed in Roman style garb are performing at an outdoor theater.	Professional actors are doing summer stock.	1	Summer stock is performed by professional actors.
83	"A group of young adults with ""X"" on their hands, smiling."	The group of adults are crying hysterially.	2	The adults are sobbing uncontrollably.
84	"A group of young adults with ""X"" on their hands, smiling."	They are all under 21 at a club.	1	They're all under the age of 21 in a club.
85	two dogs run across the woods.	The dogs are running after an animal	1	The dogs are chasing an animal.
86	A young japanese couple holding an umbrella walking down a street.	The young Asian couple are using an umbrella to protect themselves from the hard rain.	1	The young Asian couple is shielded from the heavy rain by an umbrella.
87	A young japanese couple holding an umbrella walking down a street.	A young Asian couple are swimming in the pool.	2	In the pool, a young Asian couple is swimming.
88	A young japanese couple holding an umbrella walking down a street.	The young Asian couple are walking together.	0	The young Asian couple is walking hand in hand.
89	Two men talk outdoors.	The men are talking about their wives	1	The men are discussing their wives.
90	A man leads the way in a race.	The man is running a marathon.	1	The man is taking part in a marathon.
91	A man leads the way in a race.	The man is currently competing.	0	Currently, the man is competing.
92	The children play in the pool.	The children are in the water.	0	The kids are in the pool.
93	The children play in the pool.	The children are playing Marco Polo.	1	The kids are having a game of Marco Polo.
94	The children play in the pool.	The children are studying fractions inside the classroom.	2	Inside the classroom, the students are learning about fractions.
95	A crowd of people in stadium style seating appear disinterested in the venue.	A group of people doesn't care about the stadium they are sitting in.	0	A group of people are unconcerned about the stadium in which they are seated.
96	A group of young men are dumping soil onto the ground of their backyard.	The young men are working outside.	0	The young men are hard at work outside.
97	A group of young men are dumping soil onto the ground of their backyard.	The young men are working to level an area of the yard to put in a new basketball court.	1	The young men are leveling a section of the yard in preparation for the installation of a new basketball court.
98	A group of young men are dumping soil onto the ground of their backyard.	The young men laze about on the beach, sunning themselves in the afternoon sun.	2	The young men lounge on the beach, soaking up the afternoon rays.
99	Two men are working together to empty the barrel of its contents.	Two fishermen are emptying their catch from a barrel.	1	Two fishermen empty a barrel of their catch.
100	A man wearing an orange shirt and sunglasses jogging in a marathon with spectators spectating him.	A man sits at his computer sipping coffee.	2	A man is sipping coffee at his computer.
101	A man running in a race passes by spectators.	The person is running a marathon.	1	The individual is taking part in a marathon.
102	A man running in a race passes by spectators.	A man is running by people who are watching.	0	A man is running through a crowd of onlookers.
103	a man giving two thumbs up to a crowd.	He has just won the competition	1	He recently won the competition.
104	A man is wearing a neon yellow vest while leaning over a roof and another man is standing behind him.	A guy is looking over the side of a building with someone else.	0	A man and another person are peering over the side of a building.
105	Two people climb a rock overhanging water.	Two kids are climbing the rock.	1	Two children are scaling the rock.
106	There is a Victorian style building in the background, and in the foreground is a lake where a tiny paddle boat sits with three people in it.	Three people sit in a paddle boat.	0	A paddle boat seats three people.
107	There is a Victorian style building in the background, and in the foreground is a lake where a tiny paddle boat sits with three people in it.	The pond is too shallow for any boating.	2	Boating is not permitted on the pond due to its shallowness.
108	There is a Victorian style building in the background, and in the foreground is a lake where a tiny paddle boat sits with three people in it.	The owners of a house enjoy their pond.	1	A pond is enjoyed by the owners of a house.
109	Woman is looking something.	A woman is looking at a man	1	A woman is admiring a man.
110	A teenage girl in a crowd of people looking up at something.	somebody saw something in the sky	1	Someone noticed something in the sky.
111	A teenage girl in a crowd of people looking up at something.	there was a group of people present	0	There were a number of people present.
112	A group of dogs stand in the snow.	There are animals outdoors.	0	Outside, there are animals.
113	A group of dogs stand in the snow.	A woman in neon green hails a cab alone.	2	A woman dressed in neon green hails a cab on her own.
114	A man wearing a headscarf and loincloth is laying and smoothing an asphalt surface near a forest on a hot day.	The man is completely nude.	2	The man is naked from head to toe.
115	A young girl holding a toddler.	Two old ladies are making out at a strip club.	2	Two elderly ladies are having sex at a strip joint.
116	A young girl holding a toddler.	A sister holds her little brother.	1	A sister cradles her younger brother.
117	A grim looking man with sunglasses pilots a boat.	The hungover man drives his boat to work.	1	The man is hungover as he drives his boat to work.
118	A grim looking man with sunglasses pilots a boat.	The happy pilot flies his plane.	2	The contented pilot takes off in his plane.
119	Workers at Basking Robbins are filling orders.	Workers filling orders at basking robbins	0	Basking robbins employees filling orders
120	A nurse is listening to another women's heartbeat with a stethoscope.	A woman in the doctors office.	0	A lady in a doctor's office.
121	A nurse is listening to another women's heartbeat with a stethoscope.	A woman getting her annual check up.	1	A woman receiving her annual physical examination.
122	A boy and a woman are on top of large rocks at sunset.	The surface of the earth is visible.	0	The earth's surface is visible.
123	A boy and a woman are on top of large rocks at sunset.	The sun is at its highest point of the day.	2	The sun has reached its zenith for the day.
124	A boy and a woman are on top of large rocks at sunset.	The faces of the people are visible	1	The people's faces can be seen.
125	A man walks three white dogs with spots down a street with palm trees.	the wolves are killing the man	2	The wolves are slaughtering the man.
126	A little dark-haired girl runs on the beach.	The dark haired girl is running away from a wave.	1	The dark-haired girl is fleeing from a rogue wave.
127	A little dark-haired girl runs on the beach.	The dark haired girl is asking for directions on the street.	2	On the street, a young woman with dark hair asks for directions.
128	Two men riding a boat in clear water on a sunny day.	Two men sit in the snow and smoke.	2	Two men smoke while sitting in the snow.
129	Two men riding a boat in clear water on a sunny day.	A couple people are doing activities on a nice day in a boat.	0	On a beautiful day, a couple is enjoying activities on a boat.
130	A woman playing with play equipment while a child looks on.	Child watches woman playing with equipment.	0	A child observes a woman playing with equipment.
132	Two small boys dressed in tuxedos sitting on a red carpeted floor.	Two well dressed boys sit on a red carpet floor inside of a home.	1	Inside a house, two well-dressed boys sit on a red carpet floor.
133	An asian teenager wearing a white shirt with black stripes is sitting on the steps with his face resting on his hand.	The teenager is sliding down the railing.	2	The adolescent is slipping down the railing.
134	An asian teenager wearing a white shirt with black stripes is sitting on the steps with his face resting on his hand.	The teenager is sitting down to think for a bit.	1	The adolescent has taken a seat to reflect for a moment.
135	Two people are riding bicycles next to a building.	Two people are riding bikes near a building.	0	Two people are riding their bikes next to a building.
136	The female soccer team is getting last minute instruction from their coach.	The female basketball team ignored their coach.	2	The female basketball team refused to listen to their coach.
137	A person of indeterminate sex wearing a dark hat, neutral pants, and a red shirt walking up a rocky slope at high altitude in the daytime.	A person is wearing a bright hat	2	A person is wearing a brightly colored hat.
138	A person of indeterminate sex wearing a dark hat, neutral pants, and a red shirt walking up a rocky slope at high altitude in the daytime.	A person is wearing a dark hat	0	A person is dressed in a dark hat.
139	Two girls in black dresses enjoying a night on the town.	Two girls hating the town.	2	Two girls who despise their hometown.
140	a young man wearing dark sunglasses smiling	A guy is wearing sunglasses.	0	A man is dressed in sunglasses.
141	Indian men selling food items on the sidewalk	Men are buying food on the sidewalk.	2	On the sidewalk, men are purchasing food.
142	People sitting in chairs along a tree-lined sidewalk.	People are watching the flowers blossom	1	People are observing the flowers as they bloom.
143	People sitting in chairs along a tree-lined sidewalk.	People are sitting in chairs	0	People are seated in chairs.
144	Three men are doing a musical set with wires and equipment all over the stage, and they are holding unique guitar like instruments.	The three men were in a band together	1	The three men were members of a band.
145	Women wearing a black top and glasses speaking into a blue tipped microphone with another woman beside her writing.	One woman speaking into a microphone while a second woman writes beside her.	0	One woman is speaking into a microphone, while another is writing beside her.
146	a woman with brown hair sitting on a bench outside a cafe.	Blonde woman drawing on a cafe window.	2	A blonde woman is drawing on the window of a cafe.
147	a woman with brown hair sitting on a bench outside a cafe.	Woman waiting for a friend at a cafe.	1	At a cafe, a woman waits for a friend.
148	a woman with brown hair sitting on a bench outside a cafe.	Brunette woman sitting outside a cafe.	0	A brunette woman sits outside of a cafe.
149	A man in reflective sunglasses, a skull T-shirt, and long red shorts sits out of the sun in a folding chair.	The man is protecting his eyes with sunglasses.	0	The man is wearing sunglasses to protect his eyes.
150	A choir of youths are singing.	a choir of kids are singing	0	a children's choir is singing
151	A choir of youths are singing.	they are singing in a christmas program	1	They're performing in a Christmas program.
152	A newspaper delivery man smiles as he walks down a sidewalk holding his papers on top of his head.	Something that is shown in the shot is made of paper.	0	Something in the photograph is made of paper.
153	A newspaper delivery man smiles as he walks down a sidewalk holding his papers on top of his head.	This person's only job is being a welder on an oil rig.	2	This person's sole occupation is that of an oil rig welder.
154	A newspaper delivery man smiles as he walks down a sidewalk holding his papers on top of his head.	The guy just got a big tip from a customer.	1	A customer just gave him a large tip.
155	A wet child stands in chest deep ocean water.	The child s playing on the beach.	0	The child is having fun on the beach.
156	Three young girls in winter clothing and hats look at disposable cameras they are holding.	The temperature is a scalding 100 degrees fahrenheit.	2	The temperature has risen to a scorching 100 degrees Fahrenheit.
157	Three young girls in winter clothing and hats look at disposable cameras they are holding.	The young girls are together	0	The young ladies are gathered together.
158	A man with a red helmet and numbers on his arm and leg is riding a red racing bike.	The man in the red helmet is winning his bicycle race.	1	The cyclist in the red helmet has won his race.
159	A man with a red helmet and numbers on his arm and leg is riding a red racing bike.	A person wearing numbers is using a nonmotorized vehicle.	0	A nonmotorized vehicle is being driven by a person wearing numbers.
160	A young boy looks on as a man performs the guitar on the street while sitting on a bench.	The young boy is watching a hockey game.	2	A hockey game is being watched by the young boy.
161	A young boy looks on as a man performs the guitar on the street while sitting on a bench.	The young boy is watching a man perform.	0	The young boy is admiring a man's performance.
162	A young boy looks on as a man performs the guitar on the street while sitting on a bench.	The man performing is famous.	1	The performer is well-known.
163	A woman in a black top and blue skirt is pushing a carriage or cart down a long empty tree-lined road.	A lady is walking down a forest	1	A lady is strolling through the woods.
164	A woman in a black top and blue skirt is pushing a carriage or cart down a long empty tree-lined road.	A woman is running with a stroller down a lot	1	A woman is jogging down the street while pushing a stroller.
165	An emergency worker directs a man pulling a sled with emergency equipment on a snowy path.	An emergency worker is at the beach.	2	An emergency responder is on the beach.
166	An emergency worker directs a man pulling a sled with emergency equipment on a snowy path.	An emergency worker helps outdoors.	0	An emergency worker lends a hand outside.
167	The young girl is swinging on a swing, and her hair is flying out behind her.	A girl is playing outside on a swing.	1	A young girl is swinging on a swing outside.
168	The young girl is swinging on a swing, and her hair is flying out behind her.	A girl is sleeping in bed.	2	A young lady is sleeping in her bed.
169	A man dressed in a red shirt and black tie stands up at a wedding reception to make a speech.	a drunk talks loudly at a wedding	1	At a wedding, a drunk speaks loudly.
170	A child stands in a shower with clothes on.	A child's clothes are full of mud in the shower	1	In the shower, a child's clothes are caked with mud.
172	A solo shot of a man riding a four wheeler in an atv event.	The man is riding fast on the four wheeler.	1	The man is riding his four wheeler quickly.
173	A solo shot of a man riding a four wheeler in an atv event.	The man entered a swimming event and is riding a jet ski.	2	The man is participating in a swimming competition and riding a jet ski.
174	A solo shot of a man riding a four wheeler in an atv event.	The man is entered in a event.	0	The man has entered a competition.
175	A man dressed in a light blue shirt dumping items from a bin into another bin, while standing in a room full of food donations.	Foods are not stored in room by a man.	2	A man does not keep food in a room.
176	A man dressed in a light blue shirt dumping items from a bin into another bin, while standing in a room full of food donations.	A man dumping items from a bin to another bin to throw it in dry place.	1	A man dumping items from one bin into another in order to dispose of them in a dry location.
177	A man dressed in a light blue shirt dumping items from a bin into another bin, while standing in a room full of food donations.	It is food collection room as a donation.	0	As a donation, it is a food collection room.
178	Two children work together on a project at a table.	Two kids are making a model.	1	Two children are constructing a model.
179	Two children work together on a project at a table.	Two children are doing something together.	0	Two kids are working on something together.
180	A woman sits on a rug next to a shirtless boy who is looking in the direction of a checkers board that includes several pieces.	A woman and her son play the third of a best of three checkers tournament.	1	A mother and her son compete in the third round of a best-of-three checkers tournament.
181	A group of men, women and children are standing around.	A large group of people are standing around.	0	A large crowd has gathered around him.
182	A woman in a blue jacket dragging a child on a sled through the snow.	There is a child on a sled.	0	A child is riding a sled.
183	batter hits a baseball	A man at home plate hits a baseball with the bat.	1	A man at home plate swings his bat at a baseball.
184	batter hits a baseball	A man in a baseball game hits a foul ball.	1	A baseball player hits a foul ball.
185	A person with brown hair wearing a blue shirt and purple bandanna around their neck is chiseling a design into a round, brick pillar.	The person with a purple bandanna is taking a nap.	2	The person wearing a purple bandanna is dozing off.
186	A man and a Woman cutting dough.	Some dough being cut by a man and woman.	0	A man and a woman cut some dough.
187	A man and a Woman cutting dough.	A man and woman eating vegetables.	2	A man and a woman eat their vegetables.
188	A young boy wearing red Croc sandals climbs a tree with healthy, green leaves.	A young boy wears sandals.	0	A young boy is dressed in sandals.
189	A young boy wearing red Croc sandals climbs a tree with healthy, green leaves.	A barefoot boy climbs a tree.	2	A barefooted boy scales a tree.
190	A little boy with an orange backpack walks under a tree through the woods.	A boy walks through the woods.	0	A young boy strolls through the woods.
191	A little boy with an orange backpack walks under a tree through the woods.	A boy walks to school through the woods.	1	A young boy walks through the woods to school.
192	A man wearing a gray tank top is collecting a red rose from a woman who is wearing a white dress	A woman keeps flowers to herself.	2	A lady keeps her flowers to herself.
193	A man wearing a gray tank top is collecting a red rose from a woman who is wearing a white dress	A man takes a flower from a woman.	0	A man robs a woman of a flower.
194	A little baby wearing a blue outfit is grabbing some fruit.	A little baby is wearing red.	2	A tiny baby is dressed in red.
195	A group of people are outside working.	A group of children are swimming outside.	2	Outside, a group of children is swimming.
196	There's a red bus making a left turn into a traffic circle that has a sprinkler system.	A red bus backing up into a spot	2	A red bus pulls into a parking space.
197	Two men are loading bales of wheat on top of a high structure on a cloudy day.	There are clouds in the sky.	0	Clouds are forming in the sky.
198	Two men are loading bales of wheat on top of a high structure on a cloudy day.	The two men are not wearing shirts.	1	The two gentlemen are not dressed in shirts.
199	People protesting age discrimination in an organized street rally.	People are standing in a street.	0	People are standing in the middle of the street.
200	A player on the red soccer team has just scored a goal while the opposing team watches the ball go in.	A soccer player scored a goal.	0	A goal was scored by a soccer player.
202	A man wearing a gray shirt and pink wristband plays the drums.	a man in a gray shirt and pink wristband plays drums	0	A man dressed in a gray shirt and a pink wristband plays the drums.
203	A woman wearing a straw hat is sitting among a variety of different foods while holding a drink.	A woman is standing by the food.	2	A lady is standing near the food.
204	A woman wearing a straw hat is sitting among a variety of different foods while holding a drink.	A woman is sitting near food.	0	A woman is seated near some food.
205	A man looks back while laughing and walking.	A man is looks behind his shoulder to laugh.	0	A man laughs as he looks behind his back.
206	A happy woman quite stands in front of a business that displays a closed sign and looks very animated.	A woman stands by a business.	1	A woman stands in front of a business.
207	A happy woman quite stands in front of a business that displays a closed sign and looks very animated.	A woman happily stands by a bussiness showing a closed sign and looks very colorful.	0	A woman stands cheerfully by a business with a closed sign and appears to be very colorful.
208	A woman in a dress is singing and having a good time.	A woman is singing karaoke.	1	A woman is karaoke-ing.
209	Women sitting at steel table next to a man standing and holding his bicep.	a women is holding a mans bicep	0	A woman is grasping a man's bicep.
210	Four people wearing backpacks walking in a line along a mountain trail.	No one is on the mountain trail	2	There is no one on the mountain trail.
211	A silver car is passing by the entrance of the Hotel Carmel, and several people are outside.	There are people outside the hotel.	0	People are milling around outside the hotel.
212	A silver car is passing by the entrance of the Hotel Carmel, and several people are outside.	There is a red car passing the entrance of the Hotel Carmel.	2	A red car is passing by the Hotel Carmel's entrance.
213	A silver car is passing by the entrance of the Hotel Carmel, and several people are outside.	The people are staying at the Hotel Carmel.	1	The guests are staying at the Carmel Hotel.
214	A woman wearing purple and carrying a bag is walking out of a door.	A woman was indoors before walking outside.	0	A woman was inside before venturing outside.
215	Some men in burgundy coats try to push a car in the snow.	There are men trying to push a car in snow.	0	Men are attempting to push a car through the snow.
216	Some men in burgundy coats try to push a car in the snow.	These men pushing the car off a cliff is from a scene in the movie Fargo.	1	This scene of men pushing a car off a cliff is from the film Fargo.
220	Two young boys playing with ducks near the water.	Two young friends play with ducks	0	Two young friends have fun with ducks.
221	Two young boys playing with ducks near the water.	Young kids play with animals	0	Young children enjoy playing with animals.
222	A squirrel stands on its hind legs in the grass at the edge of a road.	A squirrel is situated in an upright position near the road.	0	A squirrel is standing upright near the road.
223	A squirrel stands on its hind legs in the grass at the edge of a road.	A squirrel is sleeping in the tree.	2	A squirrel is dozing in a tree.
224	A little girl wearing a yellow dress is sitting on the white rocks.	A little girl is wearing a pink dress.	2	A young girl is dressed in a pink gown.
225	Two women are tending to their herd of animals including cows and goats near a building made primarily of stone.	The two women are taking care of a herd of animals	0	The two women are in charge of an animal herd.
226	Two women are tending to their herd of animals including cows and goats near a building made primarily of stone.	The women are both farmers	1	Both of the women are farmers.
227	A surfer showing off his talent in public using a man-made water machine.	A man is cutting the grass.	2	A man is mowing the lawn.
228	A Man is eating food next to a child on a bench.	Man eating on a bench near a child.	0	A man eats on a bench next to a child.
229	A large African American man sitting on a camping chair.	The large black man is relaxing in the chair	0	The large black man is sitting back and relaxing in his chair.
230	A crowd of people is looking at something outside of a Gap store.	People are looking outside	0	People are looking out the window.
231	A little boy playing with two rubber chickens.	The boy is playing with toys.	0	The boy is occupied with his toys.
232	A woman with a black and white dress on is carrying a green plastic laundry basket in front of an apartment building.	The woman is doing laundry.	1	The lady is doing her laundry.
233	A woman with a black and white dress on is carrying a green plastic laundry basket in front of an apartment building.	The woman is wearing a dress.	0	The woman is dressed in a gown.
234	The two dogs are playing catch with a red Frisbee.	Two dogs sleep in a dog bed.	2	A dog bed is shared by two dogs.
235	A woman wearing a ball cap squats down to touch the cracked earth.	A squatting woman wearing a hat touching the ground.	0	A squatting woman with her hat on the ground.
236	A woman wearing a ball cap squats down to touch the cracked earth.	A woman wearing a sun bonnet planting a garden.	2	A woman in a sun bonnet tends to her garden.
237	Two children re laying on a rug with some wooden bricks laid out in a square between them.	Two children are building a brick furnace.	1	Two kids are constructing a brick furnace.
238	A man standing in front of a building on the phone as two men to the side pain on the side.	a guy near a building stands by two other men	0	A man stands near a building with two other men.
239	A man standing in front of a building on the phone as two men to the side pain on the side.	two girls walk through a hall	2	Two young women walk down a corridor.
240	A female bicyclist wearing black, and having four number 9's printed on her limbs on a bike.	A woman is riding a skateboard.	2	A woman is skating on her skateboard.
241	Little girl is flipping an omelet in the kitchen.	A young girl flips an omelet.	0	An omelet is being flipped by a young girl.
242	A girl sits at a table in front of a plate of food.	There is no food on the plate.	2	There's nothing on the plate.
243	A boy posing on the soccer field.	The boy is on a soccer team.	1	The adolescent is a member of a soccer team.
244	A man painting a sign onto his food cart.	Everyone is in a restaurant.	2	Everyone has gathered in a restaurant.
245	The tattooed basketball player is about to dunk the ball.	The player has a tattoo that says mother.	1	"The player has the word ""mother"" tattooed on his arm."
246	a boy in a red hooded top is smiling whilst looking away from his reflection.	A boy in a red hood is happy.	0	A young man in a red hoodie is overjoyed.
247	a boy in a red hooded top is smiling whilst looking away from his reflection.	The boy doesn't want to see his reflection.	1	The boy does not want to see himself in the mirror.
248	An old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow.	An old woman has a light jean jacket.	1	An elderly lady wears a light jean jacket.
249	An old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow.	An old woman has a jean jacket.	0	An elderly lady wears a jean jacket.
250	A brown and white dog is chained up near a red chair.	The dog is chained to a chair.	0	The dog is attached to a chair by a chain.
251	A woman in a red shirt looks at a map while with a view of a river and several boats in the background.	A woman looks at a map outdoors, a river and boats are behind her.	0	A woman examines a map outside, with a river and boats in the background.
252	A woman in a red shirt looks at a map while with a view of a river and several boats in the background.	A girl is buying a cup of coffee.	2	A young lady is purchasing a cup of coffee.
253	The African American man protests against unlawful sex.	The man protests in something he doesn't believe in.	1	The man protests something in which he has no faith.
