index	premise	hypothesis	label	originated_idx
34	Two men are standing outside.	A couple of men a seated on a couch.	2	3508|3506
35	The two women are walking down the shore drinking tea.	Both women are drinking coffee outside.	2	5980|5982
36	A group of people sit angrily at a table waiting for food.	A group of people celebrate.	2	4071|4072
37	The dog is taking a nap at the park.	The dog is pulling a stick.	2	944|943
38	A man stands in his room.	A man walks outdoors.	2	4001|4003
39	A group is swimming.	A group is walking.	2	8605|8607
40	A woman and her cat are laying by the fireplace.	A woman is with her dog outside.	2	5238|5237
41	Man throws knives at unsuspecting people.	Man performs a juggling act on a unicycle.	2	3643|3644
42	A woman is climbing stairs	A man is outside	2	6170|6171
43	An animal is lying down.	An animal is jumping.	2	9355|9353
44	A couple is standing and frowning.	A couple is sitting down and smiling at each other.	2	6034|6035
45	The young men are in complete agreement.	Young men are arguing.	2	8683|8684
46	The happy woman has big green eyes.	A woman wearing sunglasses is not smiling.	2	7861|7862
47	a group of children are sitting at desks	A group of children are on stage	2	9288|9286
48	A woman is riding a bicycle.	A woman is on the ground outside.	2	480|479
49	There are twelve police cars in the photo.	There are two police vehicles in the photo.	2	2302|2304
50	A man walking on water.	A group of cleaners after a parade.	2	848|850
51	The kid is riding a bike.	The child slides into the pool.	2	2863|2861
52	A dog is chasing a frisbee.	A dog is jumping.	2	3767|3768
53	A group of people is yelling and shouting.	A group of singers sings.	2	9013|9012
54	The man attending a meeting in his office.	Man doing a trick riding his bicycle.	2	4907|4906
55	A naked woman playing piano.	A lady in a swimsuit checking things out.	2	1341|1340
56	Someone is fixing a lawnmower.	Someone is fixing a net.	2	9719|9717
57	The guy is hunting in the woods.	A man is working outside.	2	2052|2053
58	A man walks his dog with a black leash.	A dog on a red leash walking away.	2	4366|4367
59	A woman rides a horse on the beach.	A lady is lying in bed.	2	6374|6375
60	A lady is painting a picture	A lady is taking a picture	2	5812|5811
61	A group of African American people are eating dinner at KFC.	A group of Chinese people are hanging out on a porch.	2	6219|6217
62	A yellow dog is going to the vet.	A yellow dog is running outdoors.	2	6478|6479
63	a man in his van because he caught his victim	a man standing in front of a van	2	6535|6537
64	The collie is running through the park.	The collie is standing in the sand.	2	5528|5527
65	A person at the movies	A person with a book	2	2738|2740
66	Two children are playing catch at a park.	Two children are on a rug.	2	54|55
67	There is a guy with a basketball.	There is a guy holding a football.	2	7651|7649
68	A man wearing only a hat, boots, and underwear is licking the sidewalk	A man wearing only a hat, boots, and underwear is walking the sidewalk	2	5354|5352
69	The person is taking a nap in their bed.	A person is holding a tennis racket.	2	2051|2049
70	A dog is napping on the bed.	A dog is mid-air, jumping to catch a tennis ball.	2	7447|7446
71	The person is swimming.	A person is enjoying the scenery.	2	6353|6354
72	Everybody has a shirt	A man without a shirt	2	7302|7304
73	The woman is not going to finish the race.	A woman is finishing a race.	2	6147|6145
74	A boy runs into a wall	A tan girl runs leans over an object	2	21|22
75	Two men are hugging.	A man is with a woman.	2	3504|3505
76	A person is sitting at a baseball game.	Someone is standing near a metro station.	2	257|258
77	A man sits on a ledge	A woman sits on a ledge	2	8264|8263
78	The boy sitting on top of his dads truck.	A teenager working on homework.	2	4584|4585
79	A man in a colorful shirt and a lady in a white blouse give candy to people.	Two people sign copies of books.	2	2151|2150
80	A soccer player tries to score a goal and the opposing team stops it.	A soccer player scored a goal.	2	5122|5124
81	A woman in a brown dress is a murderous clown at a birthday party.	A woman is checking out papers.	2	1675|1673
82	The woman is doing a speech.	An older man is talking.	2	9651|9653
83	The traffic was not to bad today the guy made it home early and took a nap.	A person has lost it by laying down in a busy street while there is bad traffic.	2	6946|6945
84	Two couples are drinking a lemonade.	A group of people are pulling suitcases.	2	9119|9118
85	Three dogs sleep in the shade of an old tree.	Three dogs run.	2	7146|7147
86	a woman takes a bath	two women walk	2	4950|4949
87	The man is inside.	The man is outside.	2	4701|4702
88	Two kids are running down a highway.	Two kids are hugging.	2	125|124
89	The greyhounds are lying down to sleep for the night.	The dogs are racing down the track.	2	7493|7494
90	The husband mows the lawn.	A male is engaging in something acrobatic.	2	1907|1908
91	A man is sleeping.	A man is fishing.	2	6349|6347
92	A woman in a white and yellow baseball uniform with the number fifteen on her chest prepares to shoot a free throw.	A woman in a white and red basketball uniform.	2	5065|5064
93	The boys are wearing red shirts.	There are children wearing blue.	2	4901|4902
94	A woman wears a shirt on a unicycle.	A guy wears a shirt on a bike.	2	3908|3909
95	A man has dropped a ball.	A football player is holding a ball.	2	1770|1769
96	A girl walks through a field.	A boy walks through the woods.	2	8687|8686
97	The man and woman are mad at each other.	The man and woman are having a good time.	2	7029|7030
98	a person sitting on a bench	a person walking in a tunnel	2	7595|7594
99	a man in an empty park	a man talking to a crowd	2	7083|7085
100	The stage is empty	Two people on a stage	2	2831|2833
101	A dad and his daughter with an blueberry pie.	A dad and his child are eating apple pie.	2	7380|7381
102	A boy kisses his dog on the beach.	Two people are kissing.	2	6545|6546
103	The man's pants are red.	The man and woman who are talking are both wearing black pants.	2	6513|6514
104	A man listens to an audio book.	A person reads.	2	8678|8679
105	The kids are in the back yard.	There is a group of people on the beach.	2	8227|8228
106	The man is indoors.	The person is outdoors.	2	1951|1949
107	Nobody has sunglasses	A human wearing glasses	2	3007|3005
108	Two people are enjoying ice cream.	Two people are playing flag football.	2	2807|2806
109	The boy is asleep in bed.	A young male is wearing clothes.	2	3982|3981
110	the man is at home sleeping	a man is posing	2	3469|3468
111	A man in a suit walking on a sidewalk.	A person biking.	2	631|630
112	The woman is sitting at home.	The woman is relaxing in water.	2	4150|4148
113	A woman standing on top of a rocky mountain.	A man sitting on top of a mountain.	2	1604|1605
114	A couple and their dog are in their living room.	A dog is going for a walk.	2	5395|5397
115	The man does not have any gear on.	There is a man working.	2	6701|6700
116	two babies play in the grass	a individual on a table holds a water near a stroller	2	7305|7306
117	Foods are not stored in room by a man.	It is food collection room as a donation.	2	4967|4969
118	A boy and girl are waiting patiently in line.	A boy and a girl are playing.	2	7637|7639
119	The man is swimming in the ocean.	A male has a device near his mouth.	2	5714|5713
120	A gentleman swims at the beach.	A man scribbles indoors.	2	7681|7680
121	The kids crawl in sand.	Children in uniforms climb a tower.	2	464|465
122	Two men enjoy a nice canadian maple syrup on their pancake breakfast.	Two men wrestle in uniform.	2	2297|2296
123	A man is walking on sunshine.	A man is digging the snow outside.	2	2799|2800
124	A woman is blind.	A woman is looking	2	3748|3749
125	There is a group of people behind another group of people hiding underneath a table.	There are several people sitting around a table.	2	3913|3911
126	The baby is crying.	The baby is smiling	2	3325|3324
127	The car is a convertible.	The car has stuff on top.	2	856|854
128	A skater is being photographed.	A cyclist is being filmed.	2	4166|4167
129	The young girl looks through the telescope.	The boy is looking through a microscope.	2	795|796
130	A woman selling tires.	A woman in her vegetable market.	2	5485|5487
131	A health worker is evaluating the health of a young boy.	A health worker is evaluating a girl.	2	2658|2657
132	The women are angry.	The two women are amused.	2	1944|1943
133	The workers are sleeping.	The workers are working infront of the house	2	8981|8982
134	The three young children are playing inside.	The three young children are outside.	2	6726|6728
135	A skateboarder is in his backyard wrestling with his friends.	A skateboarder is doing tricks in an area with ramps.	2	1091|1090
136	It is late at night.	It is a sunny day.	2	6294|6292
137	A fat woman is topless.	A fat woman is wearing a shirt.	2	1858|1857
138	A woman is not using an umbrella.	A woman is using a large umbrella.	2	5267|5266
139	A man in a gray shirt is outdoors.	A man is near a desk and a computer.	2	1920|1919
140	The woman is standing with her hand over her mouth.	A woman in a shirt is sitting in a chair with an animated expression on her face.	2	3344|3343
141	There are men dancing	there are several women	2	859|861
142	the woman is standing	a woman is sitting	2	8707|8708
143	Nobody is standing.	A human standing.	2	4448|4449
144	cowboy feeding his horse	cowboy competing in a rodeo	2	6953|6954
145	The man is sleeping.	The man is looking at his face.	2	7434|7436
146	man sleeps in bed	people excercise on court	2	5339|5338
147	The man is washing his car.	The man is cooking food.	2	375|373
148	Two people are swimming at the gym.	Two people are outside with animals.	2	9498|9497
149	The men are inside	The men are outside	2	7692|7694
150	The men are blackbelts.	A man is wearing a red belt.	2	895|896
151	A woman says Hi to another woman at the grocery store.	A man pushing away another man on the soccer field.	2	7751|7752
152	A man is walking.	A man is singing.	2	5022|5023
153	the black and white dogs are playing.	The dogs are fighting.	2	3234|3235
154	A young woman is making food in the kitchen.	An old woman is in the kitchen.	2	8643|8642
155	The dogs are refusing to share.	The golden dog is playing ball with another dog outside.	2	345|346
156	Children swimming in a pool.	Children playing outside.	2	7405|7404
157	A boy is on his bike.	A boy is playing a game.	2	6940|6939
158	The BMX rider is at home watching the X games.	The BMX rider is riding a two wheeled vehicle.	2	2141|2143
159	A man reaches into a boat.	A man reaches into a car.	2	3435|3434
160	The two men are back at the office.	Two men are standing near an idling bulldozer.	2	1885|1884
161	A man and his family are eating pizza.	A man and woman are sharing a hotdog.	2	612|614
162	A group of people playing monopoly.	A group of people eating and drinking.	2	5997|5996
163	Two children build a sand castle.	Two children surf in the ocean.	2	4557|4556
164	The woman is wearing a full sleeved jacket.	The woman is wearing a vest.	2	5270|5271
165	A sad woman is watching TV.	A woman is cooking.	2	7634|7636
166	The young boy is watching a hockey game.	The young boy is watching a man perform.	2	5737|5738
167	The man is young	the man is old	2	779|781
168	A man is indoors watching someone canoe on television.	A man is about to ride in a canoe.	2	6520|6519
169	A man plays the clarinet for his family.	A man plays a piano.	2	3100|3099
170	The pet is laying on the couch.	An animal is running outside.	2	2986|2984
171	A class of completely seated students.	Two students jumping in a class.	2	5049|5048
172	Two girls are in a room with red curtains.	Two girls are decorating their Christmas tree.	2	1390|1391
173	The people are eating ice cream at Dairy Queen.	There are people looking at books.	2	3145|3147
174	Most of the men are dressed in white shirts.	The men are wearing several different coloured shits.	2	6054|6053
175	boy eats sandwich	woman rollerblading	2	3599|3597
176	A young woman and old man are playing poker.	An old woman and young man are playing bingo.	2	6930|6931
177	The little boy is yelling at the girl in the white shirt.	A little boy is whispering to a girl.	2	3815|3816
178	A crowd of people is celebrating Easter.	A crowd is celebrating Christmas outside of Bank of America.	2	3943|3942
179	The animal is climbing a tree.	There is a furry animal in the grass.	2	8472|8471
180	A group of people play football.	People play frisbee outdoors.	2	1300|1299
181	the guy with the afro is eating spinach	the guy with the afro is playing on the guitar	2	4979|4981
182	A guy is jogging.	A guy is fixing the roof.	2	5745|5744
183	Two men own homes.	Two homeless men lean against a wall with a dog.	2	639|638
184	A skier is standing on a blue stretcher while three men watch excitedly	An injured skier being taken for medical help	2	9029|9030
185	The boy plays the flute	The child practices guitar indoors	2	5774|5775
186	A man holds a sword.	A woman holds an axe.	2	2667|2666
187	A couple are riding a rollercoaster.	Two people, one with a hat, can see baseball from where they are.	2	6649|6650
188	A group of students are taking naps.	The college class of mostly females watched a presentation.	2	1676|1677
189	A security officer is in an office building.	A security officer is outside.	2	4930|4928
190	roller derby players laying down after the match.	Roller derby players skating around the rink.	2	2604|2606
191	A man is outside with no bag on his back.	A man is carrying a bag on his back.	2	8924|8922
192	The man is running down the street.	The man is outdoors walking.	2	2247|2245
193	A group of people are sitting in the library.	There are people walking.	2	9458|9460
194	A man is sunbathing.	A man is surfing.	2	8444|8443
195	Two men are playing soccer in the field.	Two people are climbing something.	2	1823|1822
196	A man is sleeping at home.	A man is with his boat.	2	5848|5850
197	The person is resting.	The person is snowboarding.	2	7979|7977
198	The people are sleeping in the train station.	The people are outside skating.	2	4915|4914
199	The man is driving a truck.	The man is riding a bike.	2	404|405
200	A woman is running	A man is riding a skateboard	2	7724|7723
201	boy swimming	a boy playing	2	2134|2132
202	A woman in a dress dances in the club.	A woman in a dress cooks food.	2	9007|9005
203	2 women are talking	Sin men are in tuxedos	2	1743|1744
204	Two boys eating cupcakes.	Two girls eating cupcakes.	2	7489|7487
205	There is only one person present.	There are multiple people present.	2	2073|2074
206	A ballerina is climbing a tree.	The man is wearing safety gear on his head.	2	947|946
207	Two married people avoid looking at one another.	People show their appreciation for another.	2	5598|5596
208	Nobody is dancing.	Dancing is going on a room.	2	2536|2537
209	Two men sit and enjoy lunch together.	Two men boxing.	2	9518|9517
210	The man is running the train into another train.	A man is riding a tiny train and sees another man on a different train.	2	8480|8482
211	A man sitting on a bench outside.	A man walks down the sidewalk wearing headphones.	2	7980|7981
212	The dog is asleep on the sofa.	A little dog chases a ball.	2	7932|7933
213	A man crying while at a restaurant.	A man laughing.	2	3380|3379
214	An individual is playing guitar on the streets.	A poor person in tattered clothes kneels by the trash filled body of water.	2	9723|9724
215	the singer did not show up	a singer wearing a jacker performs on stage	2	8899|8900
216	The man is wearing a blue cap.	the man is wearing a gray cap.	2	219|218
217	A young boy is grilling vegetables.	A young boy is using a utensil to handle meat on a grill.	2	4691|4692
218	The man is riding a motorcycle across the street.	A man is walking across an intersection.	2	6618|6620
219	A girl is wearing a yellow sweater.	A girl is wearing orange.	2	8051|8050
220	A woman is break dancing	A man is break dancing at a school	2	5469|5470
221	The man is shirtless on the beach.	A man is wearing a blue shirt.	2	8053|8055
222	Four people are sleeping at home	Four people are walking	2	9063|9062
223	The snowboarder is sitting in a jacuzzi.	The snowboarder is grinding a rail.	2	2361|2362
224	Four male humans crossing the road.	There are 4 female humans who are moving.	2	2377|2375
225	Three women go to the spa.	The three women are happy about baking cupcakes.	2	977|976
226	The man is at home with his kids.	The man is outdoors and with animals.	2	6691|6692
227	Two women having lunch.	Men working in a factory.	2	6951|6952
228	A person is wearing a bright hat	A person is wearing a dark hat	2	4100|4102
229	There is one bride.	There is a group of brides.	2	6541|6543
230	A man cleans up a spill.	A group of people posing in front of a body of water.	2	5574|5573
231	A family is playing out in their backyard.	People are on a couch	2	3190|3189
232	The group is eating lunch at a small cafe.	The woman is walking away from the group.	2	9570|9572
233	People waiting in line at an amusement park.	Group of people waiting to cross the street.	2	9691|9690
234	the side of the road is empty.	me are sitting on the side of a road	2	485|484
235	The teenager is sliding down the railing.	The teenager is seated.	2	7087|7086
236	A woman adjusts her bra	A man adjusts his tie looking at a laptop	2	7103|7102
237	The children are eating PB&J sandwiches inside their kitchen.	There are three children in this picture, and they are all outside.	2	9360|9361
238	The boy is doing a jump on rollerblades.	The boy is riding his board.	2	8953|8952
239	A man and woman are scuba diving.	A man and woman are in a metropolitan area.	2	7180|7182
240	A person is driving an airplane over the mountains.	The crowd is admiring the person water-skiing.	2	6754|6755
241	The group of people are naked.	They are people in the water with clothes on.	2	4130|4131
242	The person is on a camel.	The person is on a horse.	2	9625|9626
243	The ladies are sitting on the floor.	The two ladies are outside.	2	897|899
244	The lady is reading a book.	There is a lady with an orange scarf, brown boots, and brown jacket on the train listening to music.	2	7309|7310
245	There is a photographer taking a photo of a man indoors.	There is a man standing outside having his photo taken by another person with a shadow.	2	4187|4188
246	A single person stands on a heavily-eroded cliff-side spaceship	A single person stands on a heavily-eroded large cliff-side rock	2	4403|4402
247	An older man sleeps in a hospital bed.	A man is sleeping outside.	2	6855|6856
248	Nobody is doing laundry at the laundromat.	A woman is doing laundry.	2	2406|2405
249	The three players are chasing after the hockey puck.	There are three soccer players.	2	8078|8077
250	Girl in a black coat stays indoors away from the snow.	A girl outside plays in the snow.	2	282|283
251	A man is cleaning wood.	A woman is cleaning wood.	2	3857|3855
252	Two persons playing tennis.	Two men practicing martial arts.	2	8236|8235
253	the people are standing at the cliff	some people are sitted	2	9282|9281
254	Children are sleeping.	Children are eating.	2	2276|2277
255	The kids are looking through a telescope.	The children are looking through a microscope.	2	1141|1140
256	a child is eating vegetables	a child has chocolate all over his hand	2	7213|7212
257	The girl is walking alongside the horse.	The girl is riding a horse.	2	3712|3711
258	The girls are playing on a street.	Three girls are jumping	2	3826|3827
259	the large black man is running a race	The large black man is relaxing in the chair	2	9552|9553
260	There is one person outdoors.	The people are outdoors.	2	697|695
261	Some girls are watching cartoons.	Some people are having their photo taken.	2	6947|6949
262	A man is riding a unicycle.	A man is holding a unicycle in a curious manner.	2	1752|1753
263	The horse is being ridden by a man.	The woman is riding a horse.	2	3771|3769
264	A motorist has stalled.	A motorist is riding his bike.	2	3265|3266
265	The workers are making coffee inside.	Two workers are climbing a building.	2	7113|7115
266	An old person in a field of poppies.	A kid and some flowers.	2	2434|2433
267	A soccer team hangs out in the locker room.	The soccer team in blue plays soccer.	2	784|782
268	A girl is swinging, rather high, on a swing with white ropes.	A girl is swinging, rather high, on a swing with blue ropes.	2	3170|3169
269	A family is out at a restaurant.	A family is at the beach.	2	25|26
270	A young woman is eating in a fine restaurant.	A young woman in a black skirt is walking next to nearby shops.	2	3420|3418
271	A man is laying outside in the grass.	A man is in a room.	2	1376|1375
272	The people are watching what is happening.	People are milling about the city street.	2	371|370
273	A baby eating a steak.	A baby eating cake messily.	2	6549|6548
274	The men are selling clothes in a sports store.	Males are socializing with each other while wearing casual clothes.	2	4400|4399
275	A man swims across a pool	A young man wears gloves	2	1357|1358
276	No one has attended the outdoor street event.	The outdoor street event has attracted many people.	2	7324|7325
277	Nobody is working	Humans working.	2	9798|9799
278	The woman is frowning.	A woman is smiling.	2	2189|2188
279	An astronaut working with an alien to repair a satellite.	An astronaut training underwater.	2	1702|1701
280	a man sleeps in bed	a man surfs	2	1799|1800
281	3 people are seated with their backs against each other	people hanging outside by the water	2	9264|9263
282	Laura Bush is driving a jet-ski near the Washington monument.	The former First Lady is at the podium for a conference.	2	1438|1436
283	The old lady spends a good time relaxing on the lounge.	There is a person jogging by the shore.	2	5056|5055
284	There is no teacher in the room.	The kids are learning.	2	1657|1655
285	the man is inside	the man is outdoors	2	3669|3670
286	The men are playing volleyball.	The men are playing frisbee.	2	7551|7553
287	Nobody is sitting.	A human sitting.	2	4195|4194
288	A man is riding a bike	A swimmer is swimming	2	1681|1680
289	A volleyball team is at a beach celebrating.	A sports team is in a gym.	2	7234|7235
290	The employee is swimming in the ocean.	The employee is indoors.	2	617|616
291	The camera is being thrown by the girl	A camera is being lowered onto a running track by a girl in black pants	2	2936|2938
292	Everybody is sitting	Some people standing	2	2946|2947
293	A group of people standing around waiting for a bus.	A group of people buy food.	2	9202|9204
294	A child stands alone.	A child and woman are picture.	2	1491|1492
295	A boy is dancing on his bed.	A boy is running outside.	2	7701|7702
296	A tattooed man clicking on a mouse on a desk.	A woman clicking on a mouse on a desk.	2	7171|7173
297	A dog is avoiding the water.	A dog is going to get wet.	2	489|487
298	A woman has a beer.	A man has a beer with him.	2	4635|4633
299	Ther isn't any water around the man	The man is in a boat	2	1459|1460
300	The man is wearing a red shirt.	The man is wearing brown.	2	7740|7741
301	A woman has a bright white jacket.	A woman has a bright pink jacket.	2	3589|3588
302	Two children fight over the remote.	Children play in the snow.	2	3430|3431
303	The man is swimming at the bottom of the ocean.	The man is near the grill.	2	5952|5951
304	A girl rides a scooter through the grass.	The rider is in the air.	2	2419|2417
305	A boy is swimming in the ocean.	A man is swimming in an indoor pool.	2	1862|1860
306	A young boy is watering some plants.	A young boy wears a helmet while on a motorcycle.	2	9019|9018
307	The skateboard is resting.	The skateboard is grinding.	2	9243|9242
308	The policeman is standing.	The policeman is sitting.	2	7839|7837
309	A group of cute Asian children are playing trumpets	A group of cute Asian children are playing tambourines	2	7004|7002
310	People are looking inside	People are looking outside	2	2384|2385
311	The man sits crosslegged on the floor.	The man is upright.	2	426|425
312	A man sitting and woman punching him the face.	A man sitting and woman laying in his lap.	2	5307|5308
313	A couple looks at porn.	A man poses with a woman.	2	1274|1276
314	An old elephant in a pink polo looks through a telescope with a small child standing next to him	An old man in a pink polo looks through a telescope with a small child standing next to him.	2	8465|8466
315	A dog is asleep on the couch.	A dog is outdoors.	2	5978|5977
316	Two people are ballroom dancing.	A couple are at the park.	2	5943|5941
317	The men are watching a football game on the sofa	There are men outside	2	9323|9322
318	The dark-haired lady frowned and wore all black	There is a happy lady with colorful clothing	2	8062|8063
319	Two girls stand around the vending machines.	Two girls kneel together on the ground.	2	7150|7148
320	The group sits under a pavilion at an amusement part as rain pours down from the heavens.	A picture of people enjoying themselves at an amusement park.	2	5254|5256
321	A man laying down	A man sitting with a sign	2	1546|1544
322	a woman at the beach	a man walking around in nature	2	4395|4393
323	the lioness is sleeping	a lioness preying	2	956|954
324	Nobody is drying clothes.	A person drying clothes	2	366|365
325	A woman sits beside the escalator.	A woman walks to an escalator.	2	3240|3242
326	A child is sitting next to a computer desk.	A child sits next to a storm drain.	2	2116|2115
327	Nobody is working.	Someone is sawing.	2	3302|3300
328	Children playing in the park.	Two boys in bed.	2	2314|2312
329	A woman keeps flowers to herself.	A man takes a flower from a woman.	2	8692|8693
330	A girl sleeping on the ground.	A person is looking at something from afar.	2	4386|4384
331	Women cooking dinner	Women playing a sport	2	5104|5106
332	People are outside tossing a ball.	People are inside.	2	3018|3017
333	Nobody is jumping.	A human jumping.	2	542|541
334	People are sitting on their unicycles.	The bicycles are besides the people.	2	2596|2597
335	There is only one dog at the beach.	There are multiple dogs present.	2	467|468
336	The robe is black.	The robe is brown.	2	9378|9377
337	Four older women are sitting in a hot tub	4 older woman are walking	2	1529|1528
338	The dog is walking	The dog runs	2	998|997
339	A woman crosses the street carrying a large sandwich.	A woman crosses the street carrying her baby.	2	4044|4042
340	The man is swimming in a pool.	The man is fixing a car.	2	5311|5310
341	A man is crying at a co-worker's funeral.	A guy is cutting another man's hair.	2	3219|3221
342	There is only one person.	Two wrestlers are in a match.	2	8175|8177
343	Nobody is poking	A human poking	2	8780|8781
344	Two people are in a helicopter, high above the Sahara desert.	Two people are about to be in water.	2	4677|4675
345	Two women are fishing in the ocean.	Two women are jogging by the beach.	2	7811|7812
346	The children are studying fractions inside the classroom.	The children are in the water.	2	2416|2414
347	A person in red is swimming in the Olympics.	A person in red is cutting the grass on a riding mower	2	299|301
348	Kids playing a video game as the light of dawn peeks through the windows.	Children competing in a relay race.	2	7560|7561
349	A man is riding in a spaceship to the moon.	A man is speaking.	2	6076|6078
350	Two old women hate flowers and would not be near them	Elderly women are resting near flowers	2	8378|8379
351	A group of people are watching an empty stage.	A group of people are on stage.	2	3067|3068
352	A woman is wearing a mask	A man is wearing a mask	2	5382|5381
353	The dog is sleeping.	The dog is jumping.	2	9590|9588
354	two ladies jumping for joy	two ladies nap on a bench	2	6911|6909
355	A woman is doing arithmetic at home.	A woman is outside.	2	6873|6874
356	A dog goes to the vet.	A dog plays in the park.	2	3989|3991
357	No one is windsurfing.	A person is windsurfing.	2	2094|2092
358	The father is teaching his daughter how to ride a bike.	A boy is learning how to ride his bike.	2	5863|5864
359	A barber is closing his door.	A barber waits for business.	2	9471|9470
360	A dog is laying on the couch.	An animal is walking.	2	6192|6190
361	The girl is sitting inside.	A girl splashes in water.	2	3892|3891
362	The players are playing basketball.	The players are playing rugby.	2	1719|1718
363	The man is sitting on a chair in his house.	The man is outside.	2	2392|2391
364	The man is sleeping	The man is swinging	2	3289|3290
365	Two people playing dodgeball	Two people holding fencing swords	2	8951|8950
366	two girls sit and play in a waiting room	a guy smoking against a wall with a flier on it	2	4198|4197
367	The man was laying by the pool.	A man was swimming in the pool.	2	6858|6859
368	A girl is petting her dog.	A girl is showing affection towards a cat.	2	3091|3092
369	The bird is in a tiny cage	The bird is touching the water	2	6921|6923
370	Two children on a seesaw.	Two adults on a seesaw.	2	8676|8674
371	There is one person .	There is a large group.	2	8101|8100
372	A woman is painted with yellow body paint.	A woman is painted green while holding a hula hoop.	2	7134|7135
373	A woman is wearing a blue coat	A woman is wearing a black coat	2	9735|9736
374	Two men are reading books.	Friends are preparing a meal.	2	4452|4451
375	two men are sitting by the pool next to machinery on the boat	two men in workers gear are on a large ship with machinery	2	2320|2319
376	A women is on stage holding a guitar and is ready to perform for the audience.	A woman is on stage holding a microphone.	2	8701|8703
377	A man wearing a tux	A man wearing a costume	2	7648|7646
378	The raft is empty.	The raft has people in it.	2	8301|8300
379	A woman is writing on a rock	A woman is writing on paper	2	3730|3732
380	Dog lays down outside.	Dog runs outside.	2	7456|7454
381	A path covered by snow.	A hot summer by the beach on the walkway.	2	8896|8897
382	The photo was of two men.	There are two women in the photo	2	5051|5052
383	A man is playing golf with his friends.	A man is fishing.	2	6980|6979
384	Two men are getting ready to play basketball.	Hockey players are standing on the ice rink.	2	2024|2025
385	Two men fighting over ice cream.	Two men shining shoes.	2	6148|6150
386	A young person in white next to an older person.	A young person in black next to an older person.	2	4849|4851
387	No one is on the mountain trail	Four people are walking along a mountain trail.	2	8490|8488
388	The woman is on an airplane.	The woman is adjusting the boat.	2	4710|4709
389	Six men are seated at the back of a city bus.	Six men dressed in black and yellow uniforms are standing in a gymnasium.	2	3345|3346
390	Nobody has beach attire	People in beach attire	2	8163|8165
391	Women and men sing indoors.	People are gathered by the water.	2	3263|3262
392	A lady is sad after the tragedy.	A lady is excited.	2	3675|3676
393	The man is at home watching TV.	The man is bowling.	2	9707|9705
394	a man at the opening of a small bush	a man at the opening of a large tree	2	4373|4372
395	The street is quiet and calm.	The street is alive with activity.	2	690|689
396	The people are waiting at their table for the waitress to bring their food.	There are people who are about to eat.	2	5518|5519
397	A group of people sit at home	A group of people are walking together	2	8938|8937
398	Two young girls are riding roller coasters.	Two young girls are standing under a fountain of water.	2	6367|6366
399	The rider is in his garage	The rider is outdoors.	2	9283|9285
400	A child is at home, resting.	A child is inside a car.	2	676|675
401	The women are next to a big elementary school	The two women are taking care of a herd of animals	2	9544|9545
402	A woman swims by herself through the waves.	The man is windsurfing on the ocean.	2	1801|1802
403	A man in black hat keeps his lips sealed.	A person separates his upper and lower jaw.	2	8761|8759
404	Three firefighters playing cards inside a fire station.	Three firefighters coming up from a subway station.	2	38|37
