index	text	text_paraphrase	label
21	AFP - The unexpected boom in US job creation in October has locked in an interest rate rise and will likely encourage another tightening in December, analysts said.	AFP - According to analysts, the unexpected surge in US job creation in October has locked in an interest rate increase and will likely prompt another tightening in December.	2
22	Computer Associates is releasing eTrust PestPatrol Anti-Spyware r5, aimed at consumers and small businesses, and based on technology CA obtained when it bought anti-spyware provider PestPatrol two months ago.	Computer Associates has released eTrust PestPatrol Anti-Spyware r5, which is aimed at consumers and small businesses and is based on technology acquired by CA when it purchased anti-spyware provider PestPatrol two months ago.	3
23	Even though this barely touches the topics of this site, it is well worth mentioning that the Mozilla Firefox browser has finally reached the 1.0 milestone.	Despite the fact that it has little to do with the topics of this site, it is worth noting that the Mozilla Firefox browser has finally reached the 1.0 milestone.	3
24	Enigma's 3C Platform is designed to help IBM streamline business processes for automotive OEMs and dealers.	The 3C Platform from Enigma is intended to assist IBM in streamlining business processes for automotive OEMs and dealers.	3
25	Lee Carsley scored the winner in the 68th minute, giving Everton a 1-0 victory Saturday over Liverpool in the 200th Merseyside Derby.	Lee Carsley scored the game-winning goal in the 68th minute to give Everton a 1-0 victory over Liverpool in the 200th Merseyside Derby on Saturday.	1
26	Hollywood movie powerhouse Walt Disney has taken sides with Japans Sony Corp in a bitter battle between studios to define a technical standard for next generation DVDs, it said.	Hollywood studio behemoth Walt Disney has sided with Japan's Sony Corp in a bitter battle to define a technical standard for next-generation DVDs, according to the company.	3
27	The US-led militarycoalition in Afghanistan has beguna big offensive against militants loyal to the ousted Taliban regime in an attempt to quash any attempt to disrupt parliamentary elections next spring.	In Afghanistan, the US-led military coalition has launched a major offensive against militants loyal to the deposed Taliban regime in an effort to thwart any attempt to disrupt parliamentary elections next spring.	0
28	Shelden Williams collects 18 points and 15 rebounds to give Duke an 82-54 triumph over Toledo and Coach Mike Krzyzewski his 700th career win on Sunday.	Shelden Williams scores 18 points and grabs 15 rebounds to lead Duke to an 82-54 victory over Toledo on Sunday, giving Coach Mike Krzyzewski his 700th career victory.	1
29	The Seahawks deny a Falcons' two-point try for the tie with no time remaining to wrap up the NFC West, 28-26, on Sunday.	On Sunday, the Seahawks won the NFC West by defeating the Falcons 28-26 on a two-point conversion attempt with no time remaining.	1
30	Inter Milan striker Adriano has asked fans to forgive him after he was sent-off in the 0-0 draw against Valencia on Tuesday night.	Adriano, an Inter Milan striker, has asked fans to forgive him after being sent off in Tuesday night's 0-0 draw with Valencia.	1
31	Yukos warned yesterday it could declare bankruptcy within months following fresh tax claims that could leave Russia #39;s biggest oil company facing an astronomical bill of \$17 billion (R104 billion).	Yukos warned yesterday that it may declare bankruptcy within months as a result of new tax claims that could cost Russia's largest oil company an estimated $17 billion (R104 billion).	2
32	The National Health Service (NHS) has extended a software licensing deal with Microsoft for nine years - three times longer than its current agreement.	The National Health Service (NHS) has extended a software licencing agreement with Microsoft for nine years, which is three times the length of the current agreement.	3
33	President Bush told a Thursday news conference he would continue to lead the United States in promoting freedom and democracy in the Middle East.	President Bush said at a news conference on Thursday that the US would continue to lead the way in promoting freedom and democracy in the Middle East.	0
34	Mortgage rates around the country rose this week but are still at levels that should continue to provide support to the vibrant housing market, analysts say.	Mortgage rates rose across the country this week, but remain at levels that analysts believe will continue to support the thriving housing market.	2
36	Mount St. Helen #39;s in Oregon has been active these last few months but that is nothing compared to the eruption at Old Trafford on Sunday.	Mount St. Helens in Oregon has been active in recent months, but nothing compares to the Sunday eruption at Old Trafford.	1
37	While not pleased, the Jets were neither surprised at the outcome of their showdown against the Patriots, nor downcast about their future.	While dissatisfied, the Jets were not surprised by the outcome of their game against the Patriots, nor were they pessimistic about their future.	1
38	When Lecce sold their prolific Uruguayan striker Ernesto Chevanton to French club Monaco in the close-season, many pundits added the southern club to the list of favourites for relegation.	When Lecce sold prolific Uruguayan striker Ernesto Chevanton to French club Monaco in the offseason, many pundits threw the southern club into the relegation mix.	1
39	AP - South Korea's Hynix Semiconductor Inc. said Monday its third-quarter net profit more than tripled from same period last year thanks to steady global prices for memory chips.	AP - Hynix Semiconductor Inc. of South Korea reported Monday that its third-quarter net profit more than tripled compared to the same period last year, owing to stable global memory chip prices.	0
40	Three-year project will back programmers' effort to build Linux software support for the high-speed networking technology.	A three-year project will support programmers in their efforts to develop Linux software support for high-speed networking technology.	3
41	The traditional pattern shakes its fussy image as designers give it a new look	As designers give the traditional pattern a new look, it shakes its fussy image.	2
42	Google is improving on the discussions its popular Web site hosts, hoping the upgrades will spur more online banter and make its market-leading search engine a richer destination.	Google is improving the discussions that its popular Web site hosts in the hopes that the improvements will encourage more online banter and make its market-leading search engine a more rich destination.	3
43	AP - Los Angeles Galaxy midfielder Andreas Herzog, who played for Austria in the 1990 and 1998 World Cups, retired from professional soccer Wednesday.	Andreas Herzog, a Los Angeles Galaxy midfielder who represented Austria in the 1990 and 1998 World Cups, announced his retirement from professional soccer on Wednesday.	1
44	IBM's new Lotus Web Conferencing Service, expected to be offered next month, requires that users simply register an account and have an Internet connection, a Web browser and a phone.	Users will only need an Internet connection, a Web browser, and a phone to use IBM's new Lotus Web Conferencing Service, which is expected to be available next month.	3
46	LONDON: Unprecedented pictures of the purple atmospheric haze on Titan have been captured by the Cassini spacecraft during its closest approach yet to Saturn #39;s largest moon.	LONDON – The Cassini spacecraft captured unprecedented images of Titan's purple atmospheric haze during its closest approach to Saturn's largest moon yet.	3
49	ABC News is in possession of a tape purportedly from Al Qaeda, threatening attacks on the US.	ABC News has obtained a tape purportedly from Al Qaeda threatening attacks on the United States.	0
50	Ruben Magnano, who coached Argentina to the Olympic basketball gold medal in Athens, resigned Thursday to accept a coaching job in Italy.	Ruben Magnano, who led Argentina to Olympic gold in basketball in Athens, resigned on Thursday to take a coaching job in Italy.	0
51	A zoo in the Gulf has bred a bird which is threatened by the fast pace of development in the region.	A zoo in the Gulf has bred a bird that is threatened by the region's rapid development.	3
52	Identity thieves may have obtained information on thousands of Wells Fargo mortgage and student loan customers.	Thousands of Wells Fargo mortgage and student loan customers' personal information may have been obtained by identity thieves.	3
53	Microsoft said today that it plans to give customers three days' advance notice about its monthly security updates to help them prepare to install related software patches.	Microsoft announced today that it intends to provide customers with three days' notice of monthly security updates in order to help them prepare to install related software patches.	3
54	PRODUCTIVITY gains should keep Commonwealth Bank in a sweet spot for years to come, departing chairman John Ralph claimed yesterday.	PRODUCTIVITY gains should keep Commonwealth Bank in a good spot for the foreseeable future, according to departing chairman John Ralph.	2
56	London: NRI business tycoon Lakshmi N Mittal, who is set to control the world #39;s largest steelmaker, has emerged as the richest man in Britain.	Lakshmi N Mittal, an NRI business tycoon who is set to control the world's largest steelmaker, has emerged as Britain's richest man.	2
57	Revelations that nearly 400 tons of conventional explosives have gone missing in Iraq have experts wondering what other weapons might be in jeopardy of falling into insurgent or terrorist hands.	The discovery of nearly 400 tonnes of conventional explosives missing in Iraq has experts wondering what other weapons may have fallen into the hands of insurgents or terrorists.	0
58	The Linux-based Columbia is a top contender for the title of world's fastest supercomputer.	Columbia, a Linux-based supercomputer, is a strong contender for the title of world's fastest supercomputer.	3
59	A deeply divided SEC voted Tuesday to mandate new oversight for hedge funds -- largely unregulated investment pools, traditionally for the wealthy, that have become popular with small investors.	A deeply divided SEC voted Tuesday to mandate new oversight for hedge funds, which are largely unregulated investment pools that have grown in popularity among small investors.	2
61	News and survey results from Computerworld's twice-annual storage conference.	Computerworld's twice-yearly storage conference provides news and survey results.	3
62	The Brazilian Grand Prix at Sao Paulo on 24 October will be the 18th and final round of the FIA Formula One World Championship 2004.	The Brazilian Grand Prix, held on October 24 in Sao Paulo, will be the 18th and final round of the 2004 FIA Formula One World Championship.	1
63	The UK's Royal Society urges the UN to ignore a call by President Bush to ban all forms of human cloning.	The Royal Society of the United Kingdom has urged the United Nations to reject President Bush's call to outlaw all forms of human cloning.	3
65	IPod owners can download the Band Aid single after Apple reaches agreement with the charity.	After Apple and the charity reach an agreement, iPod owners will be able to download the Band Aid single.	3
68	Polish war crimes prosecutors examine the 1940 deaths of members of the Polish elite in Russia's Katyn Forest.	Polish war crimes investigators are looking into the deaths of members of the Polish elite in Russia's Katyn Forest in 1940.	0
75	Japan #39;s Makoto Tamada grabbed his third pole position of the season before Sunday #39;s Valencia MotoGP after clocking the fastest time in the second qualifying session on Saturday.	Makoto Tamada of Japan won his third pole position of the season ahead of Sunday's Valencia MotoGP after setting the fastest time in the second qualifying session on Saturday.	1
76	He may be 120 places lower in the world, but it was advantage Alastair Forsyth in his Volvo Masters duel with Sergio Garcia today before a thunderstorm suspended play.	Alastair Forsyth may be 120 places lower in the world, but he had the upper hand in his Volvo Masters match with Sergio Garcia today before play was halted by a thunderstorm.	1
77	Unseeded Slovak Karol Beck reached the first final of his career at the St Petersburg Open, upsetting seventh-seeded Michael Llodra of France 6-4 2-6 6-1 on Saturday.	Unseeded Slovak Karol Beck reached his first career final at the St Petersburg Open on Saturday, defeating seventh-seeded Michael Llodra of France 6-4 2-6 6-1.	1
78	World number one Vijay Singh shot a four-under-par 67 on Saturday and took the lead of the Chrysler Championship after three rounds.	Vijay Singh, the world number one, shot a four-under-par 67 on Saturday to take the lead in the Chrysler Championship after three rounds.	1
79	The American space agency Nasa says the first space shuttle mission since the Columbia disaster of 2003 is to be launched next May or early June.	Nasa, the American space agency, has announced that the first space shuttle mission since the Columbia disaster in 2003 will take place next May or early June.	3
80	Reuters - Sony BMG, the world's No. 2 record\label, is in early talks with file-sharing network Grokster in\what could lead to a legalized Internet music service, its\chairman said on Tuesday.	Reuters - Sony BMG, the world's second largest record label, is in preliminary talks with file-sharing network Grokster about launching a legalised Internet music service, its chairman said on Tuesday.	3
81	LG Electronics has unveiled the worlds first terrestrial digital multimedia broadcast-receiving mobile phone, and demonstrated its functions.	LG Electronics has unveiled and demonstrated the world's first terrestrial digital multimedia broadcast-receiving mobile phone.	3
85	AFP - Australia and the United States sealed a free trade agreement to start January 1, 2005 after clearing last-minute obstacles.	AFP - Australia and the United States have agreed to a free trade agreement that will take effect on January 1, 2005, after overcoming last-minute obstacles.	0
88	Eddie Johnson scored his fifth goal in three games Wednesday and the US national soccer team eliminated Jamaica from 2006 World Cup contention with a 1-1 tie at Columbus, Ohio.	Eddie Johnson scored his fifth goal in three games on Wednesday, and the United States eliminated Jamaica from contention for the 2006 World Cup with a 1-1 tie in Columbus, Ohio.	1
89	US commercial crude oil inventories increased 800,000 barrels to 292.3 million in the week ending Nov. 12, the Energy Department reported Wednesday.	The Energy Department reported Wednesday that commercial crude oil inventories in the United States increased by 800,000 barrels to 292.3 million in the week ending November 12.	2
91	Bangladesh's coach says they still deserve Test status after their 30th defeat, to India.	Bangladesh's coach believes his team still deserves Test status despite suffering their 30th defeat to India.	0
93	Puzzling is the best word to describe Notre Dames attempt to find a new head football coach after dumping Tyrone Willingham unceremoniously two weeks ago.	After dumping Tyrone Willingham unceremoniously two weeks ago, Notre Dame's attempt to find a new head football coach has been puzzling.	1
96	Webshots users offer their photos of Bill Gates mansion in Medina, Wash.	Webshots users share photos of Bill Gates' mansion in Medina, Washington.	3
97	Britain agreed Thursday to meet a U.S. request for British troops to be moved into volatile central Iraq, a proposal that has met strong opposition within the governing Labour Party.	Britain agreed Thursday to meet the United States' request for British troops to be deployed in volatile central Iraq, despite strong opposition from the ruling Labour Party.	0
98	World Cup hero and England skipper Jonny Wilkinson is set to miss the upcoming Test against Australia with a badly bruised right arm.	Jonny Wilkinson, England's World Cup hero and captain, will miss the upcoming Test against Australia due to a badly bruised right arm.	1
99	The company's earnings beat Wall Street expectations.	Earnings exceeded Wall Street expectations.	3
100	Egypt, Israel and the United States have reached an agreement that allows Egyptian industry to sell products using Israeli parts duty free in America.	Egypt, Israel, and the United States have reached an agreement that allows Egyptian manufacturers to sell products containing Israeli components duty-free in the United States.	0
101	NASA and university astronomers are eagerly awaiting the launch of a space probe bound to collide with a comet and give researchers a glimpse inside the solar systems icy wanderers.	NASA and university astronomers are looking forward to the launch of a space probe that will collide with a comet and provide researchers with a look inside the solar system's icy wanderers.	3
102	The Federal Reserve raised short-term interest rates on Tuesday for the fifth time this year and suggested that more rate increases are in order in the months ahead.	The Federal Reserve raised short-term interest rates for the fifth time this year on Tuesday, signalling that more rate hikes are likely in the coming months.	2
103	More than 18,000 US troops and innumerable Afghan forces are in the process of searching every inch of Afhganistan and Afghan-Pak border.	More than 18,000 US troops and countless Afghan forces are combing every inch of Afghanistan and the Afghan-Pakistan border.	0
104	Poland #39;s defense minister Jerzy Szmajdzinski has announced plans to cut his country #39;s forces in Iraq by almost one third next year.	Jerzy Szmajdzinski, Poland's defence minister, has announced plans to reduce his country's forces in Iraq by nearly one-third next year.	0
105	CHICAGO - Motorola Inc. is acquiring MeshNetworks Inc., developer of a Wi-Fi based technology that is expected to help land more contracts for its growing government contracting business.	CHICAGO – Motorola Inc. is acquiring MeshNetworks Inc., the developer of a Wi-Fi-based technology that is expected to help the company's growing government contracting business land more contracts.	2
106	With Novell concentrating on Linux more and more, many NetWare consumers might be facing dilemmas on where to move on for future needs.	With Novell focusing more and more on Linux, many NetWare users may be at a loss as to where to go for future needs.	3
107	Last year we explored the question of Microsoft #39;s potential liability for software flaws exploited by viruses and other forms of malware.	We looked at Microsoft's potential liability for software flaws exploited by viruses and other forms of malware last year.	3
108	China is to invest nearly \$20bn (11bn) in Argentina over the next 10 years, Argentine officials say.	According to Argentine officials, China will invest nearly $20 billion (11 billion) in Argentina over the next ten years.	0
109	Producer prices surged 1.7 percent in October, their sharpest monthly increase in nearly 15 years.	In October, producer prices increased by 1.7 percent, the largest monthly increase in nearly 15 years.	0
110	Pacific Rim leaders pledged Sunday to shore up global security and push ahead with the World Trade Organization's negotiations on lowering global trade barriers.	Pacific Rim leaders vowed on Sunday to strengthen global security while also pushing forward with World Trade Organization negotiations on lowering global trade barriers.	0
112	Swiss firm Xstrata relaunches a takeover bid for Australian mining company WMC Resources by appealing directly to its shareholders.	Xstrata, a Swiss firm, has relaunched a takeover bid for WMC Resources, an Australian mining company, by appealing directly to its shareholders.	2
114	Ziff Davis - Trapeze Networks this week will announce upgrades to its wireless LAN switch software.	Trapeze Networks will upgrade its wireless LAN switch software this week, according to Ziff Davis.	3
115	Operating system to come at no charge for servers with x86 processors. But the bug fixes will cost you.	For servers with x86 processors, the operating system will be provided free of charge. But the bug fixes will cost you.	3
116	The announcement came as Microsoft chief executive Steve Ballmer opened the group #39;s new Indian headquarters in the city of Hyderabad.	The announcement came as Microsoft CEO Steve Ballmer unveiled the company's new Indian headquarters in Hyderabad.	2
117	Organizations are replacing aging servers with newer more-powerful boxes, often Linux--based, and theyre also investing in storage.	Organizations are replacing ageing servers with newer, more powerful machines, frequently based on Linux, and they are also investing in storage.	3
118	Reuters - New Orleans Hornets guard\Baron Davis is expected to be sidelined one-to-two weeks\because of a lower back injury.	Reuters reports that New Orleans Hornets guard Baron Davis will be out for one to two weeks due to a lower back injury.	1
119	Company enhances online service for moving business information between corporations.	The company improves its online service for transferring business information between corporations.	3
121	Boise State accepts a bid Tuesday to play Louisville in the Liberty Bowl on Dec. 31, in a matchup of the nation's top two offenses.	Boise State accepted a bid from Louisville to play in the Liberty Bowl on December 31, a matchup of the nation's top two offences.	1
123	This Nasa image shows Saturn #39;s lonely moon Mimas (R) seen against the blue-streaked backdrop of Saturn #39;s northern hemisphere.	This Nasa image depicts Saturn's lone moon Mimas (R) against the blue-streaked backdrop of Saturn's northern hemisphere.	3
124	Consumers and businesses boosted their spending a bit more quickly in late summer than previously thought, fueling faster overall economic growth, the government reported Tuesday.	Consumers and businesses increased their spending more quickly than previously thought in late summer, fueling faster overall economic growth, according to government data released Tuesday.	2
125	Reuters - Nazrul Islam is an Indian\living in an Indian village.	Reuters - Nazrul Islam is an Indian who lives in a village in India.	0
126	The second day of the third Test at Nagpur belonged to Australia #39;s bowlers, with their attritional approach wearing down India #39;s batsmen.	The second day of the third Test at Nagpur belonged to Australia's bowlers, who wore down India's batsmen with their attritional approach.	1
127	Tara VanDerveer stepped to the dais at the Pacific-10 Conference women #39;s basketball media day Tuesday and was asked to make an opening comment.	Tara VanDerveer was asked to make an opening statement at the Pacific-10 Conference women's basketball media day on Tuesday.	1
128	If hunting is banned in Britain, the pro-hunt lobby says its supporters will continue to hunt illegally.	If hunting is outlawed in the United Kingdom, the pro-hunt lobby claims that its supporters will continue to hunt illegally.	0
129	PC World - IFire aims to displace LCD TVs with its lower-cost display technology.	PC World - With its lower-cost display technology, IFire hopes to displace LCD TVs.	3
130	Thursday's actions are the first shots in what Spitzer called an investigation of widespread corruption in the insurance industry.	The actions on Thursday are the first shots in what Spitzer has described as an investigation into widespread corruption in the insurance industry.	2
131	Pakistan vows to track down former Guantanamo inmate who leads group that kidnapped two Chinese engineers.	Pakistan has vowed to track down a former Guantanamo detainee who is the leader of the group that kidnapped two Chinese engineers.	0
132	"Reuters - Poland said Friday it plans to reduce\the number of its troops in Iraq from early next year and will\not remain there ""an hour longer than is sensible."""	"Reuters - Poland said on Friday that it plans to reduce the number of troops in Iraq beginning early next year and that it will not stay ""an hour longer than is reasonable."""	0
133	That #39;s the state of the Boston Red Sox pitching rotation after Schilling was scratched from his scheduled Game 5 start because of a sore ankle.	That is the state of the Boston Red Sox pitching rotation after Schilling was forced to withdraw from his scheduled Game 5 start due to an ankle injury.	1
135	Fannie Mae, the biggest source of money for U.S. home mortgages, broke accounting rules for financial contracts designed to protect against swings in interests rates.	Fannie Mae, the largest lender in the United States, violated accounting rules for financial contracts designed to protect against interest rate swings.	2
137	MOSCOW - Embattled Russian oil giant Yukos filed for bankruptcy protection in a US court in a last-ditch bid to avert auction of its core production unit.	MOSCOW – The embattled Russian oil giant Yukos has filed for bankruptcy protection in a US court in a last-ditch effort to keep its core production unit from being auctioned.	2
138	Time Warner Inc. on Wednesday settled criminal securities fraud charges the government leveled on its America Online unit, agreeing to pay \$210 million to end the Justice Department #39;s probe.	Time Warner Inc. settled criminal securities fraud charges brought by the government against its America Online unit on Wednesday, agreeing to pay $210 million to end the Justice Department's investigation.	2
139	UK fire equipment manufacturer Kidde agrees a 1.4bn takeover by US manufacturer United Technologies.	Kidde, a UK fire equipment manufacturer, has agreed to a 1.4 billion pound takeover by United Technologies.	2
141	The Miami Dolphins finally gave their fans reason to celebrate, combining a polished offensive performance with solid defense for their first victory this season, 31-14 over the St.	The Miami Dolphins finally gave their fans something to cheer about, winning 31-14 over the St. Louis Rams thanks to a polished offensive performance and solid defence.	1
142	Five years may not seem a whole lot, but consider what has happened since the last time the Green Bay Packers played the Dallas Cowboys prior to today #39;s meeting.	Five years may not seem like a long time, but consider what has happened since the Green Bay Packers last met the Dallas Cowboys prior to today's game.	1
143	I.B.M. plans to begin releasing a monthly report of threats to computer networks in an effort to establish an indicator similar to the federal governments Homeland Security Advisory System.	IBM intends to start releasing a monthly report on computer network threats in an effort to create an indicator similar to the federal government's Homeland Security Advisory System.	3
144	Of the 115 rushing yards Corey Dillon rolled up against the Jets on Sunday, it was the final 12 that might have been the most important.	The final 12 yards of Corey Dillon's 115 rushing yards against the Jets on Sunday might have been the most important.	1
146	AP - Stability control systems could save up to 7,000 lives each year if they were standard equipment on all vehicles, according to a study by the insurance industry.	According to an insurance industry study, if stability control systems were standard equipment on all vehicles, they could save up to 7,000 lives per year.	0
147	Share prices closed higher across the board in Tokyo this morning, as investors were cheered by last night #39;s gains on Wall Street.	Share prices closed higher across the board in Tokyo this morning, as investors were encouraged by Wall Street's gains last night.	2
149	College field hockey: UMass-Dartmouth at Salve Regina, 3 p.m.; UNH at BC, 7 p.m.; Anna Maria at Westfield St., 7 p.m.	College field hockey: 3 p.m., UMass-Dartmouth vs. Salve Regina; 7 p.m., UNH vs. BC; 7 p.m., Anna Maria vs. Westfield St.	1
150	SBC is teaming up with Microsoft to provide consumers with a new way to view television -- a move that puts it in direct competition with the cable TV industry.	SBC is collaborating with Microsoft to offer consumers a new way to watch television, putting it in direct competition with the cable TV industry.	2
152	Russian President Vladimir Putin said on Thursday he had no plans to grab more power or change the constitution when reforming Russia #39;s government structure.	When it comes to reforming Russia's government structure, Russian President Vladimir Putin said on Thursday that he has no plans to take more power or change the constitution.	2
153	GERMANTOWN, Md. A Maryland-based private lab that analyzes criminal-case DNA evidence has fired an analyst for allegedly falsifying test data.	GERMANTOWN, Md. – A private lab in Maryland that analyses DNA evidence in criminal cases has fired an analyst for allegedly falsifying test results.	3
154	Home theater company to help users digitally convert audio CDs and store songs on a DVD or player.	A home theatre company will assist customers in digitally converting audio CDs and storing songs on a DVD or player.	3
155	As if things weren #39;t bad enough for the Bowl Championship Series, it appears that Pittsburgh is going to represent the Big East with an 8-3 record.	As if the Bowl Championship Series wasn't bad enough, it appears that Pittsburgh will represent the Big East with an 8-3 record.	1
156	There #39;s no way No. 5 Illinois could have shredded THE Gonzaga, king of the mid-majors, the way it demolished its opponent at Conseco Fieldhouse on Saturday.	No way could No. 5 Illinois have shredded THE Gonzaga, the king of the mid-majors, the way it did at Conseco Fieldhouse on Saturday.	1
157	AP - Tennessee Titans quarterback Steve McNair hinted Sunday that his 10th season in the NFL could be his last.	The Associated Press reports that Tennessee Titans quarterback Steve McNair hinted on Sunday that his tenth season in the NFL might be his last.	1
158	Dont buy that high-definition TV yet. Competition may force the prices down further.	Dont buy that high-definition TV yet. Price cuts may be forced even lower as a result of increased competition.	3
159	Sandora Irvin had 23 points and 17 rebounds and TCU upset a ranked team for the second night in a row, beating Michigan State (No.	Sandora Irvin scored 23 points and grabbed 17 rebounds as TCU defeated Michigan State (No.	1
160	TOKYO : Japan #39;s top mobile operator NTT DoCoMo believes Europe will embrace hi-tech telephones and expects a major boost in subscribers on the continent of its i-mode Internet service.	TOKYO – Japan's largest mobile operator, NTT DoCoMo, believes Europe will embrace high-tech phones and anticipates a significant increase in i-mode Internet service subscribers on the continent.	3
161	In launching Make Love Not Spam Lycos this week started a controversial bid to battle unsolicited messages through a custom-designed website.	Lycos launched Make Love Not Spam this week, kicking off a contentious campaign to combat unsolicited messages via a custom-designed website.	3
163	Microsoft has announced it #39;s suing eight PC resellers over claims they have been attaching Certificates of Authenticity (COA) to non-genuine Microsoft products.	Microsoft has announced that it will sue eight PC resellers for allegedly attaching Certificates of Authenticity (COA) to non-genuine Microsoft products.	3
164	com December 2, 2004, 7:48 AM PT. While its neighbors, software infrastructure and hardware upgrades, switched places this month, security held its spot at number three.	com The time is 7:48 a.m. PT on December 2, 2004. While its neighbours, software infrastructure and hardware upgrades, switched places this month, security remained in third place.	3
165	Iraq #39;s US-backed leader has made an impassioned plea for European nations divided by the war to reunite to help stabilize and rebuild his country.	Iraq's US-backed leader has made an impassioned plea for Europe's war-torn nations to reunite in order to help stabilise and rebuild his country.	0
166	Surrey are waiting for approval from the Board of Control for Cricket in India before announcing Harbhajan Singh as an overseas signing for 2005.	Surrey are awaiting approval from India's Board of Control for Cricket before announcing Harbhajan Singh as an overseas signing for the 2005 season.	1
167	Pakistani President General Pervez Musharraf on his visit after the landmark presidential polls in Afghanistan congratulated his Afghan counterpart Hamid Karzai for his victory Saturday afternoon.	On his visit following the historic presidential elections in Afghanistan, Pakistani President General Pervez Musharraf congratulated his Afghan counterpart Hamid Karzai on his victory Saturday afternoon.	0
168	Democrats said President Bush's defeat of Senator John Kerry by three million votes left the party facing its most difficult time in at least 20 years.	Democrats said President Bush's three-million-vote defeat of Senator John Kerry had put the party in its most difficult position in at least 20 years.	0
171	Entering the final week for Heisman Trophy voters to make their decision, the race has turned out tighter than it was believed to be last week.	As the final week for Heisman Trophy voters to make their choice approaches, the race has tightened more than expected.	1
