index	word	sentence1	sentence2	start1	start2	end1	end2	label
62	reach	Our advertisements reach millions.	His hand reaches the river.	19	9	24	16	0
63	wall	A wall of prejudice.	The container's walls were blue.	2	16	6	21	0
64	change	The change was intended to increase sales.	This storm is certainly a change for the worse.	4	26	10	32	1
65	baby	This project is his baby.	Stand up for yourself-don't be such a baby!	20	38	24	42	0
66	break	I don't know how to break this to you, but your cat is not coming back.	When news of their divorce broke, ...	20	27	25	32	1
67	score	Settling a score.	The player with the highest score is the winner.	11	28	16	33	0
68	close	The owners decided to move and to close the factory.	My business closes every night at 8 P.M.	34	12	39	18	1
69	connection	The connection between church and state is inescapable.	My headache has no connection with me going out last night.	4	19	14	29	1
70	go	Go about the world in a certain manner.	We should go farther in this matter.	0	10	2	12	1
71	fall	Payments fall on the 1st of the month.	Night fell.	9	6	13	10	0
72	cut	The employer wants to cut back health benefits.	Cut trenches.	22	0	25	3	0
73	know	Do you know my sister?	I know him under a different name.	7	2	11	6	1
74	land	It can be tricky to land a helicopter.	This may land you in jail.	20	9	24	13	1
75	rake	Rake gravel.	The gunfire raked the coast.	0	12	4	17	0
76	quality	"""The quality of mercy is not strained"" -- Shakespeare."	While being impulsive can be great for artists, it is not a desirable quality for engineers.	5	70	12	77	1
77	hold	To carry well, i.e. to hold the head high, with arching neck.	She holds her head high.	23	4	27	9	1
78	image	The number 6 is the image of 3 under f that is defined as f(x) = 2*x.	The image of f(x) = x^2 is the set of all non-negative real numbers if the domain of the function is the set of all real numbers.	20	4	25	9	1
79	tell	He could tell that she was unhappy.	She told him how he did it.	9	4	13	8	0
80	space	The astronauts walked in outer space without a tether.	The space between his teeth.	31	4	36	9	0
81	snow	It started to snow.	It is snowing.	14	6	18	13	1
82	drive	He took the family for a drive in his new car.	A variable speed drive permitted operation through a range of speeds.	25	17	30	22	0
83	leave	She didn't leave until midnight.	Leave the flowers that you see in the park behind.	11	0	16	5	0
84	join	I will join you watching the football game as soon as I have finished my work.	She joined him for a drink.	7	4	11	10	1
85	support	They called for artillery support.	He applied to the state for support.	26	28	33	35	0
86	boy	Steve is a boy of 16.	She made the boy brush his teeth every night.	11	13	14	16	1
87	give	Give an excuse.	What will you give her for her birthday?	0	14	4	18	0
88	snap	He gave his fingers a snap.	Servants appeared at the snap of his fingers.	22	25	26	29	0
89	take	Take a scene.	Take a test.	0	0	4	4	0
90	draw	Draw pulp from the fruit.	They saw that the night was quickly drawing in, so they pitched their tent.	0	36	4	43	0
91	head	At five years of age this head of cattle is worth perhaps $40.	They shot 20 head of quail.	26	13	30	17	1
92	energy	Energy can take a wide variety of forms.	Europeans often laugh at American energy.	0	34	6	40	0
93	brim	Brim a cup to good fellowship.	The room brimmed with people.	0	9	4	16	0
94	hold	I'll hold you by your promise.	He's held by a contract.	5	5	9	9	1
95	origin	Mineral origin.	Vegetable origins.	8	10	14	17	1
96	see	You should see a lawyer.	We had to see a psychiatrist.	11	10	14	13	1
97	patch	Patch the skirt.	The field was patched with snow.	0	14	5	21	0
98	point	At that point I had to leave.	To fall off a point.	8	14	13	19	0
99	head	Tickets are $5 per head.	He is two heads taller than his little sister.	19	10	23	15	0
100	strike	Strike a bargain.	Strike fire from the flintstone.	0	0	6	6	0
101	unit	A unit of wheat is a bushel.	He was a member of a special police unit.	2	36	6	40	0
102	shoot	Shoot a movie.	Shoot a basket.	0	0	5	5	0
103	title	A good title to an estate, or an imperfect title.	His title to fame.	7	4	12	9	0
104	play	This speech didn't play well with the American public.	Play football.	19	0	23	4	0
105	drive	Drive the cows into the barn.	Their debts finally drove them to sell the business.	0	20	5	25	0
106	make	To make like a deer caught in the headlights.	He will make a splendid father!	3	8	7	12	0
107	shoot	Shoot a basket.	Shoot a goal.	0	0	5	5	1
108	couple	Now the conductor will couple the train cars.	I've coupled our system to theirs.	23	5	29	12	1
109	variant	"The word ""kerosine"" is a variant of ""kerosene""."	A variant of the same word.	25	2	32	9	1
110	work	Can you work an electric drill?	Work the metal into a sword.	8	0	12	4	0
111	application	The application of maximum thrust.	Massage has far-reaching medical applications.	4	33	15	45	1
112	fall	Fall into a trap.	They fell out of favor.	0	5	4	9	1
113	account	He predicted that although it is of small account now it will rapidly increase in importance.	The account of his speech that was given on the evening news made the governor furious.	42	4	49	11	0
114	pull	The pull of the moon.	Iron fillings drawn by the pull of a magnet.	4	27	8	31	1
115	discover	The story is false, so far as I can discover.	I discovered what to do.	36	2	44	12	1
116	interest	In the interest of safety.	Victorian furniture is an interest of mine.	7	26	15	34	0
117	come	Come into the room.	He came from France.	0	3	4	7	1
118	company	He started the company in his garage.	He only invests in large well-established companies.	15	42	22	51	1
119	remember	I can't remember saying any such thing.	I remember the concert clearly, but I can't recollect why I was there.	8	2	16	10	1
120	course	The course of the river.	He took a course in basket weaving.	4	10	10	16	0
121	movement	He had a bowel movement.	It was an expensive watch with a diamond movement.	15	41	23	49	0
122	life	He wanted to live his own life without interference from others.	She's my love, my life.	26	18	30	22	0
123	multiply	He managed to multiply his profits.	He had been multiplying, but it occurred to him he needed to resolve the exponents, first.	14	12	22	23	1
124	setup	It takes time to learn the setup around here.	The laboratory included an elaborate setup for measuring the energy.	27	37	32	42	0
125	approach	Don't approach that house.	He was an admirable poet, and thought even to have approached Homer. -- Sir William Temple.	6	51	14	61	1
126	force	A public force is necessary to give security to the rights of citizens.	The forces of evil.	9	4	14	10	0
127	communicate	Many deaf people communicate with sign language.	I feel I hardly know him; I just wish he'd communicate with me a little more.	17	43	28	54	1
128	gather	I gather from Aunty May that you had a good day at the match.	Let's gather in the dining room.	2	6	8	12	0
129	float	Float the plaster.	The balloon floated off into the distance.	0	12	5	19	0
130	development	In chess your should take care of your development before moving your queen.	Recent developments in Iraq.	39	7	50	19	0
131	pursuit	The pursuit of love.	Unremitting pursuit of wealth doesn't bring happiness, particularly if successful.	4	12	11	19	0
132	call	Call a football game.	She was called into the director's office.	0	8	4	14	0
133	session	A filming session.	A gossip session.	10	9	17	16	1
134	collector	He is an avid collector of nineteenth-century postage stamps.	That old piano is just a big dust collector.	14	34	23	43	1
135	point	A point of information.	Get to the point.	2	11	7	16	0
136	cut	The unkindest cut of all.	The mayor proposed extensive cuts in the city budget.	14	29	17	33	0
137	deep	In the deep of winter.	In the deep of night.	7	7	11	11	1
138	point	She walked to a point where she could survey the whole street.	He held me up at the point of a gun.	16	21	21	26	0
139	roll	I want to get there early; let's roll.	The drawer rolled open.	33	11	37	17	0
140	point	Point a gun.	Point the letter.	0	0	5	5	0
141	forefront	The idea of motion was always to the forefront of his mind and central to his philosophy.	That laboratory researches topics at the forefront of technology.	37	41	46	50	1
142	rotation	The medical resident finished a two-week rotation in pediatrics and began one in orthopaedics.	Crop rotation makes a balanced demand on the fertility of the soil.	41	5	49	13	1
143	vaccinate	We vaccinate against scarlet fever.	The nurse vaccinated the children in the school.	3	10	12	20	1
144	light	I'm really seeing you in a different light today.	The light of my life.	37	4	42	9	1
145	freeze	Don't go outside wearing just a t-shirt; you'll freeze!	Freeze the leftover food.	48	0	54	6	0
146	order	Order a work stoppage.	Order me some flowers.	0	0	5	5	1
147	transcript	You can obtain a transcript of this radio program by sending a self-addressed envelope to the station.	He read a transcript of the interrogation.	17	10	27	20	1
148	try	You are trying my patience.	Try the yak butter.	8	0	14	3	0
149	party	The green party took 12% of the vote.	In 1992 Perot tried to organize a third party at the national level.	10	40	15	45	1
150	air	An air of mystery.	The program was on the air from 9 til midnight.	3	23	6	26	0
151	formation	A formation of planes.	A defensive formation.	2	12	11	21	1
152	see	I can see a risk in this strategy.	We went to see the Eiffel Tower in the morning.	6	11	9	14	0
153	open	Vermont will open elk hunting season next week.	An opportunity opened up.	13	15	17	21	0
154	clear	Clear the leaves from the lawn.	Clear snow from the road.	0	0	5	5	1
155	pack	You had better pack your swollen ankle with ice.	Pack the books into the boxes.	15	0	19	4	0
156	fall	Fall into a strange way of thinking.	Fall in love.	0	0	4	4	1
157	classify	"Should we classify ""make up"" as an idiom or as a phrasal verb?"	She classified the works as 'dangerous'.	10	4	18	14	1
158	work	She knows how to work the system.	This old radio doesn't work anymore.	17	23	21	27	0
159	sign	Their angry expressions were a clear sign they didn't want to talk.	Those clouds show little sign of raining soon.	37	25	41	29	1
160	crash	The crash occurred during a thunderstorm and the system has been down ever since.	His crash through the window.	4	4	9	9	0
161	catch	She managed to catch herself before telling her boss what was on her mind.	He caught the allusion in her glance.	15	3	20	9	0
162	rest	The ocean was finally at rest.	A body will continue in a state of rest until acted upon.	25	35	29	39	1
163	develop	Develop a passion for painting.	Please develop this roll of film.	0	7	7	14	0
164	give	Can you give me lessons?	I gave her my money.	8	2	12	6	1
165	interest	He has a lot of interest in vintage cars.	Victorian furniture is an interest of mine.	16	26	24	34	0
166	structure	Artists must study the structure of the human body.	His lectures have no structure.	23	21	32	30	0
167	come	Nothing good will come of this.	Come down here!	18	0	22	4	0
168	keep	Keep food for a week in the pantry.	She keeps a sixpack and a week's worth of supplies in the refrigerator.	0	4	4	9	1
169	admit	To admit a serious thought into the mind.	She admitted us.	3	4	8	12	1
170	lot	A lot of money.	He bought a lot on the lake.	2	12	5	15	0
171	stay	I can only stay for an hour.	After the trial period, she was asked to stay on and work full-time.	11	41	15	45	0
172	position	Chief of Staff is the second-highest position in the army.	Atheists do not enjoy a favorable position in American life.	37	34	45	42	1
173	part	He wanted to feel a part of something bigger than himself.	She played the part of Desdemona.	20	15	24	19	0
174	feel	I can feel the sadness in his poems.	It feels nice to be home again.	6	3	10	8	0
175	fatigue	He was suffering from museum fatigue.	Political fatigue.	29	10	36	17	1
176	shag	The dog's woolly shag.	He bought a shag rug.	17	12	21	16	0
177	plug	Plug the hole.	He attempted to plug the leaks with some caulk.	0	16	4	20	1
178	strike	We must strike the enemy's oil fields.	In the fifth inning, the Giants struck, sending three runners home to win the game 5 to 2.	8	32	14	38	1
179	opening	The opening received good critical reviews.	John spends two hours a day studying openings, and another two hours studying endgames.	4	37	11	45	0
180	count	Can you count the books on your shelf?	I can count my colleagues in the opposition.	8	6	13	11	0
181	assume	The gods assume human or animal form in these fables.	She assumed indifference, even though she was seething with anger.	9	4	15	11	0
182	wash	The car is so dirty, we need to wash it.	He washed the dirt from his coat.	32	3	36	9	1
183	rub	Give that lamp a good rub and see if any genies come out.	He gave the hood a quick rub.	22	25	25	28	1
184	give	Give thought to.	The roof finally gave under the weight of the ice.	0	17	4	21	0
185	spring	I spent my spring holidays in Morocco.	He will hold office until the spring of next year.	11	30	17	36	1
186	cut	Cut orders.	Cut a caper.	0	0	3	3	0
187	have	What do we have here?	I have two years left.	11	2	15	6	0
188	pull	Pull a sled.	You'll be sent home if you pull another stunt like that.	0	27	4	31	0
189	head	The head of the compass needle is pointing due north.	200 head of cattle.	4	4	8	8	0
190	number	The number of parameters is small.	He had a number of chores to do.	4	9	10	15	1
191	work	She knows how to work the system.	Is your husband working again?	17	16	21	23	0
192	raise	We raise hogs here.	Raise the price of bread.	3	0	8	5	0
193	baseball	He played baseball in high school.	There was a baseball game on every empty lot.	10	12	18	20	1
194	noise	During the firework display that ended the gala the noise reached 98 decibels.	He enjoyed the street noises.	52	22	57	28	1
195	one	He is the best one.	Driver, noun: one who drives.	15	14	18	17	1
196	attack	The visiting team started to attack.	I attacked the problem as soon as I got out of bed.	29	2	35	10	0
197	rub	Rub oil into her skin.	I rubbed the cloth over the glass.	0	2	3	8	1
198	split	He was winning until he got a split in the tenth frame.	They announced a two-for-one split of the common stock.	30	29	35	34	0
199	suffer	I've been suffering your insults for years.	He suffered the penalty.	10	3	19	11	1
200	home	The teacher asked how many people made up his home.	Deliver the package to my home.	46	26	50	30	0
201	give	Give thought to.	Give priority to.	0	0	4	4	1
202	immolate	Immolate the valuables at the temple.	The Aztecs immolated human victims.	0	11	8	20	1
203	draw	Draw a conclusion.	He spent the day drawing in the garden.	0	17	4	24	0
204	effect	The new law will come into effect on the first day of next year.	The law is still in effect.	27	20	33	26	1
205	bind	Bind the books in leather.	The hydrogen binds the oxygen.	0	13	4	18	0
206	side	He was on the heavy side.	It brought out his better side.	20	26	24	30	1
207	space	They stopped at an open space in the jungle.	They tested his ability to locate objects in space.	24	45	29	50	0
208	nick	He's just been released from Shadwell nick prison after doing ten years for attempted murder.	He was arrested and taken down to Sun Hill nick police station to be charged.	38	43	42	47	1
209	tune	The clarinet was out of tune.	He can not sing in tune.	24	19	28	23	1
210	face	To face the front of a coat, or the bottom of a dress.	Face the lapels of the jacket.	3	0	7	4	1
211	spot	Night spot.	A leopard's spots.	6	12	10	17	0
212	take	Can you take this bag, please.	Take the case of China.	8	0	12	4	0
213	hold	She can hold an audience spellbound.	This story held our interest.	8	11	12	15	1
214	think	She didn't think to harm me.	We thought to return early that night.	11	3	16	10	1
215	charge	Charge a conductor.	The speaker charged up the crowd with his inflammatory remarks.	0	12	6	19	0
216	today	Did you see today's newspaper?	Today is beautiful.	12	0	17	5	1
217	remove	Remove a threat.	Doug removed the smudges.	0	5	6	12	1
218	check	A check on its dependability under stress.	He paid all his bills by check.	2	25	7	30	0
219	call	I tried to call you all night.	The new dean calls meetings every week.	11	13	15	18	0
220	air	It's getting quite stuffy in this room: let's open the windows and air it.	She aired her opinions on welfare.	67	4	70	9	0
221	converge	The lines converge at this point.	The crowd converged on the movie star.	10	10	18	19	0
222	know	I know him under a different name.	We know this movie.	2	3	6	7	1
223	take	Do you take me for a fool?	He was often taken to be a man of means.	7	13	11	18	1
224	death	England scored a goal at the death to even the score at one all.	It was the death of all his plans.	29	11	34	16	0
225	fall	Fall by the wayside.	We must stand or fall.	0	17	4	21	1
226	hunger	Hunger for affection.	I have a hunger to win.	0	9	6	15	1
227	unravel	Stop playing with the seam of the tablecloth! You will unravel it.	Mother couldn't unravel the ball of wool after the cat had played with it.	55	16	62	23	1
228	drive	Drive the game.	He drives a bread truck.	0	3	5	9	0
229	fondle	Mothers fondle their babies.	They fondled in the back seat of the taxi.	8	5	14	12	1
230	side	He is on the purchasing side of the business.	Look on the bright side.	24	19	28	23	1
231	year	In the year 1920.	A normal year has 365 full days, but there are 366 days in a leap year.	7	9	11	13	1
232	drive	You drive nails into wood with a hammer.	Their debts finally drove them to sell the business.	4	20	9	25	0
233	burn	Burn garbage.	The car burns only Diesel oil.	0	8	4	13	1
234	locus	The locus of points equidistant from a given point is a circle.	A circle is the locus of points from which the distance to the center is a given value, the radius.	4	16	9	21	1
235	drive	Drive the forest.	She drove me to school every day.	0	4	5	9	0
236	catch	Catch one's breath.	I caught some Z's on the train.	0	2	5	8	1
237	scale	The Holocaust was insanity on an enormous scale.	There are some who question the scale of our ambitions.	42	32	47	37	1
238	life	The life of this milk carton may be thousands of years in this landfill.	There is no life on the moon.	4	12	8	16	0
239	connect	This computer will connect well to the network.	The new railroad will connect the northern part of the state to the southern part.	19	22	26	29	1
240	advance	An advance in health or knowledge.	She rejected his advances.	3	17	10	25	0
241	admit	To admit evidence in the trial of a cause.	We can not admit non-members into our club building.	3	11	8	16	1
242	raise	Raise a mutiny.	Raised edges.	0	0	5	6	0
243	thing	She has a thing about him.	He has a thing about seafood.	10	9	15	14	1
244	trust	The doctor-patient relationship is based on trust.	He betrayed their trust.	44	18	49	23	0
245	bed	He searched for treasure on the ocean bed.	There's a lot of trash on the bed of the river.	38	30	41	33	1
246	shatter	A high-pitched voice that could shatter glass.	The old oak tree has been shattered by lightning.	32	26	39	35	1
247	point	He stuck the point of the knife into a tree.	He knows my bad points as well as my good points.	13	16	18	22	0
248	think	I think that he is her boyfriend.	I think he is very smart.	2	2	7	7	1
249	keep	May God keep you.	The student was kept after school.	8	16	12	20	0
250	top	He stared as she buttoned her top.	Put your books on top of the desk.	30	18	33	21	0
251	trick	He played a trick on me.	"As the businessman rounded the corner, she thought, ""Here comes another trick.""."	12	72	17	77	0
252	recognition	He was unable to make his motion because he couldn't get recognition by the chairman.	Increasing recognition that diabetes frequently coexists with other chronic diseases.	57	11	68	22	0
253	draw	At the start of their turn, each player must draw a card.	She drew an elephant.	45	4	49	8	0
254	train	They joined the wagon train for safety.	The bride's train was carried by her two young nephews.	22	12	27	17	0
255	restore	Restore law and order.	He restored my lost faith in him by doing a good deed.	0	3	7	11	1
256	formation	The formation of sentences.	A defensive formation.	4	12	13	21	0
257	begin	Begin a cigar.	My property begins with the three maple trees.	0	12	5	18	0
258	avoid	Her former friends now avoid her.	We avoided the area.	23	3	28	10	1
259	press	This guy can press 300 pounds.	She is pressing her opponent but will eventually lose.	13	7	18	15	0
260	period	Hastened the period of time of his recovery.	In England they call a period a stop.	13	23	19	29	0
261	accept	Accept students for graduate study.	I can not accept your invitation.	0	10	6	16	0
262	mine	He came out of the coal mine with a face covered in black.	Most coal and ore comes from open-pit mines nowadays.	24	38	28	43	1
263	answer	A few words would answer.	She answered the door.	18	4	24	12	0
264	light	Hey, buddy, you got a light?	Although he saw it in a different light, he still did not understand.	22	34	27	39	0
265	session	A filming session.	A training session.	10	11	17	18	1
266	shovel	Shovel sand.	He shovelled in the backyard all afternoon long.	0	3	6	12	1
267	raise	Raise a siege.	Raise a family.	0	0	5	5	0
268	take	Take the gun from your pocket.	Mother took our plates away and came back with some fruit for us to eat.	0	7	4	11	1
269	pull	Pull a horse.	You'll be sent home if you pull another stunt like that.	0	27	4	31	0
270	haul	Haul nets.	Haul stones.	0	0	4	4	1
271	break	Break the cycle of poverty.	The first winter storm broke over New York.	0	23	5	28	0
272	ease	They put it into containers for ease of transportation.	A life of luxury and ease.	32	21	36	25	0
273	fall	Fall by the wayside.	Christmas falls on a Monday this year.	0	10	4	15	0
274	swing	Swing forward.	This action swung many votes over to his side.	0	12	5	17	0
275	time	See you another time.	When was the last time we went out? I don't remember.	16	18	20	22	1
276	face	He's always stuffing his face with chips.	Dew dripped from the face of the leaf.	25	21	29	25	0
277	take	Tomorrow the doctor will take the cast off her arm.	He took off his shoes.	25	3	29	7	1
278	impression	I wanted to create an impression of success.	He watched the impression of the seal on the hot wax.	22	15	32	25	0
279	catch	Did you catch the thief?	He caught her staring out the window.	8	3	13	9	0
280	be	When will the meeting be?	The postman has been today, but my tickets have still not yet come.	22	16	24	20	1
281	take	Tomorrow the doctor will take the cast off her arm.	Take the gun from your pocket.	25	0	29	4	1
282	range	My students range from very bright to dull.	The instruments ranged from tuba to cymbals.	12	16	17	22	1
283	keep	The family's fortune waned and they could not keep their household staff.	Keep count.	46	0	50	4	0
284	catch	I have to catch a train at 7 o'clock.	I have some free time tonight so I think I'll catch a movie.	10	46	15	51	0
285	focus	Please focus on your studies and not on your hobbies.	We focused on it.	7	3	12	10	1
286	have	Now we have a fine mess.	What do we have here?	7	11	11	15	1
287	world	He sailed around the world.	All the world loves a lover.	21	8	26	13	0
288	ease	A life of luxury and ease.	He passed all the exams with ease.	21	29	25	33	0
289	live	Can you live on $2000 a month in New York City?	I lived through two divorces.	8	2	12	7	0
290	focus	Please focus the image.	You'll need to focus the microscope carefully in order to capture the full detail of this surface.	7	15	12	20	1
291	run	These dyes and colors are guaranteed not to run.	The sale will run for ten days.	44	14	47	17	0
292	end	He came to a bad end.	The end of the pier.	17	4	20	7	0
293	join	Many children join a sports club.	Most politicians have joined a party.	14	22	18	28	1
294	difficulty	They agreed about the difficulty of the climb.	Finished the test only with great difficulty.	22	34	32	44	0
295	life	Pottery was his life.	He appointed himself emperor for life.	16	33	20	37	0
296	come	Your wish will come true.	The shoes came untied.	15	10	19	14	1
297	flap	He wrote on the flap of the envelope.	The flap of a wing.	16	4	20	8	1
298	term	The general term of an algebraic equation of the n-th degree.	He was sentenced to a term of six years in prison.	12	22	16	26	0
299	touch	The two buildings touch.	Their hands touched.	18	12	23	19	1
300	price	The price of gasoline.	I paid a high price for my folly.	4	14	9	19	1
301	carry	These pipes carry waste water into the river.	This paper carries a restaurant review.	12	11	17	18	0
302	keep	Keep potatoes fresh.	I can not keep track of all my employees.	0	10	4	14	0
303	drink	Can I buy you a drink?	Drink was his downfall.	16	0	21	5	0
304	connect	The new railroad will connect the northern part of the state to the southern part.	Herman connected the computers.	22	7	29	16	1
305	whet	Whet my appetite.	To whet one's appetite or one's courage.	0	3	4	7	1
306	lie	Lie dormant.	The book lies on the table.	0	9	3	13	0
307	smoke	It was just smoke and mirrors.	His dreams all turned to smoke.	12	25	17	30	1
308	system	In a static system oil can not be replaced by water on a surface.	A vast system of production and distribution and consumption keep the country going.	12	7	18	13	0
309	accord	We are in accord with your proposal.	The accord of light and shade in painting.	10	4	16	10	0
310	write	Please write to me every week.	Your son has been writing on the wall.	7	18	12	25	0
311	take	Tomorrow the doctor will take the cast off her arm.	The test grader takes off a point for every misspelled word.	25	16	29	21	1
312	song	The wheels sang their song as the train rocketed ahead.	The song of bullets was in the air.	22	4	26	8	1
313	opening	The opening received good critical reviews.	The opening established the basic theme.	4	4	11	11	0
314	earth	Earth the circuit.	That noise is because the amplifier is not properly earthed.	0	52	5	59	1
315	death	He seemed more content in death than he had ever been in life.	Her death came as a terrible shock.	26	4	31	9	0
316	simplify	This move will simplify our lives.	We had to simplify the instructions.	15	10	23	18	1
317	action	A rifle action.	Gawkers always try to get as close to the action as possible.	8	42	14	48	0
318	operation	They paid taxes on every stage of the operation.	A large-scale farming operation.	38	22	47	31	1
319	hold	Hold your temper.	The canteen holds fresh water.	0	12	4	17	0
320	school	The school was built in 1932.	Our children attend a public school in our neighborhood.	4	29	10	35	0
321	throw	Throw a frisbee.	Jane threw dinner together.	0	5	5	10	0
322	work	Do you want to work after the age of 60?	My wife never worked.	15	14	19	20	1
323	space	They stopped at an open space in the jungle.	The space between his teeth.	24	4	29	9	1
324	way	Do you know the way to the airport?	They split the loot three ways.	16	26	19	30	0
325	start	We simply could not start the engine.	Start a foundation.	20	0	25	5	0
326	bum	That guy keeps interrupting the concert. Throw the bum out!	Fred is becoming a bum -- he's not even bothering to work more than once a month.	51	19	54	22	1
327	charge	Will you pay cash or charge the purchase?	Charge all weapons, shields, and banners.	21	0	27	6	0
328	be	I shall be writing to you soon.	We liked to chat while we were eating.	8	26	10	30	1
329	get	Did you get it?	It must be getting more serious.	8	11	11	18	0
330	title	He had no documents confirming his title to his father's estate.	I can never remember movie titles.	35	27	40	33	0
331	work	Start from the bottom and work towards the top.	The stitches of the hem worked loose after she wore the skirt many times.	26	24	30	30	0
332	pull	Pull the string gently.	Pull the rope.	0	0	4	4	1
333	demand	The automobile reduced the demand for buggywhips.	There were many demands on his time.	27	16	33	23	0
334	lift	Lift the box onto the table.	I lifted the books.	0	2	4	8	1
335	title	The professor didn't like his friends to use his formal title.	He held the title for two years.	56	12	61	17	0
336	connect	Can you connect the two loudspeakers?	This computer will connect well to the network.	8	19	15	26	1
