index	word	sentence1	sentence2	label	originated_idx	start1	start2	end1	end2
54	drink	Drink was his downfall.	Can I buy you a drink?	0	3944|3231	0	16	5	21
55	drink	I asked for a hot drink.	Can I buy you a drink?	1	5064|3458	18	16	23	21
56	concoction	She has no peer in the concoction of mystery stories.	He volunteered to taste her latest concoction.	0	548|3223	23	35	33	45
57	concoction	He volunteered to taste her latest concoction.	She has no peer in the concoction of mystery stories.	0	3223|548	35	23	45	33
58	move	We must move quickly.	The horse moves a carriage.	0	1926|3563	8	10	12	15
59	move	We must move quickly.	Move those boxes into the corner, please.	0	2242|2989	8	0	12	4
60	move	We must move quickly.	She moved the queen closer to the centre of the board.	0	2242|5106	8	4	12	9
61	move	We must move quickly.	The soldiers moved towards the city in an attempt to take it before night fell.	0	2242|5111	8	13	12	18
62	move	They were pleased about their move to the country.	They say that three moves equal one fire.	1	4582|3915	30	20	34	25
63	move	To move in a matter.	The horse moves a carriage.	0	4923|3563	3	10	7	15
64	move	To move in a matter.	We must move quickly.	1	4923|1926	3	8	7	12
65	take	Take the gun from your pocket.	Tomorrow the doctor will take the cast off her arm.	1	268|1582	0	25	4	29
66	take	Tomorrow the doctor will take the cast off her arm.	Take steps.	0	281|1796	25	0	29	4
67	take	Take a scene.	We take all major credit cards.	0	504|2435	0	3	4	7
68	take	Take action.	Do you take sugar in your coffee?	0	581|1103	0	7	4	11
69	take	Take action.	Take steps.	1	581|5193	0	0	4	4
70	take	I take it you're not going?	Do you take me for a fool?	1	704|5145	2	7	6	11
71	take	You can't take credit for this!	Do you take me for a fool?	1	795|223	10	7	14	11
72	take	You can't take credit for this!	How should I take this message?	1	795|2708	10	13	14	17
73	take	You can't take credit for this!	I take it you're not going?	1	795|2993	10	2	14	6
74	take	I estimate the trip will take about ten minutes.	He took off his shoes.	0	1002|277	25	3	29	7
75	take	I estimate the trip will take about ten minutes.	Take the gun from your pocket.	0	1002|281	25	0	29	4
76	take	I estimate the trip will take about ten minutes.	The test grader takes off a point for every misspelled word.	0	1002|311	25	16	29	21
77	take	I estimate the trip will take about ten minutes.	Mother took our plates away and came back with some fruit for us to eat.	0	1002|1582	25	7	29	11
78	take	Take vengeance.	We take all major credit cards.	0	1103|2435	0	3	4	7
79	take	How should I take this message?	We took an apartment on a quiet street.	0	1107|927	13	3	17	7
80	take	How should I take this message?	I used to take The Sunday Times.	0	1107|2777	13	10	17	14
81	take	How should I take this message?	Do you take me for a fool?	1	1107|4992	13	7	17	11
82	take	How should I take this message?	I take it you're not going?	1	1107|5326	13	2	17	6
83	take	Take a pulse.	Do you take sugar in your coffee?	0	1186|2502	0	7	4	11
84	take	Take steps.	Mother took our plates away and came back with some fruit for us to eat.	0	1796|268	0	7	4	11
85	take	Take steps.	The test grader takes off a point for every misspelled word.	0	1796|1744	0	16	4	21
86	take	Take steps.	Tomorrow the doctor will take the cast off her arm.	0	1796|281	0	25	4	29
87	take	We take the Times every day.	Take vengeance.	0	2051|581	3	0	7	4
88	take	We take the Times every day.	Take steps.	0	2051|5133	3	0	7	4
89	take	Tomorrow the doctor will take the cast off her arm.	Take a cookie!	0	2319|4055	25	0	29	4
90	take	We take all major credit cards.	A reading was taken of the earth's tremors.	0	2435|2502	3	14	7	19
91	take	We take all major credit cards.	Take a scene.	0	2435|504	3	0	7	4
92	take	We take all major credit cards.	Take vengeance.	0	2435|1103	3	0	7	4
93	take	Do you take sugar in your coffee?	Take a pulse.	0	2502|1186	7	0	11	4
94	take	I used to take The Sunday Times.	He was often taken to be a man of means.	0	2777|795	10	13	14	18
95	take	I used to take The Sunday Times.	How should I take this message?	0	2777|1107	10	13	14	17
96	take	I used to take The Sunday Times.	Do you take me for a fool?	0	2777|4992	10	7	14	11
97	take	I used to take The Sunday Times.	I take it you're not going?	0	2777|5326	10	2	14	6
98	take	Do you take me for a fool?	I estimate the trip will take about ten minutes.	0	3193|4047	7	25	11	29
99	take	Take a risk.	Take these letters to the boss.	0	3951|4919	0	0	4	4
100	take	I used to take The Sunday Times.	Take vengeance.	0	4422|581	10	0	14	4
101	take	I used to take The Sunday Times.	Take steps.	0	4422|5133	10	0	14	4
102	take	Do you take me for a fool?	We took an apartment on a quiet street.	0	4992|927	7	3	11	7
103	take	Do you take me for a fool?	I used to take The Sunday Times.	0	4992|2777	7	10	11	14
104	take	Take steps.	Take vengeance.	1	5133|581	0	0	4	4
105	take	Take steps.	We take the Times every day.	0	5133|2051	0	3	4	7
106	take	Take steps.	I used to take The Sunday Times.	0	5133|4422	0	10	4	14
107	take	Take vengeance.	Take the gun from your pocket.	0	5193|1796	0	0	4	4
108	take	Take vengeance.	Shall we take a guide in Rome?	0	5193|3984	0	9	4	13
109	take	Take vengeance.	Take action.	1	5193|5133	0	0	4	4
110	take	I take it you're not going?	We took an apartment on a quiet street.	0	5326|927	2	3	6	7
111	take	I take it you're not going?	I used to take The Sunday Times.	0	5326|2777	2	10	6	14
112	hyponym	"A is a hyponym of B means that ""A is a type of B.""."	Dog is a hyponym of animal.	1	4376|3322	7	9	14	16
113	swing	Swing back.	This action swung many votes over to his side.	0	5267|274	0	12	5	17
114	disposition	A swelling with a disposition to rupture.	I have little disposition now to do as you say.	0	1109|4452	18	14	29	25
115	disposition	He has a happy disposition.	Salt has a disposition to dissolve in water.	0	3007|4452	15	11	26	22
116	disposition	I have little disposition now to do as you say.	A swelling with a disposition to rupture.	0	4452|1109	14	18	25	29
117	fair	Book fair.	Trade fair.	1	3598|4445	5	6	9	10
118	fair	Trade fair.	World fair.	1	3636|3598	6	6	10	10
119	fair	World fair.	Book fair.	1	4445|3636	6	5	10	9
120	flatten	Flatten your stomach with these exercises.	Mary would flatten the dough before rolling it into pretzels.	1	1513|2822	0	11	7	18
121	flatten	Flatten your stomach with these exercises.	As there was a lot of damage, we chose the heavy roller to flatten the pitch.	1	1513|3760	0	59	7	66
122	flatten	Flatten a road.	As there was a lot of damage, we chose the heavy roller to flatten the pitch.	1	2822|2712	0	59	7	66
123	difficulty	They agreed about the difficulty of the climb.	Had difficulty walking.	0	294|3682	22	4	32	14
124	difficulty	Had difficulty walking.	They agreed about the difficulty of the climb.	0	3682|294	4	22	14	32
125	difference	His support made a real difference.	It just won't make much of a difference to anyone.	1	1231|2862	24	29	34	39
126	difference	His support made a real difference.	It just won't make much difference to me.	1	1231|4788	24	24	34	34
127	difference	It just won't make much of a difference to anyone.	There were irreconcilable differences.	0	1969|1461	29	26	39	37
128	difference	It just won't make much of a difference to anyone.	The difference in her is amazing.	1	1969|4788	29	4	39	14
129	difference	The difference in her is amazing.	It just won't make much difference to me.	1	2862|1969	4	24	14	34
130	difference	The difference in her is amazing.	His support made a real difference.	1	2862|4476	4	24	14	34
131	difference	The difference in her is amazing.	You need to learn to be more tolerant of difference.	0	2862|3850	4	41	14	51
132	difference	You need to learn to be more tolerant of difference.	It just won't make much difference to me.	0	3850|1969	41	24	51	34
133	difference	You need to learn to be more tolerant of difference.	His support made a real difference.	0	3850|4476	41	24	51	34
134	difference	You need to learn to be more tolerant of difference.	The difference in her is amazing.	0	3850|2862	41	4	51	14
135	difference	It just won't make much difference to me.	It just won't make much of a difference to anyone.	1	4664|4476	24	29	34	39
136	apparition	The apparition of Lawyer Clippurse occasioned much speculation in that portion of the world. -- Sir W. Scott.	The sudden apparition of the Spaniards. -- William H. Prescott.	1	4926|4124	4	11	14	21
137	neck	The banjo had a long neck.	The horse won by a neck.	0	2159|2445	21	19	25	23
138	neck	The horse won by a neck.	The banjo had a long neck.	0	2445|2159	19	21	23	25
139	bear	She agreed to bear the responsibility.	Bear a heavy load.	0	1590|4622	14	0	18	4
140	bear	Bear news.	Bear a resemblance.	0	2919|4497	0	0	4	4
141	bear	Bear news.	Bearing orders.	1	2919|4622	0	0	4	7
142	bear	Bear a heavy load.	Bear a signature.	0	4497|5266	0	0	4	4
143	bear	Bear a heavy load.	She agreed to bear the responsibility.	0	4622|1590	0	14	4	18
144	bear	Bear a heavy load.	I can not bear his constant criticism.	0	4622|5087	0	10	4	14
145	bear	I can not bear his constant criticism.	Bear a heavy load.	0	5087|4622	10	0	14	4
146	hit	Hit a ball.	He hit .300 in the past season.	0	27|44	0	3	3	6
147	hit	He hit a home run.	We were hit by really bad weather.	0	44|4418	3	8	6	11
148	hit	The ball hit the fence.	The temperature could hit 110 F tomorrow.	0	46|2563	9	22	12	25
149	hit	The ball hit the fence.	The thermometer hit 100 degrees.	0	46|3882	9	16	12	19
150	hit	The ball hit the fence.	I have to hit the MAC machine before the weekend starts.	0	993|2197	9	10	12	13
151	hit	The ball hit the fence.	Jones hit for the pitcher.	0	993|4549	9	6	12	9
152	hit	I have to hit the MAC machine before the weekend starts.	We hit Detroit by noon.	1	1227|4549	10	3	13	6
153	hit	We hit Detroit by noon.	One boy hit the other.	0	2197|4575	3	8	6	11
154	hit	The temperature could hit 110 F tomorrow.	He hit a home run.	0	2431|3156	22	3	25	6
155	hit	The temperature could hit 110 F tomorrow.	The ball hit the fence.	0	2431|4092	22	9	25	12
156	hit	I hit the jackpot.	The movie hits theaters in December.	1	2563|2431	2	10	5	14
157	hit	I hit the jackpot.	The thermometer hit 100 degrees.	1	2563|3252	2	16	5	19
158	hit	I hit the jackpot.	We were hit by really bad weather.	0	2563|4281	2	8	5	11
159	hit	He hit a home run.	The temperature could hit 110 F tomorrow.	0	3156|2431	3	22	6	25
160	hit	He hit a home run.	The thermometer hit 100 degrees.	0	3156|3823	3	16	6	19
161	hit	The temperature could hit 110 F tomorrow.	I hit the jackpot.	1	3252|3882	22	2	25	5
162	hit	We hit Detroit at one in the morning but kept driving through the night.	He hit .300 in the past season.	0	3583|44	3	3	6	6
163	hit	The thermometer hit 100 degrees.	The temperature could hit 110 F tomorrow.	1	3823|2431	16	22	19	25
164	hit	The thermometer hit 100 degrees.	He hit a home run.	0	3823|3156	16	3	19	6
165	hit	The thermometer hit 100 degrees.	The ball hit the fence.	0	3823|4092	16	9	19	12
166	hit	An interesting idea hit her.	The car hit a tree.	0	3970|4448	20	8	23	11
167	hit	We hit Detroit at one in the morning but kept driving through the night.	The car hit a tree.	0	4091|4448	3	8	6	11
168	hit	We were hit by really bad weather.	The movie hits theaters in December.	0	4281|2431	8	10	11	14
169	hit	We were hit by really bad weather.	The thermometer hit 100 degrees.	0	4281|3252	8	16	11	19
170	hit	We were hit by really bad weather.	I hit the jackpot.	0	4281|2563	8	2	11	5
171	hit	The car hit a tree.	I hit the jackpot.	0	4448|46	8	2	11	5
172	hit	The car hit a tree.	We hit Detroit by noon.	0	4448|993	8	3	11	6
173	hit	The car hit a tree.	The movie hits theaters in December.	0	4448|4092	8	10	11	14
174	hit	The car hit a tree.	An interesting idea hit her.	0	4448|3970	8	20	11	23
175	hit	The car hit a tree.	We hit Detroit at one in the morning but kept driving through the night.	0	4448|4091	8	3	11	6
176	hit	One boy hit the other.	Jones hit for the pitcher.	0	4575|1227	8	6	11	9
177	hit	One boy hit the other.	We hit Detroit by noon.	0	4575|2197	8	3	11	6
178	hit	He hit her hard in the face.	He hit .300 in the past season.	0	4696|44	3	3	6	6
179	hit	An interesting idea hit her.	He hit .300 in the past season.	0	4835|44	20	3	23	6
180	hit	Hit the bottle.	He hit .300 in the past season.	0	4936|44	0	3	3	6
181	hit	He tries to hit on women in bars.	He hit .300 in the past season.	0	5289|44	12	3	15	6
182	appointment	The appointment had to be approved by the whole committee.	I'm leaving work early because I have a doctor's appointment.	0	3142|4583	4	49	15	60
183	appointment	I'm leaving work early because I have a doctor's appointment.	The appointment had to be approved by the whole committee.	0	4583|3142	49	4	60	15
184	piece	I need to rest for a piece.	He designed a new piece of equipment.	0	847|4361	21	18	26	23
185	piece	He designed a new piece of equipment.	I need to rest for a piece.	0	4361|847	18	21	23	26
186	model	The computer weather model did not correctly predict the path of the hurricane.	He is the very model of a modern major general.	0	1308|5226	21	15	26	20
187	model	He is the very model of a modern major general.	The computer weather model did not correctly predict the path of the hurricane.	0	5226|1308	15	21	20	26
188	tell	He could tell that she was unhappy.	I tell you that man is a crook!	0	718|923	9	2	13	6
189	tell	He could tell that she was unhappy.	Please tell me how to do it.	0	718|2855	9	7	13	11
190	tell	I tell you that man is a crook!	He could tell that she was unhappy.	0	923|718	2	9	6	13
191	tell	I tell you that man is a crook!	Please tell me how to do it.	1	923|2855	2	7	6	11
192	tell	I want to tell you a story.	I want to tell a story.	1	2138|2443	10	10	14	14
193	tell	I want to tell a story.	I want to tell you a story.	1	2443|2138	10	10	14	14
194	tell	Please tell me how to do it.	He could tell that she was unhappy.	0	2855|718	7	9	11	13
195	class	She has a lot of class.	There are two classes of detergents.	0	3249|5094	17	14	22	21
196	stop	It came to a stop at the bottom of the hill.	They agreed to see each other at the bus stop.	0	4983|679	13	41	17	45
197	foulness	Mouths which speak such foulness must be cleansed.	His display of foulness deserved severe punishment.	1	2621|3810	24	15	32	23
198	neighbour	My neighbour is very irritable and grumpy at times.	My neighbour has an annoying cat.	1	4945|4319	3	3	12	12
199	accept	I can not accept your invitation.	People did not accept atonal music at that time.	0	532|4883	10	15	16	21
200	accept	The Boy Scouts were going to accept him as a member.	I can not accept your invitation.	0	716|261	29	10	35	16
201	accept	People did not accept atonal music at that time.	I can not accept your invitation.	0	4883|532	15	10	21	16
202	part	He wanted to feel a part of something bigger than himself.	We all have a part to play.	0	173|1453	20	14	24	18
203	part	The part of his hair was slightly to the left.	He tried to sing the tenor part.	0	1505|5259	4	27	8	31
204	part	He wanted to feel a part of something bigger than himself.	Glue the two parts together.	0	2936|3177	20	13	24	18
205	part	The rear part of the house.	They resisted every effort on his part.	0	3177|4293	9	34	13	38
206	part	They resisted every effort on his part.	The rear part of the house.	0	4293|3177	34	9	38	13
207	part	He tried to sing the tenor part.	The part of his hair was slightly to the left.	0	5259|1505	27	4	31	8
208	pack	You had better pack your swollen ankle with ice.	To pack goods in a box.	0	155|2766	15	3	19	7
209	pack	You had better pack your swollen ankle with ice.	To pack fish.	0	155|3827	15	3	19	7
210	pack	To pack goods in a box.	To pack fish.	1	443|1027	3	3	7	7
211	pack	To pack fish.	To pack goods in a box.	1	1027|443	3	3	7	7
212	pack	Pack the books into the boxes.	Crowds packed the stands.	1	2766|443	0	7	4	13
213	party	The party of the first part.	In 1992 Perot tried to organize a third party at the national level.	0	2523|149	4	40	9	45
214	sale	I got some great bargains at their annual sale.	They are having a clearance sale: 50% off.	1	1752|2126	42	28	46	32
215	sale	I got some great bargains at their annual sale.	He celebrated after the sale of company.	0	1752|4398	42	24	46	28
216	sale	They are having a clearance sale: 50% off.	He celebrated after the sale of company.	0	2126|4398	28	24	32	28
217	sale	He celebrated after the sale of company.	I got some great bargains at their annual sale.	0	4398|1752	24	42	28	46
218	sale	He celebrated after the sale of company.	They are having a clearance sale: 50% off.	0	4398|2126	24	28	28	32
219	stand	Here I stand, wondering what to do next.	We had to stand for the entire performance!	0	41|4353	7	10	12	15
220	stand	Stand the test of time.	We had to stand for the entire performance!	0	4213|4353	0	10	5	15
221	stand	We had to stand for the entire performance!	Here I stand, wondering what to do next.	0	4353|41	10	7	15	12
222	stand	We had to stand for the entire performance!	Stand the test of time.	0	4353|4213	10	0	15	5
223	turn	Turn cartwheels.	Turn the legs of the table.	0	849|4380	0	0	4	4
224	turn	Turn the earth in the Spring.	Turn the dial to 10.	0	870|2841	0	0	4	4
225	turn	Turn your palm this way.	The hillside behind our house isn't generally much to look at, but once all the trees turn it's gorgeous.	0	1075|2692	0	86	4	90
226	turn	Turn your dance partner around.	The princess turned the frog into a prince by kissing him.	0	1327|568	0	13	4	19
227	turn	The hillside behind our house isn't generally much to look at, but once all the trees turn it's gorgeous.	Ivory turns well.	0	1765|386	86	6	90	11
228	turn	Turn your palm this way.	Turn the legs of the table.	0	2253|2807	0	0	4	4
229	turn	Turn the legs of the table.	The pedophile turned to boys for satisfaction.	0	2405|4693	0	14	4	20
230	turn	Turn a key.	In Vermont, the leaves turn early.	0	2692|1765	0	23	4	27
231	turn	Turn the clay on the wheel.	People turn to mysticism at the turn of a millennium.	0	2807|2405	0	7	4	11
232	turn	Turn the clay on the wheel.	Turn a somersault.	0	2807|4380	0	0	4	4
233	turn	Turn the dial to 10.	This milk has turned; it smells awful.	0	2841|1151	0	14	4	20
234	turn	Turn the dial to 10.	Turn the earth in the Spring.	0	2841|870	0	0	4	4
235	turn	Turn the dial to 10.	The alchemists tried to turn lead into gold.	0	2841|3800	0	24	4	28
236	turn	The hillside behind our house isn't generally much to look at, but once all the trees turn it's gorgeous.	Turn a somersault.	0	3596|849	86	0	90	4
237	turn	Turn a key.	Turn the legs of the table.	0	3693|2807	0	0	4	4
238	turn	The alchemists tried to turn lead into gold.	Turn the dial to 10.	0	3800|2841	24	0	28	4
239	turn	The Earth turns.	Turn on the spot.	1	3863|4227	10	0	15	4
240	turn	Turn on the spot.	Turn the heat down.	0	3987|2841	0	0	4	4
241	turn	Turn on the spot.	The Earth turns.	1	4227|3863	0	10	4	15
242	turn	Turn your dance partner around.	Turn your face to the wall.	1	4364|4765	0	0	4	4
243	turn	Turn the legs of the table.	Turn cartwheels.	0	4380|849	0	0	4	4
244	turn	Turn your face to the wall.	The alchemists tried to turn lead into gold.	0	4570|1327	0	24	4	28
245	turn	Turn your face to the wall.	Turn the car around.	1	4570|4364	0	0	4	4
246	turn	Turn the car around.	Ivory turns well.	0	4765|814	0	6	4	11
247	turn	Turn the car around.	She is turning 50 this year.	0	4765|1388	0	7	4	14
248	turn	Turn the car around.	The people turned against the President when he stole the election.	0	4765|4431	0	11	4	17
249	turn	Turn the car around.	Turn your dance partner around.	1	4765|4570	0	0	4	4
250	turn	Turn cartwheels.	Turn the heat down.	0	5083|2841	0	0	4	4
251	coverage	Before laying sod on that clay, the ground needs two inches of coverage with topsoil.	The enemy fire is increasing -- can we get some immediate coverage from those bunkers?	1	1341|4864	63	58	71	66
252	coverage	The dictionary's coverage of standard English is excellent.	They accused the paper of biased coverage of race relations.	0	3018|3101	17	33	25	41
253	coverage	The dictionary's coverage of standard English is excellent.	The enemy fire is increasing -- can we get some immediate coverage from those bunkers?	1	3018|4081	17	58	25	66
254	coverage	The dictionary's coverage of standard English is excellent.	Don't go to lunch if we don't have enough coverage for the help-desk phones.	1	3018|4387	17	42	25	50
255	coverage	The dictionary's coverage of standard English is excellent.	Before laying sod on that clay, the ground needs two inches of coverage with topsoil.	1	3018|5228	17	63	25	71
256	coverage	They accused the paper of biased coverage of race relations.	The dictionary's coverage of standard English is excellent.	0	3101|3018	33	17	41	25
257	coverage	They accused the paper of biased coverage of race relations.	The enemy fire is increasing -- can we get some immediate coverage from those bunkers?	0	3101|4081	33	58	41	66
258	coverage	They accused the paper of biased coverage of race relations.	Don't go to lunch if we don't have enough coverage for the help-desk phones.	0	3101|4387	33	42	41	50
259	coverage	They accused the paper of biased coverage of race relations.	Before laying sod on that clay, the ground needs two inches of coverage with topsoil.	0	3101|5228	33	63	41	71
260	coverage	The enemy fire is increasing -- can we get some immediate coverage from those bunkers?	They accused the paper of biased coverage of race relations.	0	4081|3101	58	33	66	41
261	coverage	The enemy fire is increasing -- can we get some immediate coverage from those bunkers?	Don't go to lunch if we don't have enough coverage for the help-desk phones.	1	4081|4387	58	42	66	50
262	coverage	The enemy fire is increasing -- can we get some immediate coverage from those bunkers?	Before laying sod on that clay, the ground needs two inches of coverage with topsoil.	1	4081|5228	58	63	66	71
263	coverage	Don't go to lunch if we don't have enough coverage for the help-desk phones.	They accused the paper of biased coverage of race relations.	0	4387|3101	42	33	50	41
264	coverage	Don't go to lunch if we don't have enough coverage for the help-desk phones.	Before laying sod on that clay, the ground needs two inches of coverage with topsoil.	1	4387|5228	42	63	50	71
265	coverage	Before laying sod on that clay, the ground needs two inches of coverage with topsoil.	They accused the paper of biased coverage of race relations.	0	5228|3101	63	33	71	41
266	copy	Catastrophes make good copy.	Please bring me the copies of those reports.	0	2607|4285	23	20	27	26
267	copy	Catastrophes make good copy.	The clone was a copy of its ancestor.	0	2607|4731	23	16	27	20
268	copy	The clone was a copy of its ancestor.	She made a copy of the designer dress.	1	2925|4285	16	11	20	15
269	analyze	Analyze a chemical compound.	Analyze a sentence.	1	3091|5059	0	0	7	7
270	analyze	Analyze a sentence.	Analyze a specimen.	1	3871|3091	0	0	7	7
271	analyze	Analyze a specimen.	Analyze a chemical compound.	1	5059|3871	0	0	7	7
272	post	It came by the first post.	This military post provides an important source of income for the town nearby.	0	412|3667	21	14	25	18
273	post	It came by the first post.	Is there any post for me?	0	412|4555	21	13	25	17
274	post	There is an officer's club on the post.	If you hurry you'll catch the post.	0	1994|3667	34	30	38	34
275	post	If you hurry you'll catch the post.	There is an officer's club on the post.	0	3667|1994	30	34	34	38
276	post	She was opening her post.	If you hurry you'll catch the post.	0	3939|4555	20	30	24	34
277	post	If you hurry you'll catch the post.	She was opening her post.	0	4555|3939	30	20	34	24
278	dwelling	He built a modest dwelling near the pond.	The old house served as a dwelling for Albert.	1	2154|1291	18	26	26	34
279	dwelling	He built a modest dwelling near the pond.	Philip's dwelling fronted on the street. -- Alfred Tennyson.	1	2154|2500	18	9	26	17
280	dwelling	Philip's dwelling fronted on the street. -- Alfred Tennyson.	The old house served as a dwelling for Albert.	1	2500|1291	9	26	17	34
281	recognition	He was unable to make his motion because he couldn't get recognition by the chairman.	A sudden recognition of the problem he faced.	0	252|1673	57	9	68	20
282	recognition	Increasing recognition that diabetes frequently coexists with other chronic diseases.	Give her recognition for trying.	0	1673|773	11	9	22	20
283	recognition	He looked at her for ten full minutes before recognition dawned.	A sudden recognition of the problem he faced.	0	1679|1673	45	9	56	20
284	text	They handed out the printed text of the mayor's speech.	He wants to reconstruct the original text.	1	1641|3622	28	37	32	41
285	date	Do you know the date of the wedding?	She asked how to avoid kissing at the end of a date.	0	2761|3869	16	47	20	51
286	date	US date: 05/24/08 = Tuesday, May 24th, 2008. UK date: 24/05/08 = Tuesday 24th May 2008.	He tried to memorizes all the dates for his history class.	1	3256|4600	3	30	7	35
287	date	They are up to date.	His date never stopped talking.	0	4164|5227	15	4	19	8
288	date	His date never stopped talking.	They are up to date.	0	5227|4164	4	15	8	19
289	term	The general term of an algebraic equation of the n-th degree.	The term allowed to a debtor to discharge his debt.	0	298|1642	12	4	16	8
290	term	The general term of an algebraic equation of the n-th degree.	He left school before the end of term.	0	298|3918	12	33	16	37
291	term	The general term of an algebraic equation of the n-th degree.	A prison term.	0	298|5274	12	9	16	13
292	term	A prison term.	He left school before the end of term.	1	1556|2590	9	33	13	37
293	term	The term allowed to a debtor to discharge his debt.	The general term of an algebraic equation of the n-th degree.	0	1642|298	4	12	8	16
