index	sentence	label	sentence_paraphrase
42	while the ideas about techno-saturation are far from novel , they 're presented with a wry dark humor . 	1	While the concepts of techno-saturation are not new, they are presented with a wry dark humour.
45	like leon , it 's frustrating and still oddly likable . 	1	It's frustrating and oddly likeable, just like Leon.
47	a woman 's pic directed with resonance by ilya chaiken .	1	Ilya Chaiken directed a woman's film with resonance.
48	may reawaken discussion of the kennedy assassination but this fictional film looks made for cable rather than for the big screen .	0	Although this fictional film appears to be made for cable rather than the big screen, it may rekindle discussion of the Kennedy assassination.
49	the end result is a film that 's neither .	0	As a result, the film is neither.
50	a quiet treasure -- a film to be savored .	1	a quiet treasure, a film to savour
51	teen movies have really hit the skids .	0	Teen movies have hit rock bottom.
52	woody allen 's latest is an ambling , broad comedy about all there is to love -- and hate -- about the movie biz . 	1	Woody Allen's latest film is a rambling, broad comedy about everything there is to love  and hate  about the movie business.
53	will amuse and provoke adventurous adults in specialty venues .	1	will entertain and provoke daring adults in specialty venues
56	... a magnificent drama well worth tracking down .	1	... a magnificent drama that is well worth seeking out.
59	a working class `` us vs. them '' opera that leaves no heartstring untugged and no liberal cause unplundered .	1	"a working-class ""us vs. them"" opera that tugs at every heartstring and contributes to every liberal cause."
60	reign of fire looks as if it was made without much thought -- and is best watched that way .	1	Reign of Fire appears to have been thrown together haphazardly, and it is best watched that way.
61	a by-the-numbers effort that wo n't do much to enhance the franchise .	0	a by-the-numbers effort that will do little to improve the franchise
62	an occasionally funny , but overall limp , fish-out-of-water story . 	0	an occasionally amusing, but overall sluggish, fish-out-of-water tale
63	despite the 2-d animation , the wild thornberrys movie makes for a surprisingly cinematic experience . 	1	Despite its two-dimensional animation, the Wild Thornberries film is a surprisingly cinematic experience.
64	the film tunes into a grief that could lead a man across centuries .	1	The film focuses on a man's grief that can take him across centuries.
65	so much facile technique , such cute ideas , so little movie . 	1	So little film, so much simple technique, so many cute ideas.
66	expect the same-old , lame-old slasher nonsense , just with different scenery . 	0	Expect the same-old, same-old slasher nonsense, albeit in a different setting.
67	there 's not enough here to justify the almost two hours .	0	There isn't enough here to justify the nearly two-hour wait.
70	the most compelling wiseman epic of recent years .	1	the most engrossing wiseman epic in recent years
71	there 's no emotional pulse to solaris .	0	Solaris has no emotional pulse.
72	a coarse and stupid gross-out .	0	a crude and stupid outburst
74	it treats women like idiots .	0	It treats women as if they are stupid.
75	... routine , harmless diversion and little else . 	1	... a routine, innocuous diversion, and little else.
76	the reality of the new live-action pinocchio he directed , cowrote and starred in borders on the grotesque . 	0	The reality of his new live-action Pinocchio film, in which he directed, co-wrote, and stars, borders on the grotesque.
77	how do you spell cliché ?	0	What is the correct spelling of cliché?
78	director of photography benoit delhomme shot the movie in delicious colors , and the costumes and sets are grand . 	1	The film was shot in vibrant colours by director of photography Benoit Delhomme, and the costumes and sets are spectacular.
79	less dizzying than just dizzy , the jaunt is practically over before it begins . 	0	The jaunt is almost over before it begins, as it is less dizzy than simply dizzy.
80	a wildly inconsistent emotional experience .	0	a wildly erratic emotional experience
83	mcconaughey 's fun to watch , the dragons are okay , not much fire in the script . 	1	Mcconaughey is entertaining to watch, the dragons are adequate, and there isn't much fire in the script.
84	has all the depth of a wading pool .	0	has the same depth as a wading pool
85	at once half-baked and overheated .	0	Half-baked and overheated at the same time
87	a valueless kiddie paean to pro basketball underwritten by the nba .	0	a worthless kiddie ode to pro basketball sponsored by the NBA
88	it confirms fincher 's status as a film maker who artfully bends technical know-how to the service of psychological insight .	1	It cements Fincher's reputation as a filmmaker who deftly uses technical prowess to serve psychological insight.
90	a study in shades of gray , offering itself up in subtle plot maneuvers ... 	1	a study in grayscale, presenting itself in subtle plot manoeuvres...
91	no screen fantasy-adventure in recent memory has the showmanship of clones ' last 45 minutes .	1	No recent screen fantasy-adventure has had the showmanship of Clones' final 45 minutes.
92	more romantic , more emotional and ultimately more satisfying than the teary-eyed original . 	1	more romantic, emotional, and ultimately satisfying than the original's tearjerker
95	it 's slow -- very , very slow . 	0	It's slow  extremely slow.
97	the mesmerizing performances of the leads keep the film grounded and keep the audience riveted .	1	The lead actors' mesmerising performances keep the film grounded and the audience riveted.
98	... the film suffers from a lack of humor ( something needed to balance out the violence ) ...	0	...the film suffers from a lack of levity...
99	we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . 	1	We root for them, even like them, though it's possible that our feelings are more akin to pity.
100	i just loved every minute of this film .	1	I enjoyed every minute of this movie.
101	a quiet , pure , elliptical film 	1	a film that is quiet, pure, and elliptical
102	a disappointment for those who love alternate versions of the bard , particularly ones that involve deep fryers and hamburgers . 	0	a letdown for fans of alternate versions of Shakespeare, particularly those involving deep fryers and hamburgers
103	a simple , but gritty and well-acted ensemble drama that encompasses a potent metaphor for a country still dealing with its fascist past . 	1	a straightforward, gritty, and well-acted ensemble drama that serves as a powerful metaphor for a country still grappling with its fascist past
104	binoche makes it interesting trying to find out .	1	Binoche makes it fun to try to figure out what's going on.
105	jones ... does offer a brutal form of charisma .	1	Jones... possesses a ferocious brand of charisma.
106	the sort of film that makes me miss hitchcock , but also feel optimistic that there 's hope for popular cinema yet . 	1	This is the kind of film that makes me miss Alfred Hitchcock while also making me believe that there is still hope for popular cinema.
107	fun , flip and terribly hip bit of cinematic entertainment . 	1	A fun, flippant, and incredibly hip piece of cinematic entertainment.
108	the wild thornberrys movie is a jolly surprise .	1	The film adaptation of The Wild Thornberries is a delightful surprise.
109	what was once original has been co-opted so frequently that it now seems pedestrian .	0	What was once unique has been so frequently appropriated that it now appears pedestrian.
110	... the movie is just a plain old monster .	0	... the film is just a regular monster.
111	holden caulfield did it better .	0	Holden Caulfield outdid himself.
112	it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part .	1	It's a quirky treat that pokes fun at democracy while also delving into its significance for those who participate.
113	i had to look away - this was god awful .	0	I had to turn away because this was so bad.
114	a gorgeous , witty , seductive movie . 	1	a stunning, witty, and seductive film
115	turns potentially forgettable formula into something strangely diverting .	1	transforms a potentially forgettable formula into something oddly diverting
118	it all drags on so interminably it 's like watching a miserable relationship unfold in real time .	0	It all drags on interminably, like watching a bad relationship play out in real time.
119	forced , familiar and thoroughly condescending . 	0	The tone is forced, familiar, and thoroughly condescending.
120	a deep and meaningful film .	1	a profound and meaningful film
121	but it could have been worse .	0	However, things could have been much worse.
122	a painfully funny ode to bad behavior .	1	a harrowingly funny ode to bad behaviour
124	and that leaves a hole in the center of the salton sea .	0	As a result, the salton sea has a hole in the centre.
125	a sequence of ridiculous shoot - 'em - up scenes .	0	a series of ridiculous shoot-em-up scenes
126	escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie . 	1	Piccoli's escape from the studio is warmly affecting, as is this deftly minimalist film.
130	instead of hiding pinocchio from critics , miramax should have hidden it from everyone . 	0	Instead of keeping Pinocchio hidden from critics, Miramax should have kept it hidden from everyone.
133	there has always been something likable about the marquis de sade .	1	The marquis de Sade has always struck me as likeable.
134	the humor is forced and heavy-handed , and occasionally simply unpleasant . 	0	The humour is forced and heavy-handed, and at times just plain unpleasant.
135	this one is definitely one to skip , even for horror movie fanatics . 	0	This is one to avoid, even if you're a horror movie fan.
136	uses high comedy to evoke surprising poignance .	1	uses high comedy to elicit unexpected poignancy
137	a string of rehashed sight gags based in insipid vulgarity .	0	a slew of tired sight gags based on insipid vulgarity
139	green might want to hang onto that ski mask , as robbery may be the only way to pay for his next project . 	0	Green should hang on to that ski mask because robbery might be the only way he can pay for his next project.
141	a gripping movie , played with performances that are all understated and touching . 	1	a gripping film played with understated and touching performances
142	too often , the viewer is n't reacting to humor so much as they are wincing back in repugnance . 	0	Too often, the viewer is wincing back in repugnance rather than reacting to the humour.
143	comes ... uncomfortably close to coasting in the treads of the bicycle thief .	0	comes perilously close to coasting in the bicycle thief's treads
144	old-form moviemaking at its best .	1	At its best, this is old-school filmmaking at its best.
146	when the film ended , i felt tired and drained and wanted to lie on my own deathbed for a while . 	0	When the movie ended, I was exhausted and drained, and I wished I could lie on my own deathbed for a while.
147	one of the most significant moviegoing pleasures of the year .	1	one of the year's most significant cinematic pleasures
149	a grimly competent and stolid and earnest military courtroom drama .	1	military courtroom drama that is grimly competent, stolid, and earnest
150	adults will wish the movie were less simplistic , obvious , clumsily plotted and shallowly characterized . 	0	Adults will wish that the film was less simplistic, obvious, clumsily plotted, and superficially characterised.
151	involves two mysteries -- one it gives away and the other featuring such badly drawn characters that its outcome hardly matters .	0	involves two mysteries, one of which it reveals and the other of which the characters are so poorly drawn that the outcome is unimportant.
153	detox is ultimately a pointless endeavor .	0	Detox is ultimately a waste of time.
155	though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who look working-class . 	1	Though it's almost redundant to say so, leigh deserves a lot of credit for casting people who look like they're from the working class.
156	the band 's courage in the face of official repression is inspiring , especially for aging hippies ( this one included ) . 	1	The band's bravery in the face of official repression is inspiring, particularly to ageing hippies.
157	the movie achieves as great an impact by keeping these thoughts hidden as ... ( quills ) did by showing them .	1	The movie has the same impact by keeping these thoughts hidden as it does by showing them.
158	jaglom ... put ( s ) the audience in the privileged position of eavesdropping on his characters	1	Jaglom... places the audience in the unique position of being able to listen in on his characters' conversations.
159	we know the plot 's a little crazy , but it held my interest from start to finish . 	1	We all know the plot is a little crazy, but it kept my attention from beginning to end.
160	if director michael dowse only superficially understands his characters , he does n't hold them in contempt . 	0	Even if director Michael Dowse only has a cursory understanding of his characters, he does not despise them.
161	as vulgar as it is banal .	0	It's as obnoxious as it is banal.
163	an operatic , sprawling picture that 's entertainingly acted , magnificently shot and gripping enough to sustain most of its 170-minute length . 	1	an operatic, sprawling film that is entertainingly acted, magnificently shot, and gripping enough to last the entire 170-minute runtime
164	one of the more irritating cartoons you will see this , or any , year . 	0	one of the most vexing cartoons you'll see this year or any year
165	they should have called it gutterball .	0	It should have been called gutterball.
166	corpus collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in .	0	While the corpus collosum was undeniably interesting, it outstayed its welcome about 45 minutes in.
167	wince-inducing dialogue , thrift-shop costumes , prosthetic makeup by silly putty and kmart blue-light-special effects all conspire to test trekkie loyalty . 	0	Wince-inducing dialogue, thrift-store costumes, silly putty prosthetic makeup, and kmart blue-light special effects all conspire to put trekkie loyalty to the test.
169	vera 's three actors -- moll_ , gil and bardem -- excel in insightful , empathetic performances . 	1	Vera's three leads, Molla, Gil, and Bardem, deliver insightful, empathetic performances.
173	when leguizamo finally plugged an irritating character late in the movie .	0	When Leguizamo finally inserted an annoying character late in the film.
175	the film 's performances are thrilling .	1	The performances in the film are thrilling.
177	so , too , is this comedy about mild culture clashing in today 's new delhi . 	1	This comedy about mild cultural clashes in today's New Delhi is no exception.
179	there ought to be a directing license , so that ed burns can have his revoked . 	0	There should be a directing licence so that Ed Burns' licence can be revoked.
181	`` the time machine '' is a movie that has no interest in itself .	0	"""The Time Machine"" is a film that is uninteresting in and of itself."
183	it 's played in the most straight-faced fashion , with little humor to lighten things up . 	0	It's played with the utmost seriousness, with only a smidgeon of levity to keep things light.
185	a sequel that 's much too big for its britches .	0	a sequel that is far too big for its boots.
186	dragonfly has no atmosphere , no tension -- nothing but costner , flailing away . 	0	Dragonfly has no atmosphere, no tension, just Costner flailing around.
187	the film is powerful , accessible and funny . 	1	The film is powerful, approachable, and humorous.
188	and that 's a big part of why we go to the movies .	1	and it's one of the main reasons we go to the movies.
190	the story and structure are well-honed .	1	The plot and structure are both well-crafted.
191	the second coming of harry potter is a film far superior to its predecessor .	1	Harry Potter and the Order of the Phoenix is a far superior film to its predecessor.
192	the best film about baseball to hit theaters since field of dreams .	1	Since Field of Dreams, this is the best baseball film to have hit theatres.
193	it is great summer fun to watch arnold and his buddy gerald bounce off a quirky cast of characters .	1	It's a lot of fun to watch Arnold and his pal Gerald interact with a quirky cast of characters during the summer.
194	hit and miss as far as the comedy goes and a big ole ' miss in the way of story .	0	In terms of comedy, it's hit-or-miss, with a big miss in terms of storey.
195	an unclassifiably awful study in self - and audience-abuse .	0	an unfathomably bad study in self- and audience-abuse
196	kinnear does n't aim for our sympathy , but rather delivers a performance of striking skill and depth . 	1	Kinnear does not seek our sympathy, instead delivering a performance of remarkable skill and depth.
201	it 's also , clearly , great fun . 	1	It's also clearly a lot of fun.
202	rarely has leukemia looked so shimmering and benign .	0	Rarely has leukaemia appeared so gleaming and benign.
203	if you dig on david mamet 's mind tricks ... rent this movie and enjoy !	1	If you like David Mamet's mind tricks, rent this film and enjoy it!
204	bleakly funny , its characters all the more touching for refusing to pity or memorialize themselves . 	1	Its characters are all the more touching for refusing to pity or memorialise themselves, making the film bleakly funny.
205	it 's not the ultimate depression-era gangster movie .	0	It's not the definitive Depression-era gangster film.
206	a solid film ... but more conscientious than it is truly stirring .	1	a good film... but it's more conscientious than stirring.
207	while ( hill ) has learned new tricks , the tricks alone are not enough to salvage this lifeless boxing film . 	0	While Hill has learned new tricks, they are insufficient to save this lifeless boxing film.
208	a big , gorgeous , sprawling swashbuckler that delivers its diversions in grand , uncomplicated fashion . 	1	a big, beautiful, sprawling swashbuckler with grand, uncomplicated diversions
209	the heavy-handed film is almost laughable as a consequence .	0	As a result, the film is almost laughably heavy-handed.
211	filmmakers who can deftly change moods are treasures and even marvels .	1	Filmmakers who can change moods quickly are treasures, if not marvels.
214	true tale of courage -- and complicity -- at auschwitz is a harrowing drama that tries to tell of the unspeakable .	1	The true storey of courage  and complicity  at Auschwitz is a harrowing drama that attempts to describe the unspeakable.
215	dazzles with its fully-written characters , its determined stylishness ( which always relates to characters and story ) and johnny dankworth 's best soundtrack in years . 	1	dazzles with its fully-developed characters, determined style, and Johnny Dankworth's best soundtrack in years.
217	one of the more intelligent children 's movies to hit theaters this year .	1	one of the more insightful children's films to hit theatres this year
218	the film tries too hard to be funny and tries too hard to be hip .	0	The film tries far too hard to be both funny and hip.
219	blanchett 's performance confirms her power once again .	1	Blanchett's performance confirms her dominance once more.
220	as unseemly as its title suggests .	1	as obnoxious as the title implies
221	an entertaining , colorful , action-filled crime story with an intimate heart . 	1	a fun, colourful, action-packed crime storey with a personal touch
222	basically a static series of semi-improvised ( and semi-coherent ) raps between the stars .	0	Essentially, it's a fixed series of semi-improvised raps between the stars.
223	directed in a paint-by-numbers manner .	0	"directed in a ""paint-by-numbers"" style"
224	k-19 exploits our substantial collective fear of nuclear holocaust to generate cheap hollywood tension .	0	k-19 takes advantage of our widespread fear of nuclear war to create cheap Hollywood tension.
225	it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth .	0	It's hampered by a plot that feels like it belongs on a lifetime channel and a lead actress who is out of her element.
227	if you 're hard up for raunchy college humor , this is your ticket right here . 	1	If you're looking for some raunchy college humour, this is the place to be.
229	good old-fashioned slash-and-hack is back !	1	The good old slash-and-hack is back!
231	highbrow self-appointed guardians of culture need not apply , but those who loved cool as ice have at last found a worthy follow-up . 	1	Highbrow self-appointed cultural guardians need not apply, but fans of cool as ice have finally found a worthy successor.
232	like you could n't smell this turkey rotting from miles away .	0	As if you couldn't smell the rotting turkey from miles away.
233	the performances take the movie to a higher level .	1	The performances elevate the film to new heights.
234	the so-inept - it 's - surreal dubbing ( featuring the voices of glenn close , regis philbin and breckin meyer ) brings back memories of cheesy old godzilla flicks . 	0	The so-inept - it's - surreal dubbing reminds me of cheesy old Godzilla movies.
235	should have been someone else -	0	Someone else should have done it -
236	a marvel like none you 've seen .	1	a marvel unlike any you've ever seen
238	so unremittingly awful that labeling it a dog probably constitutes cruelty to canines .	0	It's so bad that calling it a dog is probably a form of canine cruelty.
239	reggio 's continual visual barrage is absorbing as well as thought-provoking .	1	Reggio's constant visual barrage is both absorbing and thought-provoking.
241	corny , schmaltzy and predictable , but still manages to be kind of heartwarming , nonetheless . 	1	It's corny, schmaltzy, and predictable, but it's still kind of heartwarming.
242	of course , by more objective measurements it 's still quite bad . 	0	Of course, by more objective standards, it is still quite poor.
244	this movie seems to have been written using mad-libs .	0	This film appears to have been written with mad-libs.
245	verbinski implements every hack-artist trick to give us the ooky-spookies .	0	Verbinski employs every hack-artist trick in order to provide us with the ooky-spookies.
247	atom egoyan has conjured up a multilayered work that tackles any number of fascinating issues	1	Atom Egoyan has created a multilayered work that addresses a variety of fascinating issues.
249	majidi is an unconventional storyteller , capable of finding beauty in the most depressing places . 	1	Majidi is a unique storyteller who can find beauty in the most depressing places.
254	not only unfunny , but downright repellent . 	0	Not only is it unfunny, but it's also repulsive.
255	just one bad idea after another .	0	One bad idea after the other.
256	for movie lovers as well as opera lovers , tosca is a real treat . 	1	Tosca is a real treat for both movie and opera fans.
257	` easily my choice for one of the year 's best films . '	1	'Easily one of the year's best films,' says the critic.
258	a very long movie , dull in stretches , with entirely too much focus on meal preparation and igloo construction . 	0	a very long film, at times dull, with far too much emphasis on meal preparation and igloo construction
260	mattei is tiresomely grave and long-winded , as if circularity itself indicated profundity . 	0	mattei is tediously solemn and long-winded, as if circularity in and of itself denoted profundity.
261	... plays like somebody spliced random moments of a chris rock routine into what is otherwise a cliche-riddled but self-serious spy thriller .	0	... feels like someone spliced random moments from a Chris Rock routine into an otherwise cliche-ridden but self-serious spy thriller.
262	it all adds up to good fun .	1	Everything adds up to a good time.
263	a very well-made , funny and entertaining picture . 	1	a very well-made, amusing, and entertaining film
