index	sentence1	sentence2	sentence2_paraphrase	label
26	Bryant previously said that hike had a greater impact on demand than officials expected .	Chief financial officer Andy Bryant has said that hike had a greater affect volume than officials expected .	Andy Bryant, chief financial officer, stated that the hike had a greater impact on volume than officials anticipated.	1
27	US military officials say rotor wash from the helicopter might have blown down the banner .	"US officials said downward "" rotor wash "" generated by the hovering helicopter stripped the flag from the tower ."	"According to US officials, the flag was ripped from the tower by the hovering helicopter's downward ""rotor wash."""	1
28	The final report on the investigation could take as long as a year , Engleman said at a news briefing .	Engleman said the final report on the investigation could take as long as a year .	According to Engleman, the investigation's final report could take up to a year.	1
29	Mr Colpin did not specify whether it was this system that was at the centre of the investigation .	Neither OLAF nor the Belgian prosecutors have specified if it was this system that was at the centre of the investigation .	Neither OLAF nor Belgian prosecutors have stated whether this system was the focus of the investigation.	0
30	Doctors had planned to deliver him two weeks early , on or around November 14 .	A Caesarean had originally been planned in mid- November , two weeks early .	A Caesarean section was originally scheduled for mid-November, two weeks early.	1
31	""" Our decision today is quite limited , "" the judges stated in their opinion ."	""" Our decision today is quite limited , "" they conclude ."	""" Today's decision is quite limited,"" they conclude."	1
32	"The network is also dropping its Friday night "" Dateline "" edition ."	"The network will drop one edition of "" Dateline , "" its newsmagazine franchise ."	"The network will discontinue one episode of "" Dateline "", its newsmagazine franchise."	1
33	They were at Raffles Hospital over the weekend for further evaluation .	They underwent more tests over the weekend , and are now warded at Raffles Hospital .	They were subjected to additional tests over the weekend and are now being treated at Raffles Hospital.	1
34	That was 4 cents higher than the expectations of analysts surveyed by Thomson First Call .	The per-share earnings were also 4 cents per share higher than the expectations of analysts surveyed by Thomson First Call .	Earnings per share were also 4 cents higher than the expectations of Thomson First Call analysts polled.	1
35	The tech-loaded Nasdaq composite rose 20.96 points to 1595.91 to end at its highest level for 12 months .	The technology-laced Nasdaq Composite Index < .IXIC > climbed 19.11 points , or 1.2 percent , to 1,615.02 .	The Nasdaq Composite Index.IXIC >, which is heavily weighted with technology, rose 19.11 points, or 1.2 percent, to 1,615.02.	0
36	PeopleSoft 's board of directors has said it will meet soon to consider the Oracle offer .	Thursday morning , PeopleSoft 's board rejected the Oracle takeover offer .	PeopleSoft's board of directors rejected Oracle's takeover offer on Thursday morning.	0
37	Garner said the self-proclaimed mayor of Baghdad , Mohammed Mohsen al-Zubaidi , was released after two days in coalition custody .	Garner said self-proclaimed Baghdad mayor Mohammed Mohsen Zubaidi was released 48 hours after his detention in late April .	Mohammed Mohsen Zubaidi, the self-proclaimed mayor of Baghdad, was released 48 hours after his arrest in late April, according to Garner.	0
38	Both devices implement the v1.2 standard 's eSCO facility to provide the basis for new cordless telephony applications .	BlueCore3 also implements v1.2 's eSCO facility to provide the basis for advanced cordless telephony applications for Bluetooth transmission .	BlueCore3 also includes the eSCO facility from Bluetooth v1.2, which serves as the foundation for advanced cordless telephony applications for Bluetooth transmission.	1
39	Orange shares jumped as much as 15 percent .	France Telecom shares dropped 3.6 percent while Orange surged 13 percent .	France Telecom's stock fell 3.6 percent, while Orange's rose 13 percent.	0
40	The South Korean Agriculture and Forestry Ministry also said it would throw out or send back all Canadian beef currently in store .	The South Korean Agriculture and Forestry Ministry said it would scrap or return all Canadian beef in store .	The South Korean Agriculture and Forestry Ministry announced that all Canadian beef in its stores would be scrapped or returned.	1
41	According to Microsoft 's latest proxy report , Ballmer held nearly 471 million shares as of Sept . 9 , 2002 .	Mr. Ballmer held a split-adjusted 470.9 million Microsoft shares as of Sept . 9 - second only to Chairman Bill Gates .	Mr. Ballmer had 470.9 million split-adjusted Microsoft shares as of September 9th, trailing only Chairman Bill Gates.	0
42	""" It appears from our initial report that this was a textbook landing considering the circumstances , "" Burke said ."	"Said Mr. Burke : "" It was a textbook landing considering the circumstances . """	"Mr. Burke stated, ""Considering the circumstances, it was a textbook landing."""	0
43	A spokeswoman at Strong Memorial Hospital said Doud was in satisfactory condition Tuesday night .	A spokesman at Strong Memorial Hospital said Doud was under evaluation Tuesday evening in the emergency room .	Doud was being evaluated in the emergency room Tuesday evening, according to a spokesman for Strong Memorial Hospital.	0
44	Delmon was 5 when Dmitri was drafted with the fourth pick by St. Louis in 1991 .	Dmitri Young was the fourth overall selection by St. Louis in the 1991 draft .	St. Louis selected Dmitri Young fourth overall in the 1991 draft.	0
45	"PeopleSoft management could choose to activate an anti-takeover defense known as a "" poison pill , "" designed to thwart undesired suitors ."	"PeopleSoft is equipped with an anti-takeover defence , known as a "" poison pill , "" designed to thwart undesired suitors ."	"PeopleSoft has an anti-takeover defense known as a ""poison pill,"" which is designed to thwart unwanted suitors."	1
46	The same survey a month ago had Street leading Katz 42 percent to 34 percent , with 21 percent undecided .	One month ago in the same poll , Katz was leading 46 to 40 percent .	Katz had a 46-to-40 percent lead in the same poll a month ago.	0
47	The interview came a day after a report in the British press that he had been taken into custody .	The interview Thursday came a day after Britain 's Daily Mirror reported Sahhaf had been taken into custody .	The interview took place on Thursday, a day after the Daily Mirror in the United Kingdom reported that Sahhaf had been apprehended.	1
48	Ernst & Young admitted no wrongdoing with the settlement .	Ernst & Young spokesman Kenneth Kerrigan said the firm admits no wrongdoing .	Kenneth Kerrigan, a spokesman for Ernst & Young, stated that the firm admits no wrongdoing.	1
49	Looking to buy the latest Harry Potter ?	Harry Potter 's latest wizard trick ?	What is Harry Potter's most recent wizard trick?	0
50	""" I don 't know whether that means two years or four years ."	""" Whether that means two years or four years , I don 't know . """	""" I'm not sure if that means two years or four years."""	1
51	Amnesty International has said that over the past 20 years it has collected information about 17,000 disappearances in Iraq but the actual figure may be much higher .	Amnesty International said that over the past 20 years it had collected information about 17,000 disappearances in Iraq .	Amnesty International stated that it has gathered information on 17,000 disappearances in Iraq over the last 20 years.	0
52	SCO says the pricing terms for a license will not be announced for weeks .	Details on pricing will be announced within a few weeks , McBride said .	Pricing information will be released in the coming weeks, according to McBride.	1
53	The three men have pleaded not guilty and their lawyers have asked the High Court to dismiss the charges , saying the state has failed to present a solid case .	Defense lawyers asked the High Court to dismiss the charges , saying the state has failed to present a solid case .	Defense attorneys asked the Supreme Court to dismiss the charges, claiming that the state had failed to present a strong case.	0
54	House Democrats are planning a series of town meetings throughout the nation this month to lay out their complaints about the House bill .	House Democrats plan town meetings this month to lay out their complaints about the House bill .	This month, House Democrats will hold town hall meetings to air their grievances about the House bill.	1
55	The company said industrywide sales of consumer film in China during April and May were nearly half of the amount sold during the same two months a year ago .	It said sales of film in China during April and May were about half the amount sold in the year-ago period .	It stated that film sales in China in April and May were roughly half of what they were the previous year.	1
56	Caldera acquired the Unix server software of the original SCO and changed its name to the SCO Group .	SCO changed its name to Tarantella , and Caldera later changed its name to the SCO Group .	SCO was renamed Tarantella, and Caldera was renamed the SCO Group later on.	0
57	Iraq is selling about 10 million barrels of oil that 's currently in storage .	Before the war began in March , Iraq pumped about 2.1 million barrels a day .	Prior to the start of the war in March, Iraq was pumping about 2.1 million barrels per day.	0
58	The last time the survey was conducted , in 1995 , those numbers matched .	In 1995 , the last survey , those numbers were equal .	Those figures were the same in 1995, according to the most recent survey.	1
59	"But Peterson added , "" I don 't know anybody in the conference committee who 's fighting to keep it out completely . """	But Peterson added , I dont know anybody in the conference committee whos fighting to keep it out completely .	"However, Peterson added, ""I don't know anyone on the conference committee who is fighting to keep it out entirely."""	1
60	Murdoch 's family owns about 30 percent of News Corp. shares .	The shares had risen about 16 percent in the past year .	In the previous year, the stock had increased by about 16 percent.	0
61	Air Canada , the largest airline in Canada and No. 11 in the world , has been under court protection from creditors since April 1 .	The No. 11 airline in the world , Air Canada has been under court protection from creditors since April 1 .	Air Canada, the world's 11th largest airline, has been in court protection from creditors since April 1.	0
62	Its shares jumped to $ 54.50 in pre-open trading from $ 50.90 at Wednesday 's close .	Shares jumped almost 7 percent in pre-open trading , rising to $ 18.26 from $ 17.05 at Tuesday 's close .	In pre-open trading, shares rose nearly 7% to $ 18.26, up from $ 17.05 at the close on Tuesday.	1
63	"These men "" are entitled to respect for their private lives , "" Kennedy said ."	""" The petitioners are entitled to respect for their private lives . """	""" The petitioners are entitled to privacy in their personal lives. """	1
64	As planned , the services will be rolled into Yukon when it ships ( see story ) .	The reporting services will also be rolled into Yukon as planned , sources said .	According to sources, the reporting services will be rolled out in Yukon as planned.	1
65	A subsequent report claimed that Jackson had actually become a member of the Nation of Islam .	Mr. Jackson is not Muslim nor a member of the Nation of Islam .	Mr. Jackson is not a Muslim and does not belong to the Nation of Islam.	0
66	Some 95 million Americans -- half of all households -- invest in mutual funds .	About half of all U.S. households have money in mutual funds .	Mutual funds are held by roughly half of all households in the United States.	1
67	Meningitis is an infection of the spinal cord fluid and the tissue around the brain .	Meningitis is an infection of the fluid in a person 's spinal cord and around the brain .	Meningitis is an infection of the fluid that surrounds the brain and spinal cord.	1
68	It is for that reason that legal scholars said the Denver ruling is at least plausible .	It is for that reason that legal scholars said Judge Nottingham 's decision was at least plausible .	As a result, legal scholars deemed Judge Nottingham's decision to be at least plausible.	1
69	Seven of the nine major Democratic presidential candidates will address the forum .	Seven of nine Democratic candidates for president also said they would participate in the conference Monday .	Seven of the nine Democratic presidential candidates have also stated their intention to attend the conference on Monday.	1
70	They also found shortness was associated with a family history of hearing loss .	Shortness was found twice as often in those with hearing loss .	Shortness was found to be twice as common in those who had hearing loss.	1
71	There were conflicting reports about the number of casualties yesterday .	There were sharply conflicting reports tonight on the death toll .	The death toll was reported in widely disparate ways tonight.	1
72	On Friday , the Concorde started up around sunrise and seemed to launch itself straight out of the rising sun .	Yesterday , the Concorde seemed to launch itself straight out of the rising sun .	Yesterday, the Concorde appeared to take off straight from the rising sun.	1
73	Shares ended Wednesday at $ 6.83 , up 2 cents .	Shares of Goodyear rose 2 cents on Wednesday and closed at $ 6.83 .	Goodyear's stock gained 2 cents on Wednesday, closing at $6.83.	0
74	The industry groups non-manufacturing index rose to 50.7 during the month , up from Marchs reading of 47.9 .	The Arizona-based ISM reported Monday that its non-manufacturing index rose to 50.7 last month , from 47.9 in March .	The ISM, based in Arizona, reported on Monday that its non-manufacturing index increased to 50.7 in April from 47.9 in March.	1
75	In the ensuing gun battle two Palestinian militants were killed and 17 people were wounded .	Two 15-year-olds were also killed by Israeli fire and 17 people were wounded , according to the witnesses .	According to witnesses, two 15-year-olds were also killed by Israeli fire, and 17 others were injured.	0
76	""" The £ 5m would give BA a considerable return on the £ 5 it originally paid the government for the aircraft . """	The £ 5m gives BA a considerable return on the £ 5 they originally paid for Concorde .	The £ 5 million represents a significant return on the £ 5 million paid for Concorde.	1
77	Mrs. Clinton said she was incredulous that he would endanger their marriage and family .	She hadn 't believed he would jeopardize their marriage and family .	She had not expected him to jeopardize their marriage and family.	1
78	The new department is charged with patrolling borders , analyzing U.S. intelligence , responding to emergencies and guarding against terrorism , among other tasks .	They patrol borders , analyze U.S. intelligence , respond to emergencies and guard against terrorism , among other tasks .	Among other things, they patrol borders, analyze US intelligence, respond to emergencies, and fight terrorism.	1
79	Tony winners will be announced June 8 at the Radio City Music Hall in New York .	Winners will be announced in a June 8 ceremony broadcast on CBS from Radio City Music Hall .	The winners will be announced at a ceremony from Radio City Music Hall on June 8th, which will be broadcast on CBS.	1
80	It indicates , Robert said ,  that terrorists really don  t care who they attack .	""" It also indicates the terrorists really don 't care who they attack . """	""" It also suggests that the terrorists don't care who they attack. """	1
81	Southwest said its traffic was up 4.6 percent in the quarter , and it ended the quarter with $ 2.2 billion in cash .	Southwest said its traffic was up 4.6 percent in the quarter on a capacity increase of 4.2 percent .	Southwest reported that traffic increased by 4.6 percent in the third quarter, while capacity increased by 4.2 percent.	0
82	""" These foods have an almost identical effect on lowering cholesterol as the original cholesterol-lowering drugs . """	We have now proven that these foods have an almost identical effect on lowering cholesterol as the original cholesterol-reducing drugs .	We have now demonstrated that these foods have a nearly identical effect on cholesterol lowering as the original cholesterol-lowering drugs.	1
83	The Nasdaq composite index advanced 20.59 , or 1.3 percent , to 1,616.50 , after gaining 5.7 percent last week .	The technology-laced Nasdaq Composite Index < .IXIC > climbed 19.11 points , or 1.2 percent , to 1,615.02 .	The Nasdaq Composite Index.IXIC >, which is heavily weighted with technology, rose 19.11 points, or 1.2 percent, to 1,615.02.	0
84	Aiken 's study appears in the Sept . 24 issue of the Journal of the American Medical Association .	The findings appear in Wednesday 's Journal of the American Medical Association .	The findings were published in the Journal of the American Medical Association on Wednesday.	1
85	After Hughes refused to rehire Hernandez , he complained to the Equal Employment Opportunity Commission .	Hernandez filed an Equal Employment Opportunity Commission complaint and sued .	Hernandez filed a complaint with the Equal Employment Opportunity Commission and sued.	0
86	He refused to reveal what percentage of flights carried sky marshals , or whether they would be increased .	He refused to say what percentage of domestic flights had security officers on board .	He refused to say how many security officers were on board domestic flights.	0
87	Several current and former ferry officers have said the rules were routinely ignored and seldom enforced .	Some current and former ferry employees have said those rules were often ignored .	According to some current and former ferry employees, those rules were frequently broken.	1
88	The Bishop of Armidale , Peter Brain , was forthright .	""" He hasn 't got much choice , "" said the Bishop of Armidale , Peter Brain ."	""" He doesn't have much of a choice,"" said Peter Brain, Bishop of Armidale."	0
89	The new research will be published soon in the Proceedings of the National Academy of Sciences .	It will appear in the next few weeks on the Web site of the Proceedings of the National Academy of Sciences .	It will be published on the Proceedings of the National Academy of Sciences website in the coming weeks.	1
90	Five Jordanian embassy staff were wounded but were in stable condition .	Some media reported that Jordanian embassy staff were killed in the attack .	According to some media reports, Jordanian embassy personnel were killed in the attack.	0
91	U.S. District Judge William Steele set a hearing tomorrow on the lawsuit .	U.S. District Judge William Steele has set the hearing on the suit for Wednesday .	The hearing on the lawsuit has been scheduled for Wednesday by U.S. District Judge William Steele.	1
92	Board Chancellor Robert Bennett declined to comment on personnel matters Tuesday .	Mr. Mills declined to comment yesterday , saying that he never discussed personnel matters .	Mr. Mills refused to comment yesterday, claiming that he had never discussed personnel matters with anyone.	1
93	"We 're electing a president of the United States , not a staff . """	""" We are electing a president of the United States , not a staff , "" Kerry said ."	"""We're electing a president, not a staff,"" Kerry said."	1
94	The picture changes a bit should Sen. Hillary Rodham Clinton be the Democratic presidential candidate .	The picture changes slightly should New York Sen. Hillary Rodham Clinton end up as the Democratic presidential candidate .	If New York Senator Hillary Rodham Clinton becomes the Democratic presidential nominee, the picture changes slightly.	1
95	Police said the suspected Marriott suicide bomber was Asmar Latin Sani , 28 , from the island of Sumatra .	A sibling also identified Sani , 28 , who was from the island of Sumatra , police said .	Sani, 28, from the Indonesian island of Sumatra, was also identified by a sibling, according to police.	0
96	About 1,500 firefighters here and north of the neighboring city of Rancho Cucamonga battled flames with helicopters , air tankers and bulldozers .	About 1500 firefighters in Fontana and the neighbouring city of Rancho Cucamonga battled flames with helicopters , air tankers and bulldozers .	About 1500 firefighters from Fontana and the neighboring city of Rancho Cucamonga used helicopters, air tankers, and bulldozers to battle the flames.	1
97	The new policy gives greatest weight to grades , test scores and a student 's high school curriculum .	Academic achievement -- including grades , test scores and high school curriculum -- are given the highest priority .	Academic achievement is given top priority, including grades, test scores, and high school curriculum.	1
98	Numan was the Baath Party 's regional command chairman responsible for west Baghdad .	Al-Numan was a longtime member of the regional command of the Baath party .	Al-Numan had been a member of the Baath party's regional command for a long time.	0
99	Instead , prosecutors dismissed charges and Rucker left the courtroom a free man .	Instead he left the courtroom a free man after authorities dismissed criminal charges .	Instead, he walked out of the courtroom free after authorities dropped the criminal charges against him.	1
100	Shares of Schering-Plough were off 2 cents at $ 16.78 near midday on the New York Stock Exchange .	Shares of Schering-Plough closed down 4 cents at $ 16.76 in Thursday trade on the New York Stock Exchange .	Schering-Plough shares fell 4 cents to close at $ 16.76 on the New York Stock Exchange on Thursday.	1
101	Perkins will travel to Lawrence today and meet with Kansas Chancellor Robert Hemenway .	Perkins and Kansas Chancellor Robert Hemenway declined comment Sunday night .	Perkins and Kansas Chancellor Robert Hemenway both declined to comment on the matter late Sunday night.	0
102	But the plan was dropped because some of the terrorists were uncomfortable that schoolchildren would be their victims .	But the plan was abandoned as some in the group were uncomfortable the victims would be schoolchildren .	However, the plan was scrapped because some members of the group were concerned that the victims would be schoolchildren.	1
103	The formula for its baby food is prepared by the German-owned Humana Milchunion .	The formula is produced for Remedia by German company Humana Milchunion .	Humana Milchunion in Germany manufactures the formula for Remedia.	1
104	Yee is a Chinese-American who converted to Islam after graduating from the U.S. Military Academy at West Point .	Yee is a 1990 graduate of the U.S. Military Academy at West Point , New York .	Yee graduated from the United States Military Academy at West Point, New York, in 1990.	0
105	In the interview , Mr. Reed said board members could not defend themselves by saying they did not realize the size of Mr. Grasso 's package .	Reed said board members can 't defend themselves by saying they didn 't realize the size of Grasso 's package .	Reed stated that board members cannot defend themselves by claiming they were unaware of the size of Grasso's package.	1
106	"The German envoy , Gunter Pleuger , told reporters today , "" The important issues are how the political process is being organized . """	""" The important issues are how the political process is being organized , "" Pleuger told reporters ."	"""What matters is how the political process is organized,"" Pleuger told reporters."	1
107	"Los Angeles- The deep-sea adventure "" Finding Nemo "" hooked the top spot at the box office yesterday with an estimated $ 70.6-million opening weekend ."	The deep-sea adventure netted the top spot at the box office Sunday with an estimated $ 70.6 million US opening weekend .	The deep-sea adventure took the top spot at the box office on Sunday, grossing an estimated $ 70.6 million in its first weekend in the United States.	1
108	Dealers said the single currency 's downward momentum against the dollar could pick up speed if it broke below $ 1.15 .	Dealers said the euro 's downward momentum may pick up speed should it break below $ 1.15 .	Dealers believe the euro's downward trend will accelerate if it falls below $ 1.15.	1
109	""" Unlike many early-stage Internet firms , Google is believed to be profitable ."	The privately held Google is believed to be profitable .	Google, which is privately held, is thought to be profitable.	0
110	""" Just as before , it will be up to the council to decide the direction and the timing of the process . """	Just as before , it will be up to the Council to decide the direction and process .	The Council, as before, will be in charge of determining the direction and process.	1
111	Agents found more than 1,000 credit cards and credit card duplicating machines during a search of Ragin 's address .	When Ragin 's address was raided , authorities found more than 1,000 credit cards and duplicating machines .	When authorities raided Ragin's home, they discovered over 1,000 credit cards and duplicating machines.	1
112	Brian Lara , the West Indies captain , was unbeaten on 93 at the rain interval while Marlon Samuels was five not out .	Lara was unbeaten on 93 when the torrential rain stopped play with Marlon Samuels on five .	When play was halted due to torrential rain, Lara was unbeaten on 93, with Marlon Samuels on five.	1
113	The agent reported his contacts to Texas Department of Public Safety and told officers another legislator , Rep. Gabi Canales , D-Alice , they sought also was in Ardmore .	The agent reported his contacts to Texas law enforcement officials and told them another legislator being sought was in Ardmore .	The agent informed Texas law enforcement officials of his contacts and informed them that another legislator wanted was in Ardmore.	1
114	The four suspects are scheduled to appear in court Tuesday or Wednesday , said Philip Murgor , Kenya 's deputy public prosecutor .	All four are expected to appear in court Tuesday or Wednesday , he said .	He expects all four to appear in court on Tuesday or Wednesday.	1
115	The case comes out of Illinois and involves a for-profit company called Telemarketing Associates Inc .	The case decided Monday centered around an Illinois fund-raiser , Telemarketing Associates .	The case decided on Monday involved Telemarketing Associates, an Illinois fund-raiser.	1
116	The House barely had the necessary 100 members present for a quorum .	A hundred House members are needed for a quorum .	A quorum of 100 House members is required for a quorum.	0
117	Benchmark Treasury 10-year notes gained 17 / 32 , yielding 4.015 percent .	The benchmark 10-year note was recently down 17 / 32 , to yield 4.067 percent .	The benchmark 10-year note recently fell 17/32, yielding 4.067 percent.	0
118	The findings appear in Wednesday 's Journal of the American Medical Association ( news - web sites ) .	The results are to be published in Wednesday 's issue of The Journal of the American Medical Association .	The findings will be published in the Journal of the American Medical Association on Wednesday.	1
119	In recent years , Hampton kept in touch with friends and stayed in trouble : He faced charges of fare-beating and credit card theft .	In recent years , Mr. Hampton continued to run into trouble , facing charges of fare-beating and credit-card theft .	In recent years, Mr. Hampton has been involved in a number of legal squabbles, including charges of fare evasion and credit-card theft.	0
120	Five-year notes US5YT = RR rose 6 / 32 in price for a yield of 3.08 percent , down from 3.12 percent late on Tuesday .	Five-year notes US5YT = RR added 2 / 32 to give a yield of 3.10 percent from 3.12 percent .	Five-year notes US5YT = RR + 2/32 yield 3.10 percent, up from 3.12 percent.	1
121	I 'm never going to forget this day .	"I am never going to forget this throughout my life . """	"""I will never forget this for the rest of my life."""	1
122	To date , 152 communities and the legislatures of Alaska , Hawaii and Vermont have approved resolutions condemning the act .	About 150 local governments , including those of Carrboro , Alaska , Hawaii and Vermont , have approved similar resolutions .	Similar resolutions have been approved by approximately 150 local governments, including Carrboro, Alaska, Hawaii, and Vermont.	1
123	In two weeks , he 'll probably send out Peace Rules in the Preakness .	Frankel said Peace Rules will run in the Preakness Stakes on May 17 .	Peace Rules will compete in the Preakness Stakes on May 17th, according to Frankel.	1
124	A bill that would have fully legalized marijuana for medical purposes in Connecticut was narrowly defeated in the House of Representatives on Wednesday .	A move to legalize marijuana for medical use was defeated yesterday in the state House of Representatives , 79-64 .	A bill to legalize medical marijuana was defeated in the state House of Representatives yesterday, 79-64.	1
125	The two companies said PowderJect 's strong U.S. position would complement Chiron 's European presence .	PowderJect 's strong U.S. position will complement Chiron 's European presence , analysts said .	Analysts believe PowderJect's strong position in the United States will complement Chiron's European presence.	1
126	He arrives later this week on the first state visit by a US President .	Mr Bush arrives on Tuesday on the first state visit by an American President .	Mr. Bush arrives on Tuesday for his first state visit as President of the United States.	1
127	But the cancer society said its study had been misused .	The American Cancer Society and several scientists said the study was flawed in several ways .	The American Cancer Society and several scientists criticized the study for several flaws.	0
128	The Nasdaq composite index added 30.46 points , or 2 percent , to 1,520.15 .	The Nasdaq had a weekly gain of 17.27 , or 1.2 percent , closing at 1,520.15 after gaining 30.46 yesterday .	The Nasdaq gained 17.27 points, or 1.2 percent, for the week, closing at 1,520.15 after gaining 30.46 points the day before.	0
129	The agency said it would not release the name of the person involved because he is a minor .	The agency said it had no plans to release the name of the teenager involved because he was a minor .	Because the teen involved was a minor, the agency stated that it had no plans to release his name.	1
130	The CGT warned of prolonged industrial action unless Raffarin agreed .	The large CGT union warned France of lengthy industrial action .	The powerful CGT union forewarned France of prolonged strike action.	0
131	Doud was shot in the shoulder and underwent surgery at Strong Memorial Hospital , where he was listed in satisfactory condition .	A spokeswoman at Strong Memorial Hospital said Doud was in satisfactory condition Tuesday night .	Doud was in good condition Tuesday night, according to a Strong Memorial Hospital spokeswoman.	0
132	Hidalgo County Judge Ramon Garcia remembers how he and his friends used to have to sneak around the school yard to speak Spanish .	Hidalgo County Judge Ramon Garcia says when he was growing up , he wasn 't allowed to speak Spanish at school .	Hidalgo County Judge Ramon Garcia claims that he was not allowed to speak Spanish in school when he was younger.	1
133	National Breast Cancer Centre chief executive Professor Christine Ewan said it was too early to quantify the risk to women .	National Breast Cancer Centre head Professor Christine Ewan said there was no need for panic .	Professor Christine Ewan, director of the National Breast Cancer Centre, stated that there was no need for concern.	1
