index	index	label	sentence1	sentence2
14	14	0	The head of the local disaster unit , Gyorgy Heizler , said the coach driver had failed to heed red stop lights .	Gyorgy Heizler , head of the local disaster unit , said the coach was carrying 38 passengers .
15	15	0	Senior Vice President Eric Rudder , formerly head of the Developer and Platform Evangelism unit , will lead the new entity .	Rudder was most recently senior vice president for the Developer & Platform Evangelism Business .
16	16	0	Internal chaos has allowed foreign companies to set up damaging commercial logging and fishing operations without proper monitoring or export controls .	As well as the dolphin scheme , the chaos has allowed foreign companies to engage in damaging logging and fishing operations without proper monitoring or export controls .
17	17	1	"Sheena Young , a spokesman for Child , the national infertility support network , said the proposed guidelines should lead to a more "" fair and equitable "" service for infertility sufferers ."	"Sheena Young of Child , the national infertility support network , hoped the guidelines would lead to a more "" fair and equitable "" service for infertility sufferers ."
18	18	0	""" I think you 'll see a lot of job growth in the next two years , "" said Mankiw ."	""" I think you 'll see a lot of job growth in the next two years , "" he said , adding the growth could replace jobs lost ."
19	19	1	Panther 's redesigned Finder navigation tool puts a user 's favourite folders , hard drive , network servers , iDisk and removable media in one location .	The new Finder puts a user 's folders , hard drive , network servers , iDisk and removable media in one location , providing one-click access .
20	20	1	Tropical storm warnings were in place Thursday for Jamaica and Haiti and watches for the western Dominican Republic , the southeastern Bahamas and the Turks and Caicos islands .	But tropical storm warnings and watches were posted today for Haiti , western portions of the Dominican Republic , the southeastern Bahamas and the Turk and Caicos islands .
21	21	1	Zuccarini was ordered held without bail Wednesday by a federal judge in Fort Lauderdale , Fla .	A federal magistrate in Fort Lauderdale ordered him held without bail .
22	22	0	A BMI between 18.5 and 24.9 is considered normal , over 25 is considered overweight and 30 or greater is defined as obese .	A BMI of 25 or above is considered overweight ; 30 or above is considered obese .
23	23	1	But six months ago , the two sides managed to strike a $ 6.8-billion debt rollover deal , which expires in August .	Six months ago , the IMF and Argentina struck a bare-minimum $ 6.8-billion debt rollover deal that expires in August .
24	24	1	Simply put , shy invividuals tend to be more timid with new people and situations .	Inhibited children tend to be timid with new people , objects , and situations , while uninhibited children spontaneously approach them .
25	25	1	""" I wanted to bring the most beautiful people into the most beautiful building , "" Tunick said Sunday ."	I wanted to bring the most beautiful people into the most beautiful building , he said Sunday inside the Grand Central concourse .
26	26	0	The S & P 500 index was up 1.26 , or 0.1 percent , to 1,039.32 after sinking 10.75 yesterday .	The broad Standard & Poor 's 500 < .SPX > fell 10.75 points , or 1.02 percent , to 1,039.32 .
27	27	0	Currently living onboard the space station are American astronaut Ed Lu and Russian cosmonaut Yuri Malenchenko .	Duque will return to Earth Oct. 27 with the station 's current crew , U.S. astronaut Ed Lu and Russian cosmonaut Yuri Malenchenko .
28	28	1	Although a small city-state , Singapore is the 12th-largest trading partner of the United States , with trade volume of $ 33.4 billion last year .	Singapore is already the United States ' 12th-largest trading partner , with two-way trade totaling more than $ 34 billion .
29	29	1	Sub-indexes measuring prices , new orders , inventories and exports increased .	The largest gains were seen in prices , new orders , inventories and exports .
30	30	1	The New York Stock Exchange suspended trading yesterday in Loral , which closed at $ 3.01 Friday .	Trading in Loral was halted yesterday ; the shares closed on Monday at $ 3.01 .
31	31	0	That beat the company 's April earnings forecast of 8 to 9 cents a share .	Earnings per share from recurring operations will be 13 cents to 14 cents .
32	32	1	After that , he plans to have dinner at Camp Bondsteel with U.S. troops stationed there .	He plans to have dinner with troops at Kosovo 's U.S. military headquarters , Camp Bondsteel .
33	33	1	Retailers J.C. Penney Co . Inc . JCP.N and Walgreen Co . WAG.N kick things off on Monday .	Retailers J.C. Penney Co . Inc . ( JCP ) and Walgreen Co . ( WAG ) kick things off on Monday .
34	34	1	He added that prosecutors will seek the death penalty .	Prosecutors filed a motion informing Lee they intend to seek the death penalty .
35	35	1	Last year , the court ruled 5-4 in an Ohio case that government vouchers are constitutional if they provide parents with choices among a range of religious and secular schools .	Last year the court upheld Cleveland 's school voucher program , ruling 5-4 that vouchers are constitutional if they provide parents a choice of religious and secular schools .
36	36	0	Armstrong , 31 , battled testicular cancer that spread to his brain .	He beat testicular cancer that had spread to his lungs and brain .
37	37	1	Sorkin was to have been tried separately on charges of conspiracy and lying to a grand jury .	Sorkin , who faces charges of conspiracy to obstruct justice and lying to a grand jury , was to have been tried separately .
38	38	0	Pete Slover reported from Laredo and Gromer Jeffers from Albuquerque .	Graves reported from Albuquerque , Villafranca from Austin and Ratcliffe from Laredo .
39	39	1	The Americas market will decline 2.1 percent to $ 30.6 billion in 2003 , and then grow 15.7 percent to $ 35.4 billion in 2004 .	The US chip market is expected to decline 2.1 percent this year , then grow 15.7 percent in 2004 .
40	40	1	The group will be headed by John S. Wolf , an assistant secretary of state who has served in Australia , Vietnam , Greece and Pakistan .	The group will be headed by State Department official John S. Wolf , who has served in Australia , Vietnam , Greece and Pakistan .
41	41	0	An average residential customer paying $ 840 a year for electricity could see a savings of $ 30 annually .	The commission must work out the plan 's details , but the average residential customer paying $ 840 a year would get a savings of about $ 30 annually .
42	42	1	The company had announced in January that it would have to restate earnings for 2002 , 2001 and perhaps 2000 .	The company has said it plans to restate its earnings for 2000 through 2002 .
43	43	1	Results from No. 2 U.S. soft drink maker PepsiCo Inc . ( nyse : PEP - news - people ) were likely to be in the spotlight .	Results from No. 2 U.S. soft drink maker PepsiCo Inc . PEP.N were likely to be in the spotlight .
44	44	1	""" The result is an overall package that will provide a significant economic growth for our employees over the next few years , "" he said ."	""" The result is an overall package that will provide significant economic growth for our employees over the next four years . """
45	45	1	The company will offer songs for 99 cents and albums for $ 9.95 .	The songs are on offer for 99 cents each , or $ 9.99 for an album .
46	46	1	The talk , however , has been downplayed by PBL which said it would focus only on smaller purchases that were immediately earnings and cash flow-accretive .	However , the talk was downplayed by PBL which said it would focus only on smaller purchases that were immediately earnings and cash flow accretive .
47	47	1	The stock rose 48 cents to $ 30 yesterday in Nasdaq Stock Market trading .	Comcast Class A shares were up 8 cents at $ 30.50 in morning trading on the Nasdaq Stock Market .
48	48	1	The plant plans to shut down its first shift and parts of the second shift Monday to accommodate the president 's appearance , Crosby said .	The Washington Post said Airlite would shut down its first shift and parts of the second shift Monday to accommodate the president ’ s appearance .
49	49	0	His body was found July 25 , and former teammate Carlton Dotson has been charged in his shooting death .	A former teammate , Carlton Dotson , has been charged with the murder .
50	50	1	Several of the audience questions were new to the candidates as well .	Several of the questions asked by the audience in the fast-paced forum were new to the candidates .
51	51	1	The global death toll from SARS was at least 767 , with more than 8,300 people sickened since the virus first appeared in southern China in November .	Meanwhile , the global death toll approached 770 with more than 8,300 people sickened since the severe acute respiratory syndrome virus first appeared in southern China in November .
52	52	0	Twenty-seven Iraqis were killed , pushing the number of opposition deaths to about 100 in a U.S. operation to hunt down supporters of Saddam Hussein 's fallen regime .	The battles marked day four of a U.S. sweep to hunt down supporters of Saddam Hussein 's fallen regime .
53	53	0	The women had follow-up examinations in 1974-75 , 1980-81 and 1992-93 , but were not asked about stress again .	The women then had follow-up examinations after five , 12 and 24 years .
54	54	0	The Bombardier and Embraer aircraft will be delivered to U.S. Airways by September 2006 .	The Embraer jets are scheduled to be delivered by September 2006 .
55	55	1	"Ellison said that contrary to the contentions of PeopleSoft management , Oracle intends to "" fully support PeopleSoft customers and products "" for many years to come ."	"Contrary to what PeopleSoft management would have you believe , Oracle intends to fully support PeopleSoft customers and products for many years to come . """
56	56	0	The new application intelligence features will be available June 3 and are included with the SmartDefense product , which comes with FireWall-1 .	Application Intelligence will be included as part of the company 's SmartDefense application , which is included with Firewall-1 .
57	57	0	"Note the subheading of this terrible parable in the "" American Masters "" series , "" Arthur Miller , Elia Kazan and the Blacklist : None Without Sin . """	American Masters : Arthur Miller , Elia Kazan and the Blacklist : None Without Sin ( Wed .
58	58	1	The downtime is expected to take 60 million to 70 million board feet out of the companys system .	The downtime , to take place in May and June , is expected to cut production by 60 million to 70 million board feet .
59	59	1	Troy faces life in prison without parole at his July 30 sentencing .	On July 3 , Troy is expected to be sentenced to life in prison without parole .
60	60	1	The University of Michigan released today a new admissions policy after the U.S. Supreme Court struck down in June the way it previously admitted undergraduates .	The University of Michigan released a new undergraduate admission process Thursday , dropping a point system the U.S. Supreme Court found unconstitutional in June .
61	61	1	The new processor was unveiled at the Intel Developer Forum 2003 in San Jose , Calif .	The processors were announced in San Jose at the Intel Developer Forum .
62	62	0	The Justice Department filed a civil rights lawsuit Thursday against the state of Mississippi , alleging abuse of juvenile offenders at two state-run facilities .	"The Justice Department filed suit Thursday against the state of Mississippi for failing to end what federal officials call "" disturbing "" abuse of juveniles and "" unconscionable "" conditions at two state-run facilities ."
63	63	1	The document says the damage to the wing provided a pathway for hot gases to penetrate Columbia 's thermal armour during its fatal re-entry .	It said the damage to the wing provided a pathway for hot gasses to penetrate the ship 's thermal armor during Columbia 's ill-fated reentry .
64	64	1	"Also demonstrating box-office strength -- and getting seven Tony nominations -- was a potent revival of Eugene ONeills family drama , Long Days Journey Into Night . """	"Also demonstrating box-office strength _ and getting seven Tony nominations _ was a potent revival of Eugene O 'Neill 's family drama , "" Long Day 's Journey Into Night . """
65	65	1	Secretary of State Colin Powell last week ruled out a non-aggression treaty .	But Secretary of State Colin Powell brushed off this possibility Wednesday .
66	66	1	Like many doctors , Mr. Thomas and Mr. Tauzin say the Bush administration has the power to correct some of those flaws .	Thomas and Tauzin say , as do many doctors , that the Bush administration has the power to correct some of those flaws .
67	67	1	U.S. military officials have said it could take up to two years before regular elections are held , based on experiences elsewhere in the world .	Based on experience elsewhere , it could take up to two years before regular elections are held , he added .
68	68	1	The first biotechnology treatment for asthma , the constriction of the airways that affects millions of Americans , received approval from the U.S. Food and Drug Administration on Friday .	The first biotechnology treatment for asthma , the constriction of the airways that affects millions around the world , received approval from the US Food and Drug Administration yesterday .
69	69	1	A former partner of accountancy firm Ernst & Young was yesterday arrested by FBI agents in the US on charges of obstructing federal investigations .	FBI agents arrested a former partner of Big Four accounting firm Ernst & Young ERNY.UL on criminal charges of obstructing federal investigations , U.S. officials said on Thursday .
70	70	0	Russian Deputy Foreign Minister Alexander Losyukov said in Moscow Tuesday a firm date would be fixed by this months end .	Kelly will begin meetings with Russian Deputy Foreign Minister Alexander Losyukov in Washington on Monday .
71	71	1	Another shooting linked to the spree occurred Nov. 11 at Hamilton Central Elementary in Obetz , about two miles from the freeway .	The latest shooting linked to the spree was a November 11 shooting at Hamilton Central Elementary School in Obetz , about 3km from the freeway .
72	72	0	In early trading , the Dow Jones industrial average was up 3.90 , or 0.04 percent , at 9,113.75 , having gained 36.90 on Tuesday .	The Dow Jones Industrial Average ended down 128 points , or 1.4 % , at 9073 , while the Nasdaq fell 34 points , or 2.1 % , to 1610 .
73	73	1	PDC will also almost certainly reignite speculation about release dates of Microsoft 's new products .	PDC will also almost certainly fan the flames of speculation about Longhorn 's release .
74	74	1	It also disclosed that sales -- a figure closely watched by analysts as a barometer of its health -- were significantly higher than industry experts expected .	Sales - a figure watched closely as a barometer of its health - rose 5 percent instead of falling as many industry experts had predicted .
75	75	1	NEC 's pitching its wireless gear and management software to a variety of industries , including healthcare and hospitality , a company spokesman said .	NEC is pitching its wireless gear and management software to a variety of industries , including health care and hospitality .
76	76	1	ELENA Slough , considered to be the oldest person in the US and the third oldest person in the world , has died .	Elena Slough , considered to be the nation 's oldest person and the third oldest person in the world , died early Sunday morning .
77	77	1	""" We have declared war on sexual assault and sexual harassment , "" Rosa said ."	""" We are declaring war on sexual harassment and sexual assault ."
78	78	0	The technology-laced Nasdaq Composite Index .IXIC dipped 0.08 of a point to 1,646 .	The technology-laced Nasdaq Composite Index < .IXIC > added 1.92 points , or 0.12 percent , at 1,647.94 .
79	79	0	Against the Swiss franc the dollar was at 1.3289 francs , up 0.5 percent on the day .	The dollar was at 117.85 yen against the Japanese currency , up 0.1 percent .
80	80	1	El Watan , an Algerian newspaper , reported that the kidnappers put up fierce resistance during the army assault , firing Kalashnikov rifles .	El Watan , an Algerian newspaper , reported that the kidnappers fiercely resisted the army assault this morning , firing Kalashnikov rifles .
81	81	0	Sumitomo Mitsui Financial ( JP : 8316 : news , chart , profile ) was down 2.5 percent at 198,000 yen .	But Mitsubishi Tokyo Financial ( JP : 8306 : news , chart , profile ) declined 3,000 yen , or 0.65 percent , to 456,000 yen .
82	82	0	""" Leaving aside attorney fees , we 're dealing with bragging rights of who wins and who loses , "" said Gammerman ."	""" We 're just dealing with bragging rights here , who wins and who loses . """
83	83	1	Shares of Hartford were up $ 2.28 , or 5.2 percent , to $ 45.90 in midday trading .	Shares of Hartford rose $ 2.88 to $ 46.50 in New York Stock Exchange composite trading .
84	84	0	This was almost certainly its last full quarter before the company becomes a part of Palm .	This Palm OS smart phone is the last product the company will release before it becomes a part of palmOne .
85	85	0	They researchers say the research could be relevant to other forms of cancer .	And they think the protein probably is involved in the spread of other forms of cancer .
86	86	1	Tokyo Electric Power Co . , Asia 's largest power company , restarted the first of 17 nuclear reactors it shut down after admitting it falsified inspection reports .	Tokyo Electric Power Co . , Asia 's largest power company , won approval to restart the first of 17 nuclear reactors it shut down after it admitted falsifying inspection reports .
87	87	1	For the current academic year , tuition at public colleges averaged $ 4,694 , up almost $ 600 from the year before .	Tuition at four-year private colleges averaged $ 19,710 this year , up 6 percent from 2002 .
88	88	0	Security lights have also been installed on a barn near the front gate .	Security lights have also been installed and police have swept the grounds for booby traps .
89	89	1	"Mr Jouejati said that with the US-backed road map "" in a coma "" the attack could easily widen through the region ."	He said that with the U.S.-backed peace plan , or road map , “ in a coma , ” the attack could easily widen conflict through the region .
90	90	1	But this could happen with any document format that supports VBA , including Word , Excel or PowerPoint .	A successful attack could be launched within any type of document that supports VBA , including Microsoft Word , Excel or PowerPoint .
91	91	1	""" This is an extremely heartrending time for the entire Brandeis University community ."	"Officials at Brandeis said this was an "" extremely heartrending "" time for the campus ."
92	92	0	"And if that ain 't a Democrat , then I must be in the wrong meeting , "" he said to thunderous applause from his supporters ."	""" If that ain 't a Democrat , I must be at the wrong meeting , "" he said ."
93	93	1	Fewer than a dozen FBI agents will be sent to Iraq to secure and analyze evidence of the bombing .	Fewer than a dozen FBI agents were dispatched to secure and analyze evidence .
94	94	1	For those who got surgery alone , median survival was 41 months .	Those who only had surgery lived an average of 46 months .
95	95	1	Tonight a spokesman for the Russian Foreign Ministry said it might issue a statement on Thursday clarifying Russia 's position on aiding Iran 's nuclear-energy efforts .	Tonight a spokesman for Russia 's foreign ministry said the ministry may issue a statement on Thursday clarifying Russia 's position on cooperation with Iran 's nuclear-energy efforts .
96	96	1	A day earlier , a committee appointed by President Mohammad Khatami had called for an independent inquiry into the 54-year-old photojournalist 's death .	A day earlier , a committee appointed by reformist President Mohammad Khatami called for an independent judicial inquiry into Kazemi 's death .
97	97	1	The suite includes a word processor , spreadsheet , presentation application ( analogous to PowerPoint ) , and other components -- all built around the XML file format .	The suite comes complete with a word processor , spreadsheet , presentation software and other components , while continuing its tradition of utilizing an XML-based file format .
98	98	1	The Skagit was expected to crest during the night at 38 feet at Mount Vernon , 10 feet above flood stage , the National Weather Service said .	Downstream at Mount Vernon , the Skagit River was expected to crest at 36 feet -- 8 feet above flood stage -- tonight , Burke said .
99	99	0	The Dow Jones industrial average .DJI rose 18.25 points , or 0.19 percent , to 9,586.71 .	The blue-chip Dow Jones industrial average eased 44 points , or 0.47 percent , to 9,543 , after scoring five consecutive up sessions .
100	100	0	The technology-laced Nasdaq Composite Index .IXIC was off 24.44 points , or 1.39 percent , at 1,739.87 .	The Nasdaq composite index inched up 1.28 , or 0.1 percent , to 1,766.60 , following a weekly win of 3.7 percent .
101	101	1	Physicians who perform the procedure would face up to two years in prison , under the bill .	Physicians who violate the ban would be subject to fines and up to two years in prison .
102	102	0	The Standard & Poor 's 500 Index was up 1.75 points , or 0.18 percent , to 977.68 .	Standard & Poor 's 500 stock index futures declined 4.40 points to 983.50 , while Nasdaq futures fell 6.5 points to 1,206.50 .
103	103	1	Anhalt said children typically treat a 20-ounce soda bottle as one serving , while it actually contains 2.5 .	For example , Anhalt said , children typically treat a 20-ounce soda bottle as one serving , although it actually contains 2 ½ 8-ounce servings .
104	104	0	The yield fell 2 basis points to 1.41 percent , after reaching 1.4 percent on May 8 , the lowest since March 12 .	The yield on the 3 percent note maturing in 2008 fell 22 basis points to 2.61 percent .
105	105	1	Kline 's opinion dealt specifically with abortion providers , but later his office said it also would apply to doctors providing services such as prenatal care to pregnant girls under 16 .	Kline 's opinion dealt specifically with abortion providers , but it also would apply to doctors providing other services , such as prenatal care , to a pregnant child under 16 .
106	106	1	The International Atomic Energy Agency asked for information on the uranium assertions after London 's dossier was published , but Britain did not provide any , U.N. officials said .	The United Nations ' International Atomic Energy Agency asked for information on the allegation after the dossier was published , but Britain did not provide any , U.N. officials said .
107	107	1	Sixteen days later , as superheated air from the shuttle ’ s re-entry rushed into the damaged wing , ‘ ‘ there was no possibility for crew survival , ’ ’ the board said .	"Sixteen days later , as superheated air from the shuttle 's reentry rushed into the damaged wing , "" there was no possibility for crew survival , "" the board said ."
108	108	1	""" It is clear that the free world , those who love freedom and peace , must deal harshly with Hamas and the killers , "" he said ."	""" The free world and those who love freedom and peace must deal harshly with Hamas and the killers , "" he told reporters as he emerged from a church service ."
109	109	0	The pressure may well rise today , with national coverage of the final round planned by ESPN , the cable sports network .	The pressure will intensify today , with national coverage of the final round planned by ESPN and words that are even more difficult .
110	110	1	If so , Powell said , he 's calling the president ludicrous , too .	"Powell fired back : "" He 's accusing the president of a ludicrous act , "" he said ."
111	111	1	The memo specifically mentioned Linux , a still small but emerging software competitor that is not owned by any specific company .	The memo on protecting sales of Windows and other desktop software mentioned Linux , a still small but emerging software competitor that is not owned by any specific company .
112	112	1	Meanwhile in southern Iraq , the United States released more Iraqi prisoners of war , and officials announced that all would be let go soon .	Also Tuesday , the United States also released more Iraqi prisoners of war , and officials announced that all would soon be let go .
113	113	0	"A prime-time special on the list , "" AFI 's 100 Years . . . 100 Heroes & Villains "" aired Tuesday on CBS ."	The resulting lists led toa CBS special , AFI 's 100 Years . . . 100 Heroes & Villains , hosted by Arnold Schwarzenegger .
114	114	0	Police advised residents Friday not to travel alone to convenience stores and to be watchful .	Police warned residents on Friday not to travel alone and to avoid convenience stores and service stations stores at night .
115	115	1	""" Microsoft had absolutely nothing to do with AtStake 's internal personnel decision , "" Sundwall said ."	""" We had nothing to do with @ Stake 's internal personnel decision , "" Microsoft spokesman Sean Sundwell said ."
116	116	1	Prosecutors said there is no question Waagner was behind the letters , which were sent at the same time that real anthrax attacks were killing people in 2001 .	Prosecutors said there is no question Waagner was behind the letters , which were sent at the same time of the anthrax attacks .
117	117	1	His plan would cost over $ 200 billion annually and be paid for by repealing Bush 's tax cuts .	His plan would cost more than $ 200 billion annually , which Gephardt would pay for by repealing Bush 's tax cuts .
118	118	1	There were fears that Heather would never have children after suffering two ectopic pregnancies and cancer of the uterus .	There had been fears that the 35 year-old wouldn 't be able to conceive after suffering two ectopic pregnancies and cancer of the uterus .
119	119	0	The drug was approved for use Friday by the Food and Drug Administration .	On Friday , the Food and Drug Administration approved the use of silicone breast implants with conditions .
120	120	1	Paracha faces at least 17 years in prison if convicted .	Prosecutors said Paracha , if convicted , could face at least 17 years in prison .
121	121	1	Apple noted that half the songs were purchased as part of albums .	More than half of the songs were purchased as albums , Apple said .
122	122	0	The ECB has cut rates from 4.75 percent in October 2000 to 2.5 percent in that period .	The ECB has cut interest rates six times over that period , from 4.75 percent in October 2000 to 2.5 percent .
123	123	1	Brian Halla , CEO of NatSemi , claimed the deal made sense for both companies .	""" This deal makes sense for both companies , "" Halla said in a prepared statement ."
124	124	1	People in a van opened fire on a pickup and SUV believed to be transporting illegal immigrants , said Pinal County Sheriff Roger Vanderpool .	Smugglers in a van chased down a pickup and SUV carrying other smugglers and illegal immigrants , said Pinal County Sheriff Roger Vanderpool .
125	125	1	Tyco has said the loan was not forgiven , but that Swartz fully repaid it with interest , according to his lawyer , Charles Stillman .	Tyco later said the loan had not been forgiven , and Swartz repaid it in full , with interest , according to his lawyer , Charles Stillman .
126	126	1	After the other inmate fell , Selenski used the mattress to scale a 10-foot , razor-wire fence , Fischi said .	While Bolton apparently fell and was immobilized , Selenski used the mattress to scale a 10-foot , razor-wire fence , Fischi said .
127	127	0	The loonie , meanwhile , was on the rise again early Thursday .	The loonie , meanwhile , continued to slip in early trading Friday .
128	128	1	Fatima , meanwhile , was on her turquoise cell phone organizing the prom .	Ms. Haque , meanwhile , was on her turquoise cellphone with the smiley faces organizing the prom .
129	129	1	"But he added that De Niro is "" a private person and doesn 't care to have his treatment out for public consumption . """	"But he added that the New York-based actor and producer is "" a private person and doesn 't care to have his treatment out for public consumption . """
130	130	1	While a month 's supply of aspirin can cost under $ 10 , the equivalent amount of ticlopidine can run well over $ 100 .	While a month 's supply of aspirin can cost less than $ 10 , the equivalent amount of ticlopidine can run significantly more than $ 100 .
131	131	1	She said it would take an estimated three months to conduct and require the cancellation of a sub-audit of the Department of Environmental Quality .	She estimated it would take three months and would require cancellation of a sub-audit of the Department of Environmental Quality .
132	132	0	Arison said Mann was a pioneer of the world music movement -- well before the term was coined -- and he had a deep love of Brazilian music .	Arison said Mann may have been one of the pioneers of the world music movement and he had a deep love of Brazilian music .
133	133	1	Complications from flu kill roughly 36,000 Americans in an average year , according to the U.S. Centers for Disease Control and Prevention .	The virus kills roughly 36,000 people in an average year , according to the U.S. Centers for Disease Control and Prevention .
134	134	1	Two new schemes target families of those serving in the military and e-mail users .	In two new schemes , people posing as IRS representatives target families of armed forces members and e-mail users .
135	135	0	A widely praised film of the same name was directed by Wim Wenders .	Wim Wenders directed a widely praised film of the same name , based on the sessions .
136	136	1	"Commenting on the firing today , Ms. Novikova said that there was no standard weight for ballerinas but that Ms. Volochkova "" is bigger than others . """	Miss Novikova said while there is no standard weight for ballerinas , Miss Volochkova is ' bigger than others ' .
137	137	1	Both have aired videotapes apparently from deposed Iraqi President Saddam Hussein , encouraging Iraqis to fight the U.S. occupation .	Both have aired videotapes of ex-president Saddam Hussein encouraging Iraqis to fight the U.S. occupation of Iraq .
138	138	1	Under the program , US officials work with foreign port authorities to seek out high-risk cargo before it can reach the United States .	Under the program , U.S. officials work with foreign port authorities to identify , target and search high-risk cargo .
139	139	1	"Crews are told : "" If we don 't do this , innocent people on the ground are going to die "" , he said ."	"And if we don 't do this , innocent people on the ground are going to die , too . """
140	140	1	""" It is probably not the easiest time to come in and take over the shuttle program , but then again , I look forward to the challenge , "" he said ."	""" It 's probably not the easiest time to take over the shuttle program , "" he added , "" but I look forward to the challenge ."
141	141	1	The verdict means Nelson faces up to 10 years in prison rather than a possible life sentence .	As a result , Nelson now faces up to 10 years ' jail instead of life .
142	142	1	With all precincts reporting , Fletcher had 88,747 votes , or 57 percent of the total .	With all precincts reporting , Fletcher — a three-term congressman from Lexington — had an overwhelming 57 percent of the vote .
143	143	0	""" His progress is steady , he is stable , "" said Dr Jack ."	""" His progress is steady , he 's stable , he 's comfortable , "" Jack said Tuesday afternoon ."
144	144	1	Shadrin said Khodorkovsky 's aircraft was approached by officers identifying themselves as members of the FSB domestic intelligence service .	Shadrin said Khodorkovsky 's aircraft was approached by officers identifying themselves as members of the FSB intelligence service , the domestic successor to the Soviet KGB .
145	145	1	""" What she told our investigators was that all the babies were born full-term and then died within hours , "" Hughes said ."	She claimed all the babies were born full-term and died within hours , he said .
146	146	1	The French Foreign Minister , Dominique de Villepin , is also expected to attend .	French Foreign Minister Dominique de Villepin was scheduled to arrive Sharm el-Sheikh on Wednesday .
147	147	1	The researchers believe the same is true in humans , translating to a 30 per cent greater risk of the disease .	They believe the same is true in humans , giving a 30 per cent higher risk of the disease .
148	148	0	Wal-Mart said sales at stores open at least a year rose 4.6 percent from a year earlier .	Total sales for the period declined 8.0 percent to $ 1.99 billion from a year earlier .
149	149	1	U.S. law enforcement officials are sneering at Dar Heatherington 's version of of the events -- including a police conspiracy to discredit her -- which thrust her into the public spotlight .	U.S. law enforcement officials are sneering at Dar Heatherington 's version of the events which thrust her into the public spotlight .
150	150	1	The newspaper Okaz reported that the six suspects arrested Sunday fled the raid in a car that broke down on the outskirts of Mecca .	The Saudi newspaper Okaz reported Monday that suspects who escaped Saturday 's raid fled in a car that broke down on the outskirts of Mecca Sunday afternoon .
151	151	1	Michael Mitchell , the chief public defender in Baton Rouge who is representing Lee , was not available for comment .	Michael Mitchell , the chief public defender in Baton Rouge who is representing Lee , did not answer his phone Wednesday afternoon .
152	152	1	In Canada , the surging dollar was in focus again as it struggled and just failed to stay above the 75 cent ( U.S. ) mark .	In Canada , the booming dollar will be in focus again as it tries to stay above the 75 cent ( U.S. ) mark .
153	153	1	Consumers , tired of paying high prices for CDs and DVDs , are looking for flexible forms of on-demand media delivery .	"They are tired of paying the high cost of CDs and DVDs and prefer more flexible forms of on-demand media delivery . """
154	154	1	""" The bolt catcher is not as robust "" as it should be , said retired Navy Admiral Harold W. Gehman Jr . , the board chairman ."	""" The bolt catcher is not as robust as it is supposed to be , "" the board 's chairman , retired Adm. Hal Gehman , said ."
155	155	1	"Moroccan Interior Minister Al Mustapha Sahel told state-run 2M television late Saturday the investigation "" points to a group that has been arrested recently "" an apparent reference to Salafist Jihad ."	"The Interior Minister , Al Mustapha Sahel , said the investigation "" points to a group that has been arrested recently "" , an apparent reference to Djihad Salafist ."
