index	question	passage	label	question_neg	neg_label	tag
13	is a german shepard the same as an alsatian	German Shepherd -- The German Shepherd (German: Deutscher Schäferhund, German pronunciation: (ˈʃɛːfɐˌhʊnt)) is a breed of medium to large-sized working dog that originated in Germany. The breed's officially recognized name is German Shepherd Dog in the English language (sometimes abbreviated as GSD). The breed is known as the Alsatian in Britain and Ireland. The German Shepherd is a relatively new breed of dog, with their origin dating to 1899. As part of the Herding Group, German Shepherds are working dogs developed originally for herding sheep. Since that time however, because of their strength, intelligence, trainability, and obedience, German Shepherds around the world are often the preferred breed for many types of work, including disability assistance, search-and-rescue, police and military roles, and even acting. The German Shepherd is the second-most registered breed by the American Kennel Club and seventh-most registered breed by The Kennel Club in the United Kingdom.	1	is a german shepard different with an alsatian	0	antonym
14	is it possible to create mass from energy	Matter creation -- In high-energy particle colliders, matter creation events have yielded a wide variety of exotic heavy particles precipitating out of colliding photon jets (see two-photon physics). Currently, two-photon physics studies creation of various fermion pairs both theoretically and experimentally (using particle accelerators, air showers, radioactive isotopes, etc.).	1	is it impossible to create mass from energy	0	antonym
15	is a tablespoon bigger than a dessert spoon	Dessert spoon -- As a unit of culinary measure, a level dessertspoon (dstspn.) equals two teaspoons, or 10 milliliters, whereas a U.S. tablespoon is three teaspoons (15ml or half a fluid ounce) in the U.S., and two dessertspoons, i.e. four teaspoons (20ml or two thirds of a fluid ounce) in Britain and Australia, which is the old British standard. For dry ingredients, a rounded or heaped teaspoonful is often specified instead.	1	is a tablespoon smaller than a dessert spoon	0	antonym
16	is salt lake city the biggest city in utah	Salt Lake City -- Salt Lake City (often shortened to Salt Lake and abbreviated as SLC) is the capital and the most populous municipality of the U.S. state of Utah. With an estimated population of 190,884 in 2014, the city is the core of the Salt Lake City metropolitan area, which has a population of 1,153,340 (2014 estimate). Salt Lake City is further situated within a larger metropolis known as the Salt Lake City--Ogden--Provo Combined Statistical Area. This region is a corridor of contiguous urban and suburban development stretched along an approximately 120-mile (190 km) segment of the Wasatch Front, comprising a population of 2,423,912 as of 2014. It is one of only two major urban areas in the Great Basin (the other is Reno, Nevada).	1	is salt lake city the smallest city in utah	0	antonym
17	is david from love it or list it a real realtor	David Visentin -- David Visentin (born 1965) is a Canadian actor and realtor. He is best known as one of the hosts of Love It or List It, with co-host Hilary Farr. The show is broadcast on HGTV and W Networks. He is a native citizen of Canada.	1	is david from love it or list it a fake realtor	0	antonym
18	is a title and registration the same thing	Vehicle title -- In the United Kingdom, there is not an equivalent of a vehicle title. Instead, there is a document known as the 'vehicle registration document', and is issued by the Driver and Vehicle Licensing Agency (DVLA). The current version has the reference number V5C. Prior to computerisation, the title document was the 'log book', and this term is sometimes still used to describe the V5C. The V5 document records who the Registered Keeper of the vehicle is; it does not establish legal ownership of the vehicle. These documents used to be blue on the front. However, they were changed to red in 2010/11 after approximately 2.2 million blank blue V5 documents were stolen, allowing thieves to clone stolen vehicles much more easily.	1	is a title and registration different thing	0	antonym
19	is the dot product of two vectors a scalar	Dot product -- In mathematics, the dot product or scalar product is an algebraic operation that takes two equal-length sequences of numbers (usually coordinate vectors) and returns a single number. In Euclidean geometry, the dot product of the Cartesian coordinates of two vectors is widely used and often called inner product (or rarely projection product); see also inner product space.	1	is the dot product of two vectors a vector	0	antonym
20	does smeagol die in lord of the rings	Gollum -- The Ring, which Gollum referred to as ``my precious'' or ``precious'', extended his life far beyond natural limits. Centuries of the Ring's influence twisted Gollum's body and mind, and, by the time of the novels, he ``loved and hated (the Ring), just as he loved and hated himself.'' Throughout the story, Gollum was torn between his lust for the Ring and his desire to be free of it. Bilbo Baggins found the Ring and took it for his own, and Gollum afterwards pursued it for the rest of his life. Gollum finally seized the Ring from Frodo Baggins at the Cracks of Doom in Orodruin in Mordor; but he fell into the fires of the volcano, where both he and the Ring were destroyed.	1	does smeagol live in lord of the rings	0	antonym
21	is ivory coast and cote d ivoire the same	Ivory Coast -- Ivory Coast, also known as Côte d'Ivoire and officially as the Republic of Côte d'Ivoire, is a sovereign state located in West Africa. Ivory Coast's political capital is Yamoussoukro, and its economic capital and largest city is the port city of Abidjan. Its bordering countries are Guinea and Liberia in the west, Burkina Faso and Mali in the north, and Ghana in the east. The Gulf of Guinea (Atlantic Ocean) is located south of Ivory Coast.	1	is ivory coast and cote d ivoire different	0	antonym
22	is thread seal tape and teflon tape the same	Thread seal tape -- Thread seal tape (also known as PTFE tape or plumber's tape) is a polytetrafluoroethylene (PTFE) film tape commonly used in plumbing for sealing pipe threads. The tape is sold cut to specific widths and wound on a spool, making it easy to wind around pipe threads. It is also known by the genericized trademark Teflon tape; while Teflon is in fact identical to PTFE, Chemours (the trade-mark holders) consider this usage incorrect, especially as they no longer manufacture Teflon in tape form. Thread seal tape lubricates allowing for a deeper seating of the threads, and it helps prevent the threads from seizing when being unscrewed. The tape also works as a deformable filler and thread lubricant, helping to seal the joint without hardening or making it more difficult to tighten, and instead making it easier to tighten.	1	is thread seal tape and teflon tape different	0	antonym
23	do bees die if they lose their stinger	Bee sting -- Although it is widely believed that a worker honey bee can sting only once, this is a partial misconception: although the stinger is in fact barbed so that it lodges in the victim's skin, tearing loose from the bee's abdomen and leading to its death in minutes, this only happens if the skin of the victim is sufficiently thick, such as a mammal's. Honey bees are the only hymenoptera with a strongly barbed sting, though yellow jackets and some other wasps have small barbs.	1	do bees live if they lose their stinger	0	antonym
24	is a pickle the same as a gherkin	Pickled cucumber -- A pickled cucumber (commonly known as a pickle in the United States and Canada and a gherkin in Britain, Ireland, Australia, South Africa and New Zealand) is a cucumber that has been pickled in a brine, vinegar, or other solution and left to ferment for a period of time, by either immersing the cucumbers in an acidic solution or through souring by lacto-fermentation. Pickled cucumbers are often part of mixed pickles.	1	is a pickle different with a gherkin	0	antonym
25	is it possible to type 200 words per minute	Words per minute -- Stenotype keyboards enable the trained user to input text as fast as 225 wpm or faster at very high accuracy for an extended period of time, which is sufficient for real-time activities such as court reporting or closed captioning. While dropout rates are very high--in some cases, only 10% or even less graduate--stenotype students are usually able to reach speeds of 100--120 wpm within six months, which is faster than most alphanumeric typists. Guinness World Records gives 360 wpm with 97.23% accuracy as the highest achieved speed using a stenotype.	1	is it not possible to type 200 words per minute	0	antonym
26	is victoria plum the same as victorian plumbing	VictoriaPlum.com -- VictoriaPlum.com, a trading name of Victoria Plum Ltd, is an online bathroom retailer. The company traded under the name Victoria Plumb up until 21 July 2015, when it was rebranded as VictoriaPlum.com, in order to emphasise the exclusively online nature of the business.	1	is victoria plum different with victorian plumbing	0	antonym
27	is i can only imagine based on a true story	I Can Only Imagine (film) -- I Can Only Imagine is a 2018 American Christian drama film directed by the Erwin Brothers and written by Alex Cramer, Jon Erwin, and Brent McCorkle, based on the story behind the MercyMe song of the same name, the best-selling Christian single of all time. The film stars J. Michael Finley as Bart Millard, the lead singer who wrote the song about his relationship with his father (Dennis Quaid). Madeline Carroll, Priscilla Shirer, Cloris Leachman, and Trace Adkins also star.	1	is i can only imagine based on a false story	0	antonym
28	does beau abbott die in a quiet place	A Quiet Place (film) -- The Abbott family -- wife Evelyn, husband Lee, congenitally deaf daughter Regan, and sons Marcus and Beau -- silently scavenge for supplies in a deserted town. While out in the open, the family communicates with American Sign Language (ASL). Four-year-old Beau is drawn to a battery-powered space shuttle toy, but Lee takes it away due to the noise it makes. Regan returns the toy to Beau, who also takes the batteries that his father removed from it. Beau activates the toy when the family is walking home and crossing a bridge, giving away his location to a nearby creature which kills him before Lee can save him.	1	does beau abbott die in a noisy place	0	antonym
29	is st augustine the oldest city in florida	St. Augustine, Florida -- St. Augustine (Spanish: San Agustín) is a city in the Southeastern United States, on the Atlantic coast of northeastern Florida. Founded in 1565 by Spanish explorers, it is the oldest continuously occupied European-established settlement within the borders of the continental United States.	1	is st augustine the newest city in florida	0	antonym
30	does the boy die in the book of henry	The Book of Henry -- Henry sees Christina being abused by her stepfather, Glenn, the local police commissioner. Henry reports the abuse to social services and the school principal, Janice Wilder, but Glenn has connections throughout the local government, and Wilder is reluctant to challenge the commissioner without ``conclusive evidence''. Henry is unable to get the authorities to launch a serious investigation that would protect Christina. Henry tells his mother that when someone is in trouble, those who can help must take action. He develops a detailed plan to rescue Christina that he memorializes in a notebook. After a violent seizure, Henry is taken to the hospital, where he is diagnosed with a brain tumor and undergoes surgery. Anticipating his death, he tells Peter to give Susan the notebook. Days later, Henry dies in Susan's arms in the hospital.	1	does the boy live in the book of henry	0	antonym
31	is outcome variable the same as dependent variable	Dependent and independent variables -- Depending on the context, a dependent variable is sometimes called a ``response variable'', ``regressand'', ``criterion'', ``predicted variable'', ``measured variable'', ``explained variable'', ``experimental variable'', ``responding variable'', ``outcome variable'', ``output variable'' or ``label''.	1	is outcome variable different with dependent variable	0	antonym
32	is sheet metal gauge the same as wire gauge	Wire gauge -- In commerce, the sizes of wire are estimated by devices, also called gauges, which consist of plates of circular or oblong form having notches of different widths around their edges to receive wire and sheet metals of different thicknesses. Each notch is stamped with a number, and the wire or sheet, which just fits a given notch, is stated to be of, say, No. 10, 11, 12, etc., of the wire gauge.	1	is sheet metal gauge different with wire gauge	0	antonym
33	is it illegal for a minor to be in possession of alcohol	Minor in Possession -- In the United States, a Minor in Possession, or a MIP, (also referred to as a PAULA, Possession of Alcohol Under the Legal Age) is illegal, typically a misdemeanor. In California, depending on the county in which the person is charged, the crime may also be charged as an infraction. Anyone who is under the age of 21 and possesses alcohol in the United States, with the exception of special circumstances, is violating the law of the state.	1	is it legal for a minor to be in possession of alcohol	0	antonym
34	are dachshunds and weiner dogs the same thing	Dachshund -- The dachshund (UK: /ˈdakshʊnd/ or US: /ˈdɑːkshʊnt/ DAHKS-huunt or /ˈdɑːksənt/) (English: badger dog; also known as the sausage dog or wiener dog) is a short-legged, long-bodied, hound-type dog breed.	1	are dachshunds and weiner dogs different thing	0	antonym
35	is cheaper by the dozen based on a true story	Cheaper by the Dozen -- Cheaper by the Dozen is a semi-autobiographical novel written by Frank Bunker Gilbreth, Jr. and Ernestine Gilbreth Carey, published in 1948. The novel recounts the authors' childhood lives growing up in a household of 12 kids. The bestselling book was later adapted into a feature film by Twentieth Century Fox in 1950 and followed up by the sequel, Belles on Their Toes (1950), which was adapted as a 1952 film.	1	is cheaper by the dozen based on a fake story	0	antonym
36	do the internal intercostal muscles contract during inspiration	Muscles of respiration -- The internal intercostal muscles have fibres that are angled obliquely downward and backward from rib to rib. These muscles can therefore assist in lowering the rib cage, adding force to exhalation.	1	do the internal intercostal muscles expand during inspiration	0	antonym
37	is song of solomon the same as song of songs	Song of Songs -- The Song of Songs, also Song of Solomon or Canticles (Hebrew: שִׁיר הַשִּׁירִים‬, Šîr HašŠîrîm, Greek: ᾎσμα ᾎσμάτων, asma asmaton, both meaning Song of Songs), is one of the megillot (scrolls) found in the last section of the Tanakh, known as the Ketuvim (or ``Writings''), and a book of the Old Testament.	1	is song of solomon different with song of songs	0	antonym
38	is the white cover on brie cheese edible	Brie -- Brie (/briː/; French: (bʁi)) is a soft cow's-milk cheese named after Brie, the French region from which it originated (roughly corresponding to the modern département of Seine-et-Marne). It is pale in color with a slight grayish tinge under a rind of white mould. The rind is typically eaten, with its flavor depending largely upon the ingredients used and its manufacturing environment.	1	is the white cover on brie cheese not inedible	0	antonym
39	is a wheel and axle a simple machine	Wheel and axle -- The wheel and axle are one of six simple machines identified by Renaissance scientists drawing from Greek texts on technology. The wheel and axle consists of a wheel attached to a smaller axle so that these two parts rotate together in which a force is transferred from one to the other. A hinge or bearing supports the axle, allowing rotation. It can amplify force; a small force applied to the periphery of the large wheel can move a larger load attached to the axle.	1	is a wheel and axle a complex machine	0	antonym
40	is 22 magnum and 22 wmr the same	.22 Winchester Magnum Rimfire -- The .22 Winchester Magnum Rimfire, also called .22 WMR, .22 Magnum, .22 MRF, or .22 Mag, is a rimfire cartridge. Originally loaded with a bullet weight of 40 grains (2.6 g) delivering velocities in the 2,000 feet per second (610 m/s) range from a rifle barrel, .22 WMR is now loaded with bullet weights ranging from 50 grains (3.2 g) at 1,530 feet per second (470 m/s) to 30 grains (1.9 g) at 2,200 feet per second (670 m/s). Accuracy around 1 MOA is achievable. Compared to the faster but lighter .17 HMR, the .22 WMR impacts targets with higher kinetic energy within its effective range, important for clean kills on larger small game such as coyote, albeit with a less flat-shooting bullet arc.	1	is 22 magnum and 22 wmr different	0	antonym
41	was the king and i based on a true story	Anna Leonowens -- She became well-known with the publication of her memoirs, beginning with The English Governess at the Siamese Court (1870), which chronicled her experiences in Siam (modern Thailand), as teacher to the children of the Siamese King Mongkut. Leonowens' own account has been fictionalised in Margaret Landon's 1944 best-selling novel Anna and the King of Siam, as well as films and television series based on the book, most notably Rodgers and Hammerstein's 1951 hit musical The King and I.	1	was the king and i based on a false story	0	antonym
42	is chewing tobacco banned in major league baseball	Tobacco usage in sport -- Between 1920 until 1940, when baseball was Americas most popular sport, every team had a tobacco sponsor. It is common perception that many baseball players use tobacco. According to the MLB however this practice is changing and declining. One source states that a reason chewing tobacco usage increased among baseball players was the misconception that it improved concentration, overall performance and was less harmful than smoking a cigarette. Contrary to this, chewing tobacco does not have an established connection to the performance of baseball players. As more information about the dangers of chewing tobacco has come to light it has become stigmatized within baseball itself with players, staff and managers often having to ``sneak'' off to partake. These individuals understand that children will easily copy their actions and try to hide them now, as they are negative role models for youth. Most players have made attempts to quit, but the majority struggle in breaking their addiction. Lenny Dykstra, the former Philadelphia Phillies center-fielder, started dipping at a young age, unaware of how difficult quitting would be. He tells young children, ``They call me ``Nails'' because they say I'm as tough as nails. But I'm not tough enough to beat the spit-tobacco habit. Copy my hustle, copy my determination. But don't copy my spit-tobacco habit.'' In addition Major League Baseball has taken actions to lower tobacco usage amongst its players. This includes a complete ban on tobacco with fines for players and their managers if it is discovered. In the major leagues tobacco companies are no longer allowed to leave free products in stadium clubhouses for the players, with a ban effective December 5, 2016, in the new Collective Bargaining Agreement that prohibits players entering MLB for the first time from using tobacco. (Players who had experience in MLB prior to the day are grandfathered.) Baseball stadiums have stricter tobacco policies for patrons as well though the level of strictness varies per stadium.	1	is chewing tobacco allowed in major league baseball	0	antonym
43	is a boston terrier a small breed dog	Boston Terrier -- The Boston Terrier is a breed of dog originating in the United States of America. This ``American Gentleman'' was accepted in 1893 by the American Kennel Club as a non-sporting breed. Color and markings are important when distinguishing this breed to the AKC standard. They should be either black, brindle or seal with white markings. Bostons are small and compact with a short tail and erect ears. The AKC says they are highly intelligent and very easily trained. They are friendly and can be stubborn at times. The average life span of a Boston is around 11 to 13 years, though some can live well into their teens.	1	is a boston terrier a big breed dog	0	antonym
44	is 1 ounce the same as 1 fluid ounce	Fluid ounce -- The fluid ounce is distinct from the ounce as a unit of weight or mass, although it is sometimes referred to simply as an ``ounce'' where context makes the meaning clear, such as ounces in a bottle.	1	is 1 ounce different with 1 fluid ounce	0	antonym
45	is profit and loss account same as income statement	Income statement -- An income statement or profit and loss account (also referred to as a profit and loss statement (P&L), statement of profit or loss, revenue statement, statement of financial performance, earnings statement, operating statement, or statement of operations) is one of the financial statements of a company and shows the company's revenues and expenses during a particular period. It indicates how the revenues (money received from the sale of products and services before expenses are taken out, also known as the ``top line'') are transformed into the net income (the result after all revenues and expenses have been accounted for, also known as ``net profit'' or the ``bottom line''). The purpose of the income statement is to show managers and investors whether the company made or lost money during the period being reported.	1	is profit and loss account different with income statement	0	antonym
46	is it possible to thunder and lightning while snowing	Thundersnow -- Thundersnow, also known as a winter thunderstorm or a thundersnowstorm, is an unusual kind of thunderstorm with snow falling as the primary precipitation instead of rain. It typically falls in regions of strong upward motion within the cold sector of an extratropical cyclone. Thermodynamically, it is not different from any other type of thunderstorm, but the top of the cumulonimbus cloud is usually quite low. In addition to snow, graupel, or hail may fall.	1	is it impossible to thunder and lightning while snowing	0	antonym
47	is 50 to 1 based on a true story	50 to 1 -- 50 to 1 is a 2014 American drama film based on the true story of Mine That Bird, an undersized thoroughbred racehorse who won the 2009 Kentucky Derby in one of the biggest upsets in the history of the race. The film received a limited release on March 21, 2014. It was directed by Jim Wilson, who also co-wrote the script with Faith Conroy, and stars Skeet Ulrich, Christian Kane and William Devane. Jockey Calvin Borel, who rode Mine that Bird to his upset Derby win, plays himself in the film.	1	is 50 to 1 based on a fake story	0	antonym
48	is flax oil and linseed oil the same	Linseed oil -- Linseed oil, also known as flaxseed oil or flax oil, is a colourless to yellowish oil obtained from the dried, ripened seeds of the flax plant (Linum usitatissimum). The oil is obtained by pressing, sometimes followed by solvent extraction. Linseed oil is a drying oil, meaning it can polymerize into a solid form. Due to its polymer-forming properties, linseed oil can be used on its own or blended with combinations of other oils, resins or solvents as an impregnator, drying oil finish or varnish in wood finishing, as a pigment binder in oil paints, as a plasticizer and hardener in putty, and in the manufacture of linoleum. Linseed oil use has declined over the past several decades with increased availability of synthetic alkyd resins--which function similarly but resist yellowing.	1	is flax oil and linseed oil different	0	antonym
49	is there more than 9 seasons of heartland	List of Heartland episodes -- Heartland airs in Canada on the regional CBC channels at 7 pm (7:30 pm in Newfoundland) on Sundays. Beginning April 23, 2017, the 10th season of Heartland airs in the United States on the Up TV network on Sunday evenings at 8:00 pm Eastern. From its first episode the plot focuses on Amy, who inherited her mother's gift of being able to heal abused and damaged horses, after a tragic accident that led to big changes in everyone's lives.	1	is there less than 9 seasons of heartland	0	antonym
50	is powder sugar the same as confectioners sugar	Powdered sugar -- Powdered sugar, also called confectioners' sugar, icing sugar, and icing cake, is a finely ground sugar produced by milling granulated sugar into a powdered state. It usually contains a small amount of anti-caking agent to prevent clumping and improve flow. Although most often produced in a factory, powdered sugar can also be made by processing ordinary granulated sugar in a coffee grinder, or by crushing it by hand in a mortar and pestle.	1	is powder sugar different with confectioners sugar	0	antonym
51	is it possible to be allergic to rain water	Aquagenic urticaria -- Aquagenic urticaria, also known as water allergy and water urticaria, is a rarely diagnosed form of physical urticaria. The defining symptom is a itchy skin reaction resulting from contact with water, regardless of its temperature. It is sometimes described as an allergy, although it is not a true histamine-releasing allergic reaction like other forms of urticaria. This seems to not be affected by different temperatures of water, such as cold or hot, or chemicals such as fluorine and chlorine, since it is reproduced with distilled water and medical saline.	1	is it impossible to be allergic to rain water	0	antonym
52	is bayern munich the same as bayern munchen	FC Bayern Munich -- Fußball-Club Bayern München e.V., commonly known as FC Bayern München (German pronunciation: (ʔɛf tseː ˈbaɪɐn ˈmʏnçn̩)), FCB, Bayern Munich, or FC Bayern, is a German sports club based in Munich, Bavaria (Bayern). It is best known for its professional football team, which plays in the Bundesliga, the top tier of the German football league system, and is the most successful club in German football history, having won a record 28 national titles and 18 national cups.	1	is bayern munich different with bayern munchen	0	antonym
53	does age of ultron come after winter soldier	List of Marvel Cinematic Universe films -- The first film in the series was Iron Man (2008), which was distributed by Paramount Pictures. Paramount also distributed Iron Man 2 (2010), Thor (2011) and Captain America: The First Avenger (2011), while Universal Pictures distributed The Incredible Hulk (2008). Walt Disney Studios Motion Pictures began distributing the films with the 2012 crossover film The Avengers, which concluded Phase One of the franchise. Phase Two includes Iron Man 3 (2013), Thor: The Dark World (2013), Captain America: The Winter Soldier (2014), Guardians of the Galaxy (2014), Avengers: Age of Ultron (2015), and Ant-Man (2015).	1	does age of ultron come before winter soldier	0	antonym
54	is tea tree oil and melaluca the same	Melaleuca -- Second only to members of the family Proteaceae, melaleucas are an important food source for nectarivorous insects, birds, and mammals. Many are popular garden plants, either for their attractive flowers or as dense screens; and a few have economic value for producing fencing and oils such as ``tea tree'' oil. Most melaleucas are endemic to Australia, with a few also occurring in Malesia. Seven are endemic to New Caledonia, and one is found only on (Australia's) Lord Howe Island. Melaleucas are found in a wide variety of habitats. Many are adapted for life in swamps and boggy places, while others thrive in the poorest of sandy soils or on the edge of saltpans. Some have a wide distribution and are common, whilst others are rare and endangered. Land clearing, exotic myrtle rust, and especially draining and clearing of swamps threaten many species.	1	is tea tree oil and melaluca different	0	antonym
55	is the water in the amazon river fresh	Amazon River -- In March 1500, Spanish conquistador Vicente Yáñez Pinzón was the first documented European to sail up the Amazon River. Pinzón called the stream Río Santa María del Mar Dulce, later shortened to Mar Dulce, literally, sweet sea, because of its fresh water pushing out into the ocean. Another Spanish explorer, Francisco de Orellana, was the first European to travel from the origins of the upstream river basins, situated in the Andes, to the mouth of the river. In this journey, Orellana baptised some of the affluents of the Amazonas like Rio Negro, Napo and Jurua. The name Amazonas is taken from the native warriors that attacked this expedition, mostly women, that reminded De Orellana of the mythical female Amazon warriors from the ancient Hellenic culture in Greece.	1	is the water in the amazon river stale	0	antonym
56	do female and male blue jays look the same	Blue jay -- Its plumage is lavender-blue to mid-blue in the crest, back, wings, and tail, and its face is white. The underside is off-white and the neck is collared with black which extends to the sides of the head. The wing primaries and tail are strongly barred with black, sky-blue and white. The bill, legs, and eyes are all black. Males and females are almost identical, but the male is slightly larger.	1	do female and male blue jays look different	0	antonym
57	is boost mobile and virgin mobile the same	Boost Mobile -- At the 2010 Consumer Electronics Show, Boost Mobile announced it would begin to offer a new unlimited plan using Sprint's CDMA network, costing $50 a month. For $10 more, Boost also offered an unlimited plan for the BlackBerry Curve 8830. Sprint would also acquire fellow prepaid wireless provider Virgin Mobile USA in 2010--both Boost and Virgin Mobile would be re-organized into a new group within Sprint, encompassing the two brands and other no-contract phone services offered by the company.	1	is boost mobile and virgin mobile different	0	antonym
