index	passage	question	label	question_paraphrase
2494	1960 Stanley Cup playoffs -- Bobby Hull of the Chicago Black Hawks had led the league in scoring, but the well-oiled machine called the Montreal Canadiens managed to hold him to only six goals as the Canadiens swept the Black Hawks in four. The Toronto Maple Leafs, though, had a slightly tougher time against the Gordie Howe led Detroit Red Wings as it took the Leafs 6 games, including one in triple overtime, to win the series.	has any team ever swept the stanley cup final?	1	Is there a team that has ever swept the Stanley Cup finals?
1016	Organ (anatomy) -- Organs are composed of main tissue, parenchyma, and ``sporadic'' tissues, stroma. The main tissue is that which is unique for the specific organ, such as the myocardium, the main tissue of the heart, while sporadic tissues include the nerves, blood vessels, and connective tissues. The main tissues that make up an organ tend to have common embryologic origins, such as arising from the same germ layer. Functionally-related organs often cooperate to form whole organ systems. Organs exist in all organisms. In single-celled organisms such as bacteria, the functional analogue of an organ is known as an organelle. In plants there are three main organs. A hollow organ is an internal organ that forms a hollow tube, or pouch such as the stomach, intestine, or bladder.	is there overlap between the different organ systems in a vertebrate?	1	Is there any overlap between the organ systems of vertebrates?
2022	Hot Springs National Park -- The heat comes from the natural heating of rocks as depth increases. The composition of the water indicates it is heated rainwater which has not approached a magmatic source, so no volcanic action is involved in the formation of these hot springs. The result is the mildly alkaline, pleasant tasting solution with dissolved calcium carbonate.	is hot springs arkansas sitting on a volcano?	0	Is Hot Springs, Arkansas, built on top of a volcano?
2496	King Kong (1933 film) -- Shackled in chains, Kong is taken to New York City and presented to a Broadway theatre audience as ``Kong, the Eighth Wonder of the World''. Ann and Jack are brought on stage to join him, surrounded by a group of press photographers. Kong, believing that the ensuing flash photography is an attack, breaks loose. The audience flees in horror. Ann is whisked away to a hotel room on a high floor, but Kong, scaling the building, soon finds her. His hand smashes through the hotel room window, immobilizing Jack, and abducts Ann again. Kong rampages through the city. He wrecks a crowded elevated train and then climbs the Empire State Building. At its top, he is attacked by four airplanes. Kong destroys one, but finally succumbs to their gunfire. He ensures Ann's safety before falling to his death. Ann and Jack are reunited. Denham arrives and pushes through a crowd surrounding Kong's corpse in the street. When a policeman remarks that the planes got him, Denham tells him, ``It was Beauty killed the Beast''.	does king kong die in the original movie?	1	Is King Kong killed in the original film?
1017	List of MBTA Commuter Rail stations -- The system's routes span the eastern third of Massachusetts and the northern half of Rhode Island. They stretch from Newburyport in the north to North Kingstown, Rhode Island in the south, and reach as far west as Worcester and Fitchburg. There are plans to expand the area covered by the Commuter Rail further into Rhode Island to the south as well as into New Hampshire to the north.	does the commuter rail go to new hampshire?	0	Is the commuter rail service available in New Hampshire?
2024	Lever -- A lever (/ˈliːvər/ or US: /ˈlɛvər/) is a simple machine consisting of a beam or rigid rod pivoted at a fixed hinge, or fulcrum. A lever is a rigid body capable of rotating on a point on itself. On the basis of the location of fulcrum, load and effort, the lever is divided into three types. It is one of the six simple machines identified by Renaissance scientists. A lever amplifies an input force to provide a greater output force, which is said to provide leverage. The ratio of the output force to the input force is the mechanical advantage of the lever.	is the load the pivot point of a lever?	0	Is a lever's pivot point the load?
2497	List of Major League Baseball single-game grand slam leaders -- Every team which had a player hit two grand slams won their milestone games. These games have resulted in other single-game MLB records being set due to the extreme offensive performance. Lazzeri, for example, proceeded to hit a third home run in the game and finished with a total of eleven runs batted in, an American League record. Fernando Tatís became the only player to hit two grand slams in the same inning, when he attained the milestone, slugging two in the third inning for the St. Louis Cardinals on April 23, 1999. In achieving the feat, he also set a new major league record with eight runs batted in a single inning.	has there ever been 2 grand slams in one inning?	1	Is it possible to hit two grand slams in the same inning?
1018	Jon Snow (character) -- In ``The Wars to Come'', Stannis enlists Jon as an intermediary between himself and Mance, hoping to add the wildling army to his own. Mance refuses to submit to Stannis, and the wildling king is burned at the stake by the red priestess Melisandre. In ``The House of Black and White'', Stannis offers to legitimize Jon and make him lord of Winterfell in exchange for his support. Jon is voted the new Lord Commander of the Night's Watch, initially tying with his nemesis Thorne but having the tie settled by Maester Aemon. Jon's intent to welcome the wildlings into Westeros and grant them lands by the Wall further enrages Thorne's faction of the Watch, who hold a deep seated hatred for the wildlings. In ``Hardhome'', Jon travels by ship north of the Wall to the eponymous wildling village, seeking their support for his plan to ally the Night's Watch and the wildlings against the growing threat of the White Walkers. As some of the wildling clans board Stannis' ships to travel south, a massive force of wights, led by White Walkers and their Night King, attacks the village. Jon kills a White Walker with Longclaw, learning that weapons forged with Valyrian steel can destroy them completely. Jon and his group barely make it out alive, with only a fraction of the wildling forces. Jon then permits the wildling forces to pass through the Wall into the North. Shortly after returning to Castle Black in the season finale ``Mother's Mercy'', Jon is summoned to hear news of his missing uncle Benjen, but is instead stabbed to death by Thorne and his group of mutineers.	did jon snow die in season 5 finale?	1	Is Jon Snow dead in the Season 5 finale?
2506	Dairy cattle -- The dairy cow will produce large amounts of milk in its lifetime. Production levels peak at around 40 to 60 days after calving. Production declines steadily afterwards until milking is stopped at about 10 months. The cow is ``dried off'' for about sixty days before calving again. Within a 12 to 14-month inter-calving cycle, the milking period is about 305 days or 10 months long. Among many variables, certain breeds produce more milk than others within a range of around 6,800 to 17,000 kg (15,000 to 37,500 lbs) of milk per year.	does cows have to be pregnant to produce milk?	0	Is it necessary for cows to be pregnant in order to produce milk?
2025	Wreck of the RMS Titanic -- Between 25 July and 10 September 1987, an expedition mounted by IFREMER and a consortium of American investors which included George Tulloch, G. Michael Harris, D. Michael Harris and Ralph White made 32 dives to Titanic using the submersible Nautile. Controversially, they salvaged and brought ashore more than 1,800 objects. A joint Russian-Canadian-American expedition took place in 1991 using the research vessel Akademik Mstislav Keldysh and its two MIR submersibles. Sponsored by Stephen Low and IMAX, CBS, National Geographic and others, the expedition carried out extensive scientific research with a crew of 130 scientists and engineers. The MIRs carried out 17 dives, spending over 140 hours at the bottom, shooting 40,000 feet (12,000 m) of IMAX film. This was used to create the 1995 documentary film Titanica, which was later released in the US on DVD in a re-edited version narrated by Leonard Nimoy.	has anything been brought up from the titanic?	1	Is there anything from the Titanic that has been brought up?
2507	Rhubarb -- Although rhubarb is a vegetable, it is often put to the same culinary uses as fruits. The leaf stalks can be used raw, when they have a crisp texture (similar to celery, although it is in a different family), but are most commonly cooked with sugar and used in pies, crumbles and other desserts. They have a strong, tart taste. Several varieties have been domesticated for human consumption, most of which are recognised as Rheum x hybridum by the Royal Horticultural Society.	are celery and rhubarb from the same family?	0	Are celery and rhubarb members of the same plant family?
1020	As Above, So Below (film) -- As she races back to the tomb, she finds a hanged man, whom she recognizes as her father. She apologizes to him for not answering the phone the night that he killed himself. She then returns to the tomb, where she finds a polished mirror that makes her realize that she possesses the magical abilities of the philosopher's stone. Scarlett returns to George and heals him with a kiss. She then explains to George and Zed that the only way to escape is to admit to their torments, just as she admitted that she feels responsible for her father's suicide. George admits that he accidentally allowed his brother to drown when the pair were kids because he got lost looking for help. Zed admits that he has a son he knows is his, but chooses not to acknowledge, which explains the visions of a running boy he has been seeing during their journey. As the demons continue to chase them, the group jump down a deep hole. At the bottom, the hole above them closes and a manhole appears on the ground below. Jumping through, the group find themselves right side up on a street overlooking the Notre Dame. Scarlett and George hold each other, realizing that they are safe, while a dazed Zed walks away into the night.	does everyone die in as above so below?	0	Is it true that everyone dies in as above, so below?
0	Ethanol fuel -- All biomass goes through at least some of these steps: it needs to be grown, collected, dried, fermented, distilled, and burned. All of these steps require resources and an infrastructure. The total amount of energy input into the process compared to the energy released by burning the resulting ethanol fuel is known as the energy balance (or ``energy returned on energy invested''). Figures compiled in a 2007 report by National Geographic Magazine point to modest results for corn ethanol produced in the US: one unit of fossil-fuel energy is required to create 1.3 energy units from the resulting ethanol. The energy balance for sugarcane ethanol produced in Brazil is more favorable, with one unit of fossil-fuel energy required to create 8 from the ethanol. Energy balance estimates are not easily produced, thus numerous such reports have been generated that are contradictory. For instance, a separate survey reports that production of ethanol from sugarcane, which requires a tropical climate to grow productively, returns from 8 to 9 units of energy for each unit expended, as compared to corn, which only returns about 1.34 units of fuel energy for each unit of energy expended. A 2006 University of California Berkeley study, after analyzing six separate studies, concluded that producing ethanol from corn uses much less petroleum than producing gasoline.	does ethanol take more energy make that produces?	0	Is it true that ethanol requires more energy to produce than it produces?
2509	United States two-dollar bill -- The United States two-dollar bill ($2) is a current denomination of U.S. currency. The third U.S. President (1801--09), Thomas Jefferson, is featured on the obverse of the note. The reverse features an engraving of the painting The Declaration of Independence by John Trumbull. Throughout the $2 bill's pre-1929 life as a large-sized note, it was issued as a United States Note, National Bank Note, silver certificate, Treasury or ``Coin'' Note and Federal Reserve Bank Note. When U.S. currency was changed to its current size, the $2 bill was issued only as a United States Note. Production went on until 1966, when the series was discontinued. Ten years passed before the $2 bill was reissued as a Federal Reserve Note with a new reverse design. Two-dollar bills are seldom seen in circulation as a result of banking policies with businesses which has resulted in low production numbers due to lack of demand. This comparative scarcity in circulation, coupled with a lack of public knowledge that the bill is still in production and circulation, has also inspired urban legends about its authenticity and value and has occasionally created problems for those trying to use the bill to make purchases.	do they still make $2 bills in 2018?	1	Is it still possible to get a $2 bill in 2018?
2026	High-definition optical disc format war -- The high-definition optical disc format war was between the Blu-ray and HD DVD optical disc standards for storing high-definition video and audio; it took place between 2006 and 2008 and was won by Blu-ray Disc.	is hd dvd the same as blu ray?	0	Is high-definition DVD the same as high-definition Blu-ray?
1	Property tax -- Property tax or 'house tax' is a local tax on buildings, along with appurtenant land. It is and imposed on the Possessor (not the custodian of property as per 1978, 44th amendment of constitution). It resembles the US-type wealth tax and differs from the excise-type UK rate. The tax power is vested in the states and is delegated to local bodies, specifying the valuation method, rate band, and collection procedures. The tax base is the annual rental value (ARV) or area-based rating. Owner-occupied and other properties not producing rent are assessed on cost and then converted into ARV by applying a percentage of cost, usually four percent. Vacant land is generally exempt. Central government properties are exempt. Instead a 'service charge' is permissible under executive order. Properties of foreign missions also enjoy tax exemption without requiring reciprocity. The tax is usually accompanied by service taxes, e.g., water tax, drainage tax, conservancy (sanitation) tax, lighting tax, all using the same tax base. The rate structure is flat on rural (panchayat) properties, but in the urban (municipal) areas it is mildly progressive with about 80% of assessments falling in the first two brackets.	is house tax and property tax are same?	1	Is the house tax and the property tax the same thing?
1021	Enterprise value -- Enterprise value (EV), total enterprise value (TEV), or firm value (FV) is an economic measure reflecting the market value of a business. It is a sum of claims by all claimants: creditors (secured and unsecured) and shareholders (preferred and common). Enterprise value is one of the fundamental metrics used in business valuation, financial modeling, accounting, portfolio analysis, and risk analysis.	is enterprise value the same as firm value?	1	Is the value of an enterprise the same as the value of a company?
7	List of English words containing Q not followed by U -- Of the 71 words in this list, 67 are nouns, and most would generally be considered loanwords; the only modern-English words that contain Q not followed by U and are not borrowed from another language are qiana, qwerty, and tranq. However, all of the loanwords on this list are considered to be naturalised in English according to at least one major dictionary (see References), often because they refer to concepts or societal roles that do not have an accurate equivalent in English. For words to appear here, they must appear in their own entry in a dictionary; words which occur only as part of a longer phrase are not included.	is there a word with q without u?	1	Is there a word with the letter q but no u?
2033	Guerrilla warfare in the American Civil War -- Guerrilla warfare in the American Civil War followed the same general patterns of irregular warfare conducted in 19th century Europe. Structurally, they can be divided into three different types of operations--the so-called 'People's War', 'partisan warfare', and 'raiding warfare'. Each has distinct characteristics that were common practice during the Civil War years (1861--1865).	was guerrilla warfare used in the civil war?	1	Guerrilla warfare was used during the civil war?
1024	The Golden Compass (film) -- In 2011, Philip Pullman remarked at the British Humanist Association annual conference that due to the first film's disappointing sales in the United States, there would not be any sequels made.	is there a follow up film to the golden compass?	0	Is there going to be a sequel to The Golden Compass?
8	American entry into Canada by land -- Persons driving into Canada must have their vehicle's registration document and proof of insurance.	can u drive in canada with us license?	1	Can you drive in Canada if you have a US driver's licence?
2513	Zürich Airport railway station -- Zürich Airport railway station (German: Bahnhof Zürich Flughafen) is a railway station serving Zürich Airport in Switzerland. The station is located underneath the Airport Centre, the main ground-side passenger terminal of the airport, which is in the canton of Zürich and the municipality of Kloten.	is there a train station in zurich airport?	1	Is the Zurich airport serviced by a train station?
2035	Canada at the FIFA World Cup -- This is a record of Canada's results at the FIFA World Cup. Canada has appeared in the FIFA World Cup on one occasion, which was in 1986.	has canada ever participated in the world cup?	1	Has Canada ever competed in a World Cup?
2514	Lake Ontario -- Lake Ontario is one of the five Great Lakes of North America. It is surrounded on the north, west, and southwest by the Canadian province of Ontario, and on the south and east by the American state of New York, whose water boundaries meet in the middle of the lake. Ontario, Canada's most populous province, was named for the lake. Many of Ontario's most populous cities, including Toronto, Canada's most populous city, and Hamilton, are on the lake's northern or western shores. In the Huron language, the name Ontarí'io means ``Lake of Shining Waters''. Its primary inlet is the Niagara River from Lake Erie. The last in the Great Lakes chain, Lake Ontario serves as the outlet to the Atlantic Ocean via the Saint Lawrence River.	is lake ontario connected to the atlantic ocean?	1	Is there a connection between Lake Ontario and the Atlantic Ocean?
2036	Insidious: Chapter 3 -- Insidious: Chapter 3 is a 2015 supernatural horror film written and directed by Leigh Whannell in his directorial debut. It is a prequel to the first two films and the third installment in the Insidious franchise. The film stars Dermot Mulroney and Stefanie Scott, with Angus Sampson, Whannell, and Lin Shaye reprising their roles from the previous films. The film was released on June 5, 2015, received mixed reviews and grossed $113 million against a budget of $11 million.	does insidious 3 take place before 1 and 2?	1	Is Insidious 3 set before Insidious 1 and 2?
16	The Strangers (2008 film) -- The Strangers is a 2008 American slasher film written and directed by Bryan Bertino. Kristen (Liv Tyler) and James (Scott Speedman) are expecting a relaxing weekend at a family vacation home, but their stay turns out to be anything but peaceful as three masked torturers leave Kristen and James struggling for survival. Writer-director Bertino was inspired by real-life events: the Manson family Tate murders, a multiple homicide; the Keddie Cabin Murders, that occurred in California in 1981; and a series of break-ins that occurred in his own neighborhood as a child. Made on a budget of $9 million, the film was shot on location in rural South Carolina in the fall of 2006.	was the movie strangers based on a true story?	1	Strangers was based on a true storey, right?
2515	The Divergent Series -- The first installment, Divergent (2014), grossed over $288 million worldwide, while the second installment, The Divergent Series: Insurgent (2015), grossed over $297 million worldwide. Insurgent was also the first Divergent film to be released in IMAX 3D. The third installment, The Divergent Series: Allegiant (2016), grossed $179 million. Thus, the first three films of the series have grossed over $765 million worldwide. A fourth film, The Divergent Series: Ascendant was to be released theatrically, but due to Allegiant's poor showing at the box office, it was announced it would be released as a television film that could lead into a potential episodic spin-off series on Starz. However, Woodley, along with other cast members, expressed no interest in returning.	is there a 4th film in divergent series?	0	Is there going to be a fourth film in the Divergent series?
1528	10 Downing Street -- 10 Downing Street, colloquially known in the United Kingdom as Number 10, is the headquarters of the Government of the United Kingdom and the official residence and office of the First Lord of the Treasury, a post which, for much of the 18th and 19th centuries and invariably since 1905, has been held by the Prime Minister.	does the prime minister actually live at number 10?	1	Is it true that the Prime Minister lives at Number 10?
1026	Queen (chess) -- The queen can be moved any number of unoccupied squares in a straight line vertically, horizontally, or diagonally, thus combining the moves of the rook and bishop. The queen captures by occupying the square on which an enemy piece sits.	can the queen move like the knight in chess?	0	Can the queen move in the same way that the knight does in chess?
19	Magnesium citrate -- Magnesium citrate is a magnesium preparation in salt form with citric acid in a 1:1 ratio (1 magnesium atom per citrate molecule). The name ``magnesium citrate'' is ambiguous and sometimes may refer to other salts such as trimagnesium citrate which has a magnesium:citrate ratio of 3:2.	does magnesium citrate have citric acid in it?	1	Is citric acid present in magnesium citrate?
2519	Cuvette -- Historically, reusable quartz cuvettes were required for measurements in the ultraviolet range, because glass and most plastics absorb ultraviolet light, creating interference. Today there are disposable plastic cuvettes made of specialized plastics that are transparent to ultraviolet light. Glass, plastic and quartz cuvettes are all suitable for measurements made at longer wavelengths, such as in the visible light range.	can quartz cuvette be used in visible range?	1	Is it possible to use a quartz cuvette in the visible range?
491	Belgium at the FIFA World Cup -- Belgium have appeared in the finals tournament of the FIFA World Cup on 13 occasions, the first being at the first FIFA World Cup in 1930 where they finished in 11th place. The inaugural FIFA World Cup final was officiated by Belgian referee John Langenus.	has belgium ever been in world cup final?	1	Belgium has never appeared in a World Cup final.
20	Post-office box -- Street Addressing will have the same street address of the post office, plus a ``unit number'' that matches the P.O. Box number. As an example, in El Centro, California, the post office is located at 1598 Main Street. Therefore, for P.O. Box 9975 (fictitious), the Street Addressing would be: 1598 Main Street Unit 9975, El Centro, CA. Nationally, the first five digits of the zip code may or may not be the same as the P.O. Box address, and the last four digits (Zip + 4) are virtually always different. Except for a few of the largest post offices in the U.S., the 'Street Addressing' (not the P.O. Box address) nine digit Zip + 4 is the same for all boxes at a given location.	does p o box come before street address?	0	Does the post office box come before the street address?
1529	Condensed milk -- A related product is evaporated milk, which has undergone a more complex process and which is not sweetened. Evaporated milk is known in some countries as unsweetened condensed milk.	is there such thing as unsweetened condensed milk?	1	Is it possible to find unsweetened condensed milk?
2527	I Am Number Four (film) -- In 2011, screenwriter Noxon told Collider.com that plans for an imminent sequel were shelved due to the disappointing performance of the first installment at the box office.	are there more movies after i am number four?	0	Is there going to be any more movies after I'm number four?
2038	Mount Evans -- Mount Evans is the highest summit of the Chicago Peaks in the Front Range of the Rocky Mountains of North America. The prominent 14,271-foot (4350 m) fourteener is located in the Mount Evans Wilderness, 13.4 miles (21.6 km) southwest by south (bearing 214°) of the City of Idaho Springs in Clear Creek County, Colorado, United States, on the drainage divide between Arapaho National Forest and Pike National Forest.	is mt evans part of rocky mountain national park?	1	Is Mt. Evans included in the Rocky Mountain National Park?
21	Spark plug -- A spark plug (sometimes, in British English, a sparking plug, and, colloquially, a plug) is a device for delivering electric current from an ignition system to the combustion chamber of a spark-ignition engine to ignite the compressed fuel/air mixture by an electric spark, while containing combustion pressure within the engine. A spark plug has a metal threaded shell, electrically isolated from a central electrode by a porcelain insulator. The central electrode, which may contain a resistor, is connected by a heavily insulated wire to the output terminal of an ignition coil or magneto. The spark plug's metal shell is screwed into the engine's cylinder head and thus electrically grounded. The central electrode protrudes through the porcelain insulator into the combustion chamber, forming one or more spark gaps between the inner end of the central electrode and usually one or more protuberances or structures attached to the inner end of the threaded shell and designated the side, earth, or ground electrode(s).	does a spark plug keep an engine running?	1	Is it true that a spark plug keeps an engine running?
2530	List of Lynyrd Skynyrd members -- On October 20, 1977 -- three days after the release of the band's fifth studio album Street Survivors -- a chartered plane on which the members and crew were travelling crashed in Gillsburg, Mississippi. Six people died in the accident, including band members Ronnie Van Zant, Steve Gaines and Cassie Gaines; many of the other passengers onboard were seriously injured, including Wilkeson who was left in a critical condition and reportedly declared dead three times. The group disbanded after the crash. In 1978, a collection of previously unreleased recordings from 1971 and 1972 was released as Skynyrd's First and... Last. The following year, the surviving members (with the exception of Wilkeson) reunited at Volunteer Jam for a performance of ``Free Bird'' with Charlie Daniels and his band.	are any original members of lynyrd skynyrd still alive?	0	Is there any original Lynyrd Skynyrd members still alive?
2040	Singular they -- The singular they had emerged by the 14th century. Though it is commonly employed in everyday English, it has been the target of criticism since the late 19th century. Its use in formal English has increased with the trend toward gender-inclusive language.	can you use them as a singular pronoun?	1	Can they be used as a singular pronoun?
1531	Eight Below -- The 1958 ill-fated Japanese expedition to Antarctica inspired the 1983 hit film Antarctica, of which Eight Below is a remake. Eight Below adapts the events of the 1958 incident, moved forward to 1993. In the 1958 event, fifteen Sakhalin Husky sled dogs were abandoned when the expedition team was unable to return to the base. When the team returned a year later, two dogs were still alive. Another seven were still chained up and dead, five were unaccounted for, and one died just outside Showa Station.	is the movie 8 below a true story?	1	Is the film 8 below based on a true storey?
498	Federal voting rights in Puerto Rico -- Voting rights of United States citizens in Puerto Rico, like the voting rights of residents of other United States territories, differ from those of United States citizens in each of the fifty states and the District of Columbia. Residents of Puerto Rico and other U.S. territories do not have voting representation in the United States Congress, and are not entitled to electoral votes for President. The United States Constitution grants congressional voting representation to U.S. states, which Puerto Rico and other U.S. territories are not, specifying that members of Congress shall be elected by direct popular vote and that the President and the Vice President shall be elected by electors chosen by the States.	can a puerto rican resident vote for president?	0	Can a Puerto Rican citizen vote in the presidential election?
26	Feather -- Contour feathers are not uniformly distributed on the skin of the bird except in some groups such as the penguins, ratites and screamers. In most birds the feathers grow from specific tracts of skin called pterylae; between the pterylae there are regions which are free of feathers called apterylae (or apteria). Filoplumes and down may arise from the apterylae. The arrangement of these feather tracts, pterylosis or pterylography, varies across bird families and has been used in the past as a means for determining the evolutionary relationships of bird families.	do penguins have feathers arising from the epidermis?	1	Do penguins have epidermis-derived feathers?
1030	Vehicle registration plates of California -- Exclusions: The letters I, O, and Q are not used in the first or third alpha positions of the 7-digit alpha-numeric series.	does california use the letter o on license plates?	1	Is the letter o used on California licence plates?
504	List of Red Rock episodes -- Following a major overhaul in the summer of 2016, each episode is now a single 60 minute transmission, including advertisements. The series was also moved to 9:00pm on Mondays, to allow for grittier storylines, as the series is now post-watershed. A special-double episode was broadcast on 9 January 2017 as a single 120 minute transmission. This episode was co-written by actor Shaun Williamson. The second series was broadcast in the UK between 17 July 2017 and 8 September 2017, with Series 3 scheduled for this year.	is there a season 4 for red rock?	0	Is there going to be a fourth season of Red Rock?
2531	Fetus in fetu -- Fetus in fetu (or foetus in foetu) is a developmental abnormality in which a mass of tissue resembling a fetus forms inside the body. An early example of the phenomenon was described in 1808 by George William Young.	can a twin be born inside the other?	1	Is it possible for one twin to be born inside the other?
2041	Unlisted public company -- An unlisted public company is a public company that is not listed on any stock exchange. Though the criteria vary somewhat between jurisdictions, a public company is a company that is registered as such and generally has a minimum share capital and a minimum number of shareholders. Each stock exchange has its own listing requirements which a company (or other entity) wishing to be listed must meet. Besides not qualifying to be listed, a public company may choose not to be listed on a stock exchange for a number of reasons, including because it is too small to qualify for a stock exchange listing, does not seek public investors, or there are too few shareholders for a listing. There is a cost to the listed entities, in the listing process and ongoing costs as well as in compliance costs such as the maintenance of a company register.	are all public companies listed on the stock exchange?	0	Is it true that all publicly traded companies are listed on the stock exchange?
1535	List of power stations in Michigan -- Nuclear power is a significant source of electrical power in Michigan, producing roughly one-quarter of the state's supply. The three nuclear power plants supply Michigan with about 30% of its electricity.	are there any nuclear power plants in michigan?	1	Is Michigan home to any nuclear power plants?
29	Indianapolis Motor Speedway -- On the grounds of the speedway is the Indianapolis Motor Speedway Museum, which opened in 1956, and houses the Auto Racing Hall of Fame. The museum moved into its current building located in the infield in 1976. Also on the grounds is the Brickyard Crossing Golf Resort, which originally opened as the Speedway Golf Course in 1929. The golf course has 14 holes outside the track, along the backstretch, and four holes in the infield. The speedway also served as the venue for the opening ceremonies for the 1987 Pan American Games.	is there a golf course at the indy 500?	1	Is there a golf course on the grounds of the Indianapolis 500?
1031	Toll-free telephone numbers in the North American Numbering Plan -- In the United States of America, Canada, and other countries participating in the North American Numbering Plan, a toll-free telephone number has one of the area codes 800, 833, 844, 855, 866, 877, and 888.	is 1-844 toll free in canada?	1	Is 1-844 a toll-free number in Canada?
