index	sentence1	sentence2	label	sentence2_neg	neg_label	tag
24	Nokia, Texas Instruments and other leading makers of mobile phones have formally complained to Brussels that Qualcomm, the US mobile chipmaker, has unfairly used its patents on 3G technologies.	Texas Instruments produces mobile phones.	0	Texas Instruments produces immobile phones.	1	antonym
25	The abode of the Greek gods was on the summit of Mount Olympus, in Thessaly.	Mount Olympus is in Thessaly.	0	Mount Olympus is not in Thessaly.	1	negation
26	Yachtsman Melvyn Percy became so fed up with the standard of service when preparing his boat for the 3000-mile Atlantic crossing that he decided to set up his own company on the Clyde to provide Scots sailors with professional advice and practical assistance. Minerva Rigging, based at Kip Marina just south of Gourock, now employs five full-time staff and is the Scottish agent for Kemp, one of Europe's leading yacht spar and mast manufacturers.	Melvyn Percy set up Minerva Rigging at Kip Marina.	0	Melvin Percy didn't set up Minerva Rigging at Kip Marina.	1	negation
27	The west has preferred to focus on endangered animals, rather than endangered humans. African elephants are hunted down and stripped of tusks and hidden by poachers. Their numbers in Africa slumped from 1.2m to 600,000 in a decade until CITES - the Convention on International Trade in Endangered Species - banned the trade in ivory.	An international convention banned trade in ivory.	0	An international convention didn't ban trade in ivory.	1	negation
28	Four days of talks got underway with the US announcing the first significant overture to North Korea since George W Bush took office three years ago.	George W. Bush entered the US presidency 3 years ago.	0	George W. Bush didn't enter the US presidency 3 years ago.	1	negation
29	Foreign Carmakers Gain in Russia. The likes of Daewoo, Ford, Renault, and more can't produce fast enough.	European cars sell in Russia.	0	European cars don't sell in Russia.	1	negation
30	"He said that ""there is evidence that Cristiani was involved in the murder of the six Jesuit priests"" which occurred on 16 November in San Salvador."	Cristiani is accused of the assassination of six Jesuits.	0	Cristian is not accused of the assassination of six Jesuits.	1	negation
31	P. Prayong, who like Kevala belongs to the Theravada sect of Buddhism, chose India over other Buddhist majority nations as it is the birthplace of Gautama Buddha.	P. Prayong is a member of Theravada.	0	P. Praying is not a member of Theravada.	1	negation
32	US President Barack Obama has been sketching out the future direction of his administration, in events to mark his first 100 days in office. Mr Obama addressed a town hall meeting in St Louis before holding a primetime news conference, broadcast live on most US TV networks. Traditionally, commentators have used the milestone to assess presidents' early successes and failures. Latest polls suggest Mr Obama continues to enjoy a high level of popularity.	Barack Obama has been President of the U.S. for 100 days.	0	Barack Obama has not been President of the U.S. for 100 days.	1	negation
33	Jerry Reinsdorf (born February 25 1936 in Brooklyn, New York) is the owner of Chicago White Sox and the Chicago Bulls. Recently, he helped the White Sox win the 2005 World Series and, in the process, collected his seventh championship ring overall (the first six were all with the Bulls in the 1990s), becoming the third owner in the history of North American sports to win a championship in two different sports.	Jerry Reinsdorf has won 7 championships.	0	Jerry Random has not won 7 championships.	1	negation
34	Thus began the journey that led Hannam, a 29-year-old free-lance journalist, on an international quest to solve one of the greatest mysteries of Asia: What happened to Lin Piao, the Chinese Communist Party leader accused of a 1971 plot to overthrow Chairman Mao.	Lin Piao was the Chinese Communist Party leader.	0	Lin Piano was not the Chinese Communist Party leader.	1	negation
35	A new study conducted by researchers from University of Otago's Christchurch School of Medicine has found that certain chemical compounds naturally found in cruciferous vegetables help kill cancer cells that are particularly resistant to chemotherapy. The study has been published in Cancer Research. The research team found that chemicals called isothiocyanates cause cancer cells to commit suicide. This includes cells with high levels of the protein Bcl-2, which makes them resistant to chemotherapy. Isothiocyanates are naturally found in cruciferous vegetables. These include kale, cabbage, broccoli, cauliflower, bok choy, radish, and watercress, among others.	Broccoli contains isothiocyanates.	0	Broccoli doesn't contain isothiocyanates.	1	negation
36	Swedish massage is used to help relax muscles, increase circulation, remove metabolic waste products, help the recipient obtain a feeling of connectedness, a better awareness of their body and the way they use and position it.	Swedish massage loosens tense muscles.	0	Swedish massage doesn't loosen tense muscles.	1	negation
37	"An auto analyst for Bombay's Angel Broking, Vaishali Jajoo, predicted that the Nano will add only three percent to Tata's revenues even if it can sell a quarter of a million such cars per annum. ""That doesn't make a significant difference to the top line,"" Jajoo said. ""And for the bottom line, it will take five to six years to break even."" Environmentalists say that the car will exacerbate traffic problems already rife in India, and help increase pollution levels. Tata, however, stated that its vehicle is the least polluting car in the country."	Angel Broking is based in Bombay.	0	Angel Booking is not based in Bombay.	1	negation
38	"Rotorua has banned criminals with five or more dishonesty convictions from entering the Central Business District (CBD). The criminals will be issued with trespass notices banning them from the main streets of Rotorua. Eleven out of twelve councillors, including the Rotorua mayor, supported the by-law along with support from the police. Kevin Winters, Mayor of Rotorua, said ""The ban also had the support of local businesses, who wanted an end to the thefts, assaults, shoplifting and other street crime on Rotorua streets. Crime was an issue in the area. Five strikes and you're out."""	The Central Business District (CBD) is part of Rotorua.	0	The Central Business District (CBD) is not part of Rotor.	1	negation
39	The beleaguered Euro-Disney theme park outside Paris is doing so poorly it might have to close unless it gets help soon from its lenders, the chairman of Walt Disney Co. said in an interview published Friday.	Euro-Disney is a theme park outside Paris.	0	Euro-Disney is not a theme park outside Paris.	1	negation
40	COLOMBO (Reuters) - At least five people were killed and 11 wounded when a suspected Tamil Tiger suicide bomber blew herself up inside a police station in the Sri Lankan capital on Wednesday, shattering more than two years of relative peace.	People were killed in Tamil suicide attacks.	0	People were not killed in Tamil suicide attacks.	1	negation
41	Thompson, a renegade journalist whose 'gonzo' style threw out any pretense at objectivity and established the hard-living writer as a counter-culture icon, fatally shot himself at his Colorado home on Sunday night, police said.	Thompson's 'gonzo' journalism throws objectivity out of the window.	0	Thompson's 'gonzo' journalism doesn't throw objectivity out of the window.	1	negation
42	Ahern, who was travelling to Tokyo for an EU-Japan summit yesterday, will consult with other EU leaders by telephone later this week in an effort to find an agreed candidate.	A summit between Europe and Japan is taking place in the Japanise capital.	0	A summit between Europe and Japan is not taking place in the Japanese capital.	1	negation
43	Coextensive with the metropolitan district of Jakarta Raya, it lies at the mouth of the Ciliwung ( Liwung River ) on the northwest coast of Java.	Jakarta lies at the mouth of the Ciliwung ( Liwung River ) on the northwest coast of the island of Java.	0	Jakarta doesn't lie at the mouth of the Citing (Living River) on the northwest coast of the island of Java.	1	negation
44	"A U.S. Court of Appeals on Friday has declared unconstitutional California Assembly Bills 1792 & 1793, the California ""ultraviolent video games law"" that sought to ban the sale or rental of violent video games to minors. Federal judge Consuelo M. Callahan has ruled that the 2005 statewide ban, which has yet to be enforced, violates minors' rights under the US Constitution's First and 14th amendment because even the most graphic on-screen mayhem, video game content represents free speech that cannot be censored without proper justification."	California Assembly Bills 1792 & 1793 are laws against ultraviolent video games.	0	California Assembly Bills 1792 & 1793 are laws not against ultraviolet video games.	1	negation
45	A farmer who was in contact with cows suffering from BSE -- the so-called mad cow disease -- has died from what is regarded as the human form of the disease.	"Bovine spongiform encephalopathy is another name for the ""mad cow disease""."	0	"Bovine spongiform encephalopathy is not another name for the ""mad cow disease""."	1	negation
46	BEIRUT, Nov. 21 (Xinhua) -- Lebanese Industry Minister and Christian leader Pierre Gemayel was shot dead on a street in the suburb of Beirut on Tuesday, al-Jazeera TV channel quoted the Lebanese Interior Ministry as saying.	Pierre Gemayel was murdered on a street in the suburb of Beirut.	0	Pierre Females was not murdered on a street in the suburb of Beirut.	1	negation
47	It has been observed that in those countries of the world where capital punishment is still in operation, the crime rate, especially murder, is distinctively low in comparison to countries where capital punishment has been discarded.	Capital punishment is a deterrent to crime.	0	Capital punishment is not a deterrent to crime.	1	negation
48	The number of Danes opposed to swapping the krone for the euro has increased slightly to 35.3 percent, up from 34.6 percent in April, according to a poll published on Thursday by Danske Bank.	The introduction of the euro has been opposed.	0	The introduction of the euro has not been opposed.	1	negation
49	Yet, we now are discovering that antibiotics are losing their effectiveness against illness. Disease-causing bacteria are mutating faster than we can come up with new antibiotics to fight the new variations.	Bacteria is winning the war against antibiotics.	0	Bacteria are not winning the war against antibiotics.	1	negation
50	"The mistaken spelling, Miller explained, was made in a section of her notes unrelated to the interviews with Libby.  Other notes documented 3 interviews with Libby, conducted in the year 2003, that in her NYT column she wrote: June 23) ... Mr. Libby raised the subject of Mr. Wilson's wife for the first time. I wrote in my notes, inside parentheses, ""Wife works in bureau?"" I told Mr. Fitzgerald that I believed this was the first time I had been told that Mr. Wilson's wife might work for the C.I.A."	Judith Miller works for the New York Times.	0	Judith Miller doesn't work for the New York Times.	1	negation
51	Swansea striker Lee Trundle has negotiated a lucrative image-rights deal with the League One club.	Lee Trundle is in business with the League One club.	0	Lee Trundle is not in business with the League One club.	1	negation
52	As a result, peptic ulcer disease has been transformed from a chronic, frequently disabling condition to one that can be cured by a short regimen of antibiotics and other medicines.	Antibiotics are used against peptic ulcer.	0	Antibiotics are not used against peptic ulcer.	1	negation
53	In 1865, John Wilkes Booth, the assassin of President Abraham Lincoln, was surrounded by federal troops near Bowling Green, Va., and killed.	John Wilkes Booth killed President Abraham Lincoln.	0	John Wilkes Booth didn't kill President Abraham Lincoln.	1	negation
54	The Croatian intent is even more problematic because the border between Slovenian and Croatian territorial waters has not yet been established. The dispute about this border began in 1991 when both countries became independent.	There is a territorial waters dispute.	0	There is no territorial waters dispute.	1	negation
55	Aeschylus was born in 525 BC, and spent his youth as a soldier in the Athenian army. He wrote The Persians when he was 53 years old, but it is his earliest surviving work.	"""The Persians"" was written by Aeschylus."	0	"""The Persians"" was not written by Aeschylus."	1	negation
56	Oqueli was to fly to Nicaragua to join an international Socialist delegation, which will observe the Nicaraguan electoral campaign.	An electoral campaign is being held in Nicaragua.	0	An electoral campaign is not being held in Nicaragua.	1	negation
57	A senior coalition official in Iraq said the body, which was found by U.S. military police west of Baghdad, appeared to have been thrown from a vehicle.	A body has been found by U. S. military police.	0	A body has not been found by U. S. military police.	1	negation
58	The most sought after piece and the most expensive item was a bronze bust of Spencer Tracy that Hepburn created in the 1960s.	The highest-selling item was a bronze bust made by Hepburn in the 1960s of her actor lover Spencer Tracy.	0	The highest-selling item was not a bronze bust made by Hepburn in the 1960s of her actor lover Spencer Tracy.	1	negation
59	Plans are being drawn up to build a £3.3m working replica of the boat that took Charles Darwin around the world at Milford Haven in Pembrokeshire. Fundraising for the project, which would mark the 200th anniversary of Darwin's birth in 2009, is under way. The aim is to built a seaworthy vessel identical to the HMS Beagle on the outside, but with a modern interior. Darwin, who showed how natural selection could explain evolution, sailed on the Beagle between 1831-36.	Charles Darwin took a voyage on a ship named HMS Beagle.	0	Charles Darwin didn't take a voyage on a ship named HMS Beagle.	1	negation
60	Phish disbands after a final concert in Vermont on Aug. 15	Rock band Phish holds final concert in Vermont.	0	Rock band Phish doesn't hold final concert in Vermont.	1	negation
61	"Gabriel Garcia Marquez is the author of ""One Hundred Years of Solitude"", ""The Autumn of the Patriarch"" and other novels."	Gabriel Garcia Marquez is a novelist and writer.	0	Gabriel Garcia Marquez is not a novelist and writer.	1	negation
62	With South Carolina being Jesse Jackson's home state, there was a very strong incentive in the black community.	Jesse Jackson was born in South Carolina.	0	Jesse Jackson was not born in South Carolina.	1	negation
63	In support of the Earth Island Institute rebuttal, Greenpeace founder Don White made the following - unfortunately prophetic - public statement on 8/18/93.	Don White is the founder of Greenpeace.	0	Don White is not the founder of Greenpeace.	1	negation
64	Kevin Whitaker, who heads the Cuban affairs office at the Department of State, spoke with Lazo on two occasions about the effort to give his sons visas.	Kevin Whitaker is a manager of the Department of State.	0	Kevin Whitaker is not a manager of the Department of State.	1	negation
65	Sheriff's officials said a robot could be put to use in Ventura County, where the bomb squad has responded to more than 40 calls this year.	Police use robots for bomb-handling.	0	Police don't use robots for bomb-handling.	1	negation
66	Evans Paul, the pro-Aristide mayor of Port-au-Prince, said he had been told that the money will go to American lobbyists, politicians and journalists to campaign against the return of Aristide, Haiti's first democratically elected president	Evans Paul is the mayor of Port-au-Prince.	0	Evans Paul is not the mayor of Port-au-Prince.	1	negation
67	Brown brushed off a threat made Monday by his counterpart, Foreign Trade Minister Wu Yi, that if China's effort to join the General Agreement on Tariffs and Trade (GATT) by the year's end is unsuccessful, Beijing will no longer be bound by previous trade and economic commitments.	Wu Yi is the Foreign Trade Minister of China.	0	Wu Yi is not the Foreign Trade Minister of China.	1	negation
68	Capital punishment acts as a deterrent.	Capital punishment is a deterrent to crime.	0	Capital punishment is not a deterrent to crime.	1	negation
69	Two brothers who operated a North Hollywood plating company that dumped thousands of gallons of cyanide-laced waste water into the Los Angeles sewer system pleaded guilty Thursday and must serve jail time for recklessly handling and storing hazardous materials.	A California company was charged with reckless storage of chemicals.	0	A California company was not charged with reckless storage of chemicals.	1	negation
70	Italian film-maker, Fellini was awarded an honorary Oscar for lifetime achievement. He died on October 31, 1993.	An Italian director is awarded an honorary Oscar.	0	An Italian director is not awarded an honorary Oscar.	1	negation
71	On Jan. 27, 1756, composer Wolfgang Amadeus Mozart was born in Salzburg, Austria.	Wolfgang Amadeus Mozart was born in Salzburg.	0	Wolfgang Amadeus Mozart was not born in Salzburg.	1	negation
72	Miller died Thursday night, of congestive heart failure, at his home in Roxbury, Conn., surrounded by his family, his assistant, Julia Bolus, said Friday.	Miller died Thursday night, of heart failure, surrounded by family members.	0	Miller didn't die Thursday night, of heart failure, surrounded by family members.	1	negation
73	The biggest newspaper in Norway, Verdens Gang, prints a letter to the editor written by Joe Harrington and myself.	Verdens Gang is a Norwegian newspaper.	0	Gardens Gang is not a Norwegian newspaper.	1	negation
74	To mark the 20th anniversary of John Lennon's death tomorrow (December 8), his widow, Yoko Ono, has erected billboards supporting gun control in three major U.S. cities.	Yoko Ono is John Lennon's widow.	0	Yoko Ono is not John Lennon's widow.	1	negation
75	Spirou was created in 1938 by Rob-Vel, who sold the rights to the Dupuis publishing house in early 40's. Other artists like Jije (Joseph Gillain) took care of the feature.	Spirou was created by Rob-Vel.	0	Spiro was not created by Novel.	1	negation
76	Napkins, invitations and plain old paper cost more than they did a month ago.	The cost of paper is rising.	0	The cost of paper is not rising.	1	negation
77	The Daily Telegraph, most prized asset in Lord Conrad Black's crumbling media empire, has been sold to Britain's Barclay twins.	Daily telegraph is sold.	0	Daily Telegraph is not sold.	1	negation
78	Two Indian diplomats met the Indian prisoner facing death in Pakistan, Sarabjit Singh, on Tuesday at Kot Lakhpat jail in the eastern Pakistani city of Lahore.	Indian diplomats met an Indian prisoner, on death row, on Tuesday.	0	Indian diplomats didn't meet an Indian prisoner, on death row, on Tuesday.	1	negation
79	"Bangladesh, one of the world's poorest countries, suffered a devastating drought and famine in 1974, which killed 1.5 million people. While trying to help starving villagers, he met a 21-year-old woman named Sufia Begum, who was burdened by a tiny yet crushing debt, Yunus recalled in his autobiography, ""Banker to the Poor."""	1.5 million people were killed during the drought and famine devastation in 1974 in Bangladesh.	0	1.5 million people were not killed during the drought and famine devastation in 1974 in Bangladesh.	1	negation
80	A United Nations vehicle was attacked in the Serbian province of Kosovo and at least one civilian policeman was killed, the United Nations said.	A civilian policeman was killed.	0	A civilian policeman was not killed.	1	negation
81	The Tuesday drawing of the Italian Superenalotto game has awarded the biggest prize ever won in a betting game in Italy. The single winner of the first category prize (6 numbers guessed) will receive an amount, including the jackpot from previous un-won draws, of 72.090.405,19 (US$93 million.) The prize money will be received in full without further taxation, since taxes in prizes of that type are taken at a fixed rate by the Italian State from the money paid for the bet.	Superenalotto awarded a prize of more than 72 million euros.	0	Superenalotto didn't award a prize of more than 72 million euros.	1	negation
82	Russian Public Television head Vladislav Listyev is shot in the heart by an unknown gunman outside his Moscow home. The attack is linked to opponents of an advertising ban he had proposed for the television channel.	Vladislav Listyev was murdered in Moscow.	0	Vladislav Listed was not murdered in Moscow.	1	negation
83	Moscow believes that the waters of the Sea of Azov should remain in common use, but Kiev insists on a clear division.	There is a territorial waters dispute.	0	There is no territorial waters dispute.	1	negation
84	The sunset, touching distant hills with ribbons of fire across the waters of the Dead Sea, brings a sense of unreality to culminate a day's visit to the lowest point on earth, some 400 meters below sea level.	The lowest point on earth is at the Dead Sea.	0	The lowest point on earth is not at the Dead Sea.	1	negation
85	Another factor in the rising cost of paper is the increased cost of wood pulp, from which paper is made	The cost of paper is rising.	0	The cost of paper is not rising.	1	negation
86	Without a natural greenhouse effect, the temperature of the Earth would be about zero degrees F (-18C) instead of its present 57F (14C).	Greenhouse effect changes global climate.	0	Greenhouse effect doesn't change global climate.	1	negation
87	"According to officials, João Bernardo Vieira, the president of Guinea-Bissau, was shot to death on Monday in his palace by renegade soldiers. ""President Vieira was killed by the army as he tried to flee his house which was being attacked by a group of soldiers close to the chief of staff Tagme Na Waie, early this morning,"" Zamora Induta, a military spokesman, said to Agence France-Presse, insisting that ""this was not a coup d'etat."""	Bernardo Vieira was the president of Guinea-Bissau.	0	Bernardo Vieira was not the president of Guinea-Bissau.	1	negation
88	And, despite its own suggestions to the contrary, Oracle will sell PeopleSoft and JD Edwards financial software through reseller channels to new customers.	Oracle sells financial software.	0	Oracle doesn't sell financial software.	1	negation
89	"Easter is over but that doesn't mean you can't enjoy ""Ben-Hur,"" the granddaddy of biblical epics and winner of a record 11 Oscars, including best picture and best actor (Charlton Heston in the title role)."	"Charlton Heston played the title role in the movie ""Ben-Hur""."	0	"Charlton Heston didn't play the title role in the movie ""Ben-Hur""."	1	negation
90	Police in the Lower Austrian town of Amstetten have arrested a 73 year old man who is alleged to have kept his daughter, now aged 42, locked in the cellar of his house in Amstetten since 29th August 1984. The man, identified by police as Josef Fritzl, is alleged to have started sexually abusing his daughter, named as Elisabeth Fritzl, when she was eleven years old, and to have subsequently fathered seven children by her. One of the children, one of a set of twins born in 1996, died of neglect shortly after birth and the body was burned by the father.	Amstetten is located in Austria.	0	Stetted is not located in Austria.	1	negation
91	Nokia, Texas Instruments and other leading makers of mobile phones have formally complained to Brussels that Qualcomm, the US mobile chipmaker, has unfairly used its patents on 3G technologies.	Texas Instruments produces mobile phones.	0	Texas Instruments doesn't produce mobile phones.	1	negation
92	IBM stole trade secrets to copy two of its programs -- File-AID, a file manager, and Abend-AID, a program that helps users locate the source of glitches.	Trade secrets were stolen.	0	Trade secrets were not stolen.	1	negation
93	Mount Redoubt, a volcano in Alaska, erupted on Saturday, sending out clouds of ash thousands of feet high. According to the Federal Aviation Administration, the Ted Stevens Anchorage International Airport was shut down after ash reached the airport. Jeremy Lindseth, a spokesman for the airport, said that only small amount of ash reached the airport, but was significant enough to disrupt operations, as ash can cause engine problems for aircraft. He said that he was uncertain of how many flights were affected due to the eruption.	The Ted Stevens Anchorage International Airport is the employer of Jeremy Lindseth.	0	The Ted Stevens Anchorage International Airport is not the employer of Jeremy Lindsey.	1	negation
94	Russian cosmonaut Valery Polyakov set the record for the longest continuous amount of time spent in space, a staggering 438 days, between 1994 and 1995.	Russians hold record for longest stay in space.	0	Russians don't hold record for longest stay in space.	1	negation
95	Pibul Songgram was the pro-Japanese military dictator of Thailand during World War 2.	Pibul was the dictator of Thailand.	0	Paul was not the dictator of Thailand.	1	negation
96	"Alice Cooper, a founder of the shock rock genre, and infamous for his gory stage shows, is setting up a Christian center for at-risk youths in Phoenix. Cooper, who has been a born again Christian for over 20 years, has already raised US$2 million for the center via his charity, the Solid Rock Foundation, founded by Cooper in 1995. ""The Rock"", as the center will be called, is expected to cost $7.3 million, and Cooper hopes that construction work will begin on the site, currently a grassy area near the Grand Canyon University, by November."	Alice Cooper is a Christian.	0	Alice Cooper is not a Christian.	1	negation
97	The IOC meeting will also review reports submitted by the organizing committees of the 1998 Winter Olympic Games in Nagano, Japan; the 2000 Summer Olympic Games in Sydney, Australia and the 2002 Winter Olympic Games in the Salt Lake City, the United States, respectively.	Before Salt Lake City, Winter Olympic Games took place in Nagano.	0	Before Salt Lake City, Winter Olympic Games didn't take place in Nagano.	1	negation
98	The Longest Day ever lengthens. The 25th anniversary celebration of the first Normandy landing lasted three days; the 50th will spread out over a year.	50th Anniversary of Normandy Landings lasts a year.	0	50th Anniversary of Normandy Landings doesn't last a year.	1	negation
99	Eric Harris and Dylan Klebold, seniors at the suburban Denver school, detonated homemade bombs and opened fire with shotguns, a rifle and a semiautomatic handgun on April 20, 1999. They killed a teacher and 12 students and wounded 23 others before committing suicide. The massacre shocked the country like no other. It was the worst school assault in American history at that time, and it came in the wake of a half-dozen others. It played out on live television, watched by millions. And it represented the violent destruction of a cherished American idea: that schools in the suburbs and the countryside were havens of peace and safety.	13 persons were killed by two students in 1999.	0	13 persons were not killed by two students in 1999.	1	negation
100	NASA's two Great Observatories, the Hubble Space Telescope and the Chandra X-ray Observatory, have independently provided what could be the best direct evidence yet for the existence of an event horizon, the defining feature of a black hole.	Hubble discovers black holes.	0	Hubble doesn't discover black holes.	1	negation
101	U.S. forces have been engaged in intense fighting after insurgents launched simultaneous attacks in several Iraqi cities, including Fallujah and Baqubah.	Fallujah and Baqubah are Iraqi cities.	0	Allah and Aqua are not Iraqi cities.	1	negation
102	CAMDEN, N.J. (Reuters)  Three Muslim brothers from Albania were sentenced to life in prison on Tuesday for a plot to kill American soldiers at the Fort Dix military base, which prosecutors said was inspired by the idea of holy war against the United States. The men, Dritan Duka, 30, Shain Duka, 28, and Eljvir Duka, 25, all illegal immigrants, were each sentenced to life without the possibility of parole. The three, who operated a roofing business in Cherry Hill, N.J., were among five foreign-born Muslims convicted in December of planning an attack at the base, about 40 miles east of Philadelphia. The attack was never carried out.	Eljvir Duka comes from Albania.	0	Elvis Duke doesn't come from Albania.	1	negation
