index	label	sentence1	sentence2
38	1	It seems unlikely that there will be a coalition between Gerhard Schroeder's Social Democrats and Angela Merkel's Christian Democratic Union.	The Christian Democrats (CDU) won 35.2% of the vote, or 225 seats, against 34.3% for Chancellor Gerhard Schroeder's Social Democrats (SPD).
40	1	Stephen Grosz is the British lawyer of David Hicks.	"Australian Guantanamo Bay detainee David Hicks has won British citizenship, opening the door for a possible bid to have him freed from the US detention facility in Cuba. Justice Lawrence Collins of the British High Court has overturned the British Government's refusal of citizenship to Hicks, whose mother was born in England. Justice Collins said the Government had ""no power to withhold or deprive citizenship"". Justice Collins said: ""In my view it would be improper to fail to give assistance which otherwise would have been given, simply because the claimant was believed to be involved in terrorism and has not had any previous connection with this country."" Hicks' lawyer, Stephen Grosz, said the decision was a breakthrough. He said there was now no reason why Hicks should not enjoy the same protection as the nine other British citizens released without charge from Guantanamo Bay on representations of the British Government."
42	1	Musharraf has ordered rioters to take firm action against security forces.	Pakistan President Pervez Musharraf has ordered security forces to take firm action against rioters following the assassination of opposition leader Benazir Bhutto. The violence has left at least 44 people dead and dozens injured. Mr. Musharraf insisted the measures were to protect people. VOA's Ayaz Gul reports from Islamabad that a bitter dispute has also erupted over how the 54-year-old politician died and who was behind her assassination.
43	1	Michael Bloomberg is the mayor of New York.	"A month after Gov. David A. Paterson dropped his proposal for a soda tax, New York City's health commissioner has written an article advocating ""hefty"" taxes on sodas and sports drinks containing sugar. Such a tax, the article said, could be the biggest boon to public health since tobacco taxes. The commissioner, Dr. Thomas R. Frieden, and Kelly D. Brownell of Yale University, his co-author, argue in the New England Journal of Medicine that a tax of a penny per ounce could reduce consumption by more than 10 percent and raise $1.2 billion a year in New York State alone."
46	1	An Indonesian ferry with 300 passengers sank.	"The ferry owner PT Nur Budi's spokesman blamed Indonesian port authorities for the tragedy. ""The passenger capacity of the ferry is 205 people but the port administrator accepted more passengers as they thought it was possible,"" he said. The National Meteorological and Geophysics Agency, however, had published and raised an alert signal about high waves on Friday. It specifically stated that ""Saturday 10th and Sunday 11th, Indonesian waters would have witnessed storm force waves,"" but despite the dire warnings KM Teratai set for the seas."
47	1	The riots in Greece started on December 6.	Tension and battles between Greek police and anarchist demonstrators took place in the centre of Athens, Greece, during the anti-war demonstration of the 4th European Social Forum which is taking place in the Greek capital, from 4 to 7 of May 2006. The march of the approximately 1,000 anarchists ended with clashes between groups of anarchists and police. Riot police used tear gas, while a branch of a Greek bank, a fast-food store and around 50 shop windows in central Athens were damaged.
49	1	Argentina sought UK expertise on privatization and agriculture.	Argentina sought help from Britain on its privatization program and encouraged British investment.
52	1	The soldiers were driving a civilian car and were dressed in civilian clothes when a shooting took place between them and Iraqi patrols.	The soldiers, who were said to have been wearing Arab headdress, were accused of firing at Iraqi police when stopped at a road block.
53	1	U.N. weapons inspectors could stay in Iraq, Clinton said.	"The United States would like to see U.N. weapons inspectors return to Iraq providing the Iraqis take concrete, affirmative and demonstrable actions ""to show full co-operation"" Clinton said."
54	1	A patrol car was attacked by the San Carlos Battalion.	On 12 August, the San Carlos Battalion came across mines placed in their path and one soldier was killed while two were seriously injured. Meanwhile on 10 August, urban commandos took a patrol car by surprise and dropped a grenade inside the car, injuring four and partially destroying the vehicle.
55	1	Bomb-sniffing dogs were estimated at Rodriguez's Mulberry St. apartment.	Bomb-sniffing dogs were brought to Rodriguez's Mulberry St. apartment.
57	1	Lufthansa Technik Automotive fires 30 workers.	Workers at the Lufthansa Technik Automotive plant in Co Dublin are due to vote today on changes to work practices being sought by the company's management. The aircraft engine maintenace firm has warned that rejection of the proposals would threaten a planned €17230m investment in the Rathcoole plant and put jobs at risk. LTA says it is not seeking any lay-offs or pay cuts and the planned investment would guarantee the future of the plant for the next 15 years. The work-practice changes are being sought following the collapse of Labour Relations Commission talks on the matter.
58	1	GATT was formed in 1947.	It rewrites the rules of global trade, established by the General Agreement on Tariffs and Trade, or GATT, in 1947, and modified in multiple rounds of negotiations since then.
60	1	In the May 2005 general election Conservatives got 33 seats.	In the May 2005 general election Michael Howard failed to unseat the Labour Government, although the Conservatives did gain 33 seats, playing the most significant role in reducing Labour's majority from 167 to 66.
61	1	Dagbladet is a Norwegian newspaper.	The Norwegian Newspaper Corpus is a large and self-expanding corpus of Norwegian newspaper texts. The collection of this dynamic and continually growing corpus began in 1998.
62	1	Formerly ( until 1949 ) Batavia, Jakarta is largest city and capital of Indonesia.	The Dutch, who ruled Indonesia until 1949, called the city of Jakarta Batavia.
65	1	U.S. consumer spending dived in June.	The cost of the consumer of the United States fell in June.
66	1	Some Australians have fasted to protest.	"The former leader of Iraq was rushed to hospital last Sunday after refusing to eat for sixteen days. But according to news agencies, he has ended the hunger strike by eating lunch at the court in Baghdad. ""Saddam ate beef and rice and cola with bread which he brought from hospital,"" one source told Reuters news agency. He was fasting with three co-defendants, and they were demanding more security for their defence lawyers, three of whom have been murdered."
67	1	Sonia Gandhi is defeated by BJP.	Sonia Gandhi can be defeated in the next elections in India by BJP.
71	1	skin cancer numbers increase.	Weinstock painstakingly reviewed dozens of studies for evidence of any link between sunscreen use and either an increase or decrease in melanoma.
74	1	Babe Ruth hit 60 home runs in his lifetime.	Ruth's 1927 single season record of 60 home runs stood unsurpassed until Roger Maris hit 61 in 1961.
78	1	Nobel Peace Prize candidates have been chosen.	The Norwegian Nobel Committee is responsible for the selection of the candidates and the choice of Prize Winners for the Peace Prize. The Committee is composed of five members appointed by the Storting (Norwegian parliament). The Peace Prize is awarded in Oslo, Norway and not in Stockholm, Sweden like the other Nobel Prizes.
81	1	Hillary Clinton is Bill's sister.	The plaintiffs in this most recent suit contend that Lee, Perlmutter, Arthur Lieberman and Avi Arad conspired in bad faith to conceal and misappropriate financial interests in Lee's creations assigned to Stan Lee Media in 1998. SLM's meltdown involved its former President Peter F. Paul fleeing to Brazil, contributions made to Bill and Hillary Clinton, Paul's extradition and more. In 2007, SLM filed a $5 billion lawsuit in which it claimed co-ownership of all of Stan Lee's creations for Marvel.
82	1	Alex Da Silva is a student of salsa dance.	"Alex Da Silva, a salsa dance instructor and choreographer for Fox's ""So You Think You Can Dance,"" was arrested Saturday on suspicion of sexually assaulting four of his students, according to a statement from the Los Angeles Police Department. Da Silva, 41, is accused of assaulting the students in his two homes in the San Fernando Valley over the last six years, police said. He is being held in lieu of $3.8 million bail. Authorities said the four victims were all students of Da Silva at the time of the assaults."
83	1	Ruth hit 47 runs in his lifetime.	Ruth bounced back from his 1925 ailments and problems to lead the American League in home runs with 47, 28 home runs more than anyone else.
87	1	Jupiter has Twelve moons.	Twelve of Jupiter's moons are relatively small and seem to have been more likely captured than to have been formed in orbit around Jupiter.
91	1	Kennon did not participate in WWII.	As an active member of the National Guard, he was called to duty in 1941. Although Kennon did not see active combat, he did not return home from World War II until May of 1945.
92	1	The Auburn High School Athletic Hall of Fame has ten members.	The Auburn High School Athletic Hall of Fame recently introduced its Class of 2005 which includes 10 members.
95	1	translator kidnapped in Iraq	Two Turkish engineers and an Afghan translator kidnapped in December were freed Friday.
96	1	Legal costs to recover punitive damages are a deductible business expense.	Successful plaintiffs recovered punitive damages in Texas discrimination cases 53% of the time.
98	1	Hubble discovers black holes.	The discovery is based on velocity measurements of a whirlpool of hot gas orbiting the black hole.
101	1	Michelle Orchard is claiming hundreds of thousands of pounds from Sebastian Lee because she wants a new nose.	A school dinner lady is claiming damages from a teenager who seriously injured her while playing tag with a friend. If she is successful, pupils could become legally liable for boisterous behaviour that results in accidents.   Michelle Orchard, 42, is seeking hundreds of thousands of pounds in damages from Sebastian Lee, who was 13 when he ran into her during the lunch break at Corfe Hills School, Corfe Mullen, Dorset, in January 2004.   Sebastian, with his friend in pursuit, tumbled into her backwards, striking her in the face with the back of his head, senior judges at the Court of Appeal heard yesterday. Mrs Orchard's nose was broken and her teeth were damaged. Her lawyers say that she also suffered serious brain damage, leading to partial paralysis and balance problems. She has been unable to work since the accident.
102	1	Thousands of people are expected to return to New Orleans this week, as areas of the city are opened up to residents.	Nagin defended his plan to return up to 180,000 people to the city, within a week and a half, despite concerns about the short supply of drinking water and heavily polluted floodwaters.
103	1	Altai ice maiden triggers major dispute.	The discovery of the body of a warrior - thought to have died in battle more than 2,000 years ago - could help archaeologists to pinpoint the site of an ancient holy site. The young warrior, aged about 30, with his spear, a sword, his belt and scabbard, stunned archaeologists who found his stone coffin.
104	1	Toshiba has no moving parts.	Toshiba has produced a fuel cell with no moving parts.
105	1	Barings was Britain's oldest merchant bank.	The British tabloids portrayed Nicholas Leeson as a working-class villain who single-handedly brought down Barings PLC, a 233-year-old London merchant bank that helped finance the Napoleonic wars.
107	1	Mike Tyson bit Holyfield's ear in 1990.	Tyson, who served three years in jail for rape in the 1990s and who bit off part of Evander Holyfield's ear during a 1997 fight, still thinks he can be heavyweight champion again.
109	1	John Glenn was the first man in orbit.	Nine months later, John Glenn becomes the first American man to orbit the Earth.
110	1	Children in New Zealand are forced to wear orange overalls.	Police say that he was wearing orange overalls, a balaclava and a pistol when he stole $6300 from Cherrywood at about 3:15 p.m. Outside the bank Leatham was trying to hijack a car, he threatened an old man with his pistol, eventually stealing a black Mitsubishi Mirage. The car was later found abandoned around Fairmont Terrace in the Glenn Terrace or Ridge Street area.
111	1	Alexandre Berthier died in 1799.	As late as 1799, priests were still being imprisoned or deported to penal colonies and persecution only worsened after the French army led by General Louis Alexandre Berthier captured Rome and imprisoned Pope Pius VI, who would die in captivity in Valence, Drôme, France in August of 1799.
112	1	Kanchenjunga is 8586 meters high.	The 10-men team is expected to arrive at the foot of the mountain in the end of April and began their journey to the 8,586-meter peak in early May.
115	1	Crude oil prices have hit fresh highs as fears grow over the extent of damage, done by Hurricane Katrina, to oil output in the Gulf of Mexico.	95% of the Gulf of Mexico's oil output is now out of service following Katrina, together with more than 83% of natural gas production.
116	1	Toshiba is a subsidiary of Dell Inc.	Toshiba, the world's third-largest notebook computer maker behind Dell Inc. and Hewlett-Packard Co., said the PC would be introduced in Japan in early 2006.
117	1	Mark Hacking was booked into the Salt Lake County Jail on Monday.	Hacking reported his wife missing on July 19, a Monday.
121	1	Molly Walsh plans to stop buying the generic products.	Molly Walsh, 21, a George Washington University student shopping at a CVS pharmacy in Washington, D.C., said she didn't plan to toss any of the store-brand drugs at home that she'd bought to save money. Nor did she plan to stop buying the generic products.
122	1	The moon Titan has a diameter of 5100 kilometers.	The newly suggested distance is much closer than the present positions at 2,870,972,200 kilometers from the sun for Uranus and 4,498,252,900 kilometers for Neptune.
123	1	Blair belongs to the Church of England.	"British Prime Minister Tony Blair said today's events could ""make history anew"" and to ""escape the heavy chains of history"". Blair said, ""Look back and we see centuries pock-marked by conflict, hardship, even hatred, among the people of these islands."" Blair's predecessor, Sir John Major said ""The sight of people that were once totally antagonistic to one another sitting down to plan the future of Northern Ireland is very attractive,"" adding ""I always believed from the outset that it was possible but that it would be difficult and that it would take a long time."""
125	1	Jacques Delors succeeded Jacques Santer in the presidency of the European Commission.	Jacques Santer succeeded Jacques Delors as president of the European Commission in 1995, the second Luxembourger to hold this high office.
127	1	Luc Jouret was the leader of the Order of the Solar Temple.	Swiss police confirmed Thursday that cult leader Luc Jouret was among the dead found in the Order of the Solar Temple's fire-gutted chalet in the alpine village of Granges-sur-Salvan.
128	1	Eurest Support Services is a subsidiary of Ernst and Young.	The company, whose registered auditors are Deloitte and Touche, has instructed Ernst and Young to carry out a thorough review of the accounts of Eurest Support Services, a subsidiary which feeds UN peacekeepers in at least eight countries.
134	1	The FDA turned up metal in roughly 200 pills of the 70 million it passed through a metal detector.	A company investigation turned up metal in roughly 200 pills of the 70 million it passed through a metal detector, according to the FDA.
137	1	Industries were defeated by the SEC.	The SEC's new rule to beef up the independence of mutual fund boards represents an industry defeat.
138	1	The Statue of Liberty was built in 1986.	I have a 1986 Coca-Cola Grand Union 100 Year Statue of Liberty pin set.
139	1	Doug Lawrence sold the impressionist oil landscape by J. Ottis Adams	Doug Lawrence bought the impressionist oil landscape by J. Ottis Adams in the mid-1970s at a Fort Wayne antiques dealer.
140	1	All charges of anti-competitive staff poaching were later dismissed.	An initial bid to prevent seven former employees of GM from working for Volkswagen for 12 months was thrown out by a Frankfurt court.
141	1	Charles Haviland is an American citizen.	"""We knew there were restrictions on video cameras and satellite phones but we're now told even pre-recorded radio material on non-political subjects would not be allowed,"" said BBC reporter Charles Haviland on the incident. This move comes after an American was forced off the mountain after being discovered with a Tibetan flag. These are not permitted on the Tibetan side of the mountain. A Nepali official aimed to justify the new restriction. ""We are doing this for our friend China,"" he said."
142	1	Blair belongs to the Church of England.	"Tony Blair, who has yet to release any official comments, said in a BBC documentary last month: ""You know you can't have a religious faith and it be an insignificant aspect because it's, it's profound about you and about you as a human being."" He also said that he had avoided discussing his religious views out of fear of being called ""a nutter."""
144	1	The Counts of Holland supported the Holy See.	The Counts of Holland and Geldern, between whose territories the lands of the Bishops of Utrecht lay, also sought to acquire influence over the filling of the episcopal see. This often led to disputes and consequently the Holy See frequently interfered in the election.
146	1	Responding to a plea from the International Energy Agency for member countries to release reserves, Canada is prepared to help.	The 26-member International Energy Agency said, Friday, that member countries would release oil to help relieve the U.S. fuel crisis caused by Hurricane Katrina.
148	1	Flooding in Europe causes major economic losses.	Floods are one of Europe's most widespread disasters. Major flooding has occurred nearly every year somewhere on our continent during the last few decades.
149	1	Eight people planted two bombs near an Islamic school in Pakistan.	Two bombs planted near an Islamic school in Pakistan killed eight people and injured 42 others yesterday in the latest outbreak of violence gripping the southern port of Karachi.
150	1	The busiest hour for a cab is 9 p.m.	The average cabby works nine and a half hours a day. A cab's busiest hours are 6 to 8 p.m. And even as the economy has fallen deeper into recession, the number of cab rides each day in New York has remained relatively steady.  Those are among the most vivid bits of information about the yellow cab industry to emerge from a trove of new data collected by the Taxi and Limousine Commission from cabs equipped with new computerized systems that record each trip and fare.
151	1	The U.S. light crude is $1.27 a barrel.	U.S. light crude was trading erratically on the New York Mercantile Exchange, hitting $44.50 a barrel before easing back a bit to $44.10, still a gain of $1.27.
153	1	The WTO headquarters is in Bonn.	Nor is it clear whether any US support to Germany, in favour of Bonn as the WTO headquarters, would necessarily tilt a decision in that direction.
156	1	The introduction of the euro has been opposed.	National currencies will be completely replaced by the euro in within six months after the introduction of euro notes and coins.
160	1	Kim Ledger was Heath's son.	"A memorial service has taken place for Australian actor Heath Ledger, who died January 22 in New York. Hollywood celebrities and many other loyal fans bid farewell to the well known actor. His death has been deemed accidental by the New York City Medical Examiner and was attributed to a toxic mixture of prescription drugs and pain killers. The star died in his Manhattan apartment last month. The service was held at Penrhos College in Perth, Australia and was attended by over 100 people, although the actual funeral was only attended by Ledger's close family. Before the funeral, Heath's father, Kim Ledger, said that ""the funeral will be very, very private and there will only be 10 people there, immediate family and nobody else."""
161	1	Gamma rays are forms of electromagnetic radiation.	Gamma ray bursts are some of the most powerful objects observed in the Universe and are thought to signal the birth of black holes. Swift is designed to detect the bursts and automatically re-orient itself to gather images and data of the phenomenon.
162	1	The Ebola epidemic breaks out in Zaire.	There are four identified subtypes of Ebola virus. Three of the four have caused disease in humans: Ebola-Zaire, Ebola-Sudan, and Ebola-Ivory Coast. The fourth, Ebola-Reston, has caused disease in non-human primates, but not in humans.
163	1	Lakers win the championship.	The Los Angeles Lakers rolled over the Indiana Pacers in Wednesday's the opening round game of the NBA championship series.
166	1	Eljvir Duka comes from Turkey.	The men, Dritan Duka, 30, Shain Duka, 28, and Eljvir Duka, 25, all illegal immigrants, were each sentenced to life without the possibility of parole. The three, who operated a roofing business in Cherry Hill, N.J., were among five foreign-born Muslims convicted in December of planning an attack at the base, about 40 miles east of Philadelphia. The attack was never carried out. The other two men who were convicted, Mohamad Shnewer, a Jordanian-born taxi driver from Philadelphia, and Serdar Tatar, a convenience-store clerk from Turkey, are to be sentenced on Wednesday.
168	1	US shuttle Atlantis docks with the Mir space station.	U.S. space shuttle Atlantis and its seven-member crew concluded their pursuit of the International Space Station (ISS) on Wednesday and docked with the orbital outpost at 12:05 EDT (1605 GMT).
173	1	Clinton's book is a big seller.	Clinton's new book is not big seller here.
176	1	Alexander the Great's Tomb remains undiscovered.	The royal tombs at Vergina were identified as the ancient capital of Aigai in the 1930s. A royal tomb identified as possibly Philip II of Macedonia, Alexander the Great's father, was found in 1977 by Manolis Andronikos.
177	1	Both candidates are delivering a great attack in Iowa.	Both candidates are making a major push in Iowa.
178	1	Clark is a relative of Jones'.	The car which crashed against the mail-box belonged to James Clark, 68, an acquaintance of James Jones' family.
179	1	Guatemala accepts the Pet passport as proof of vaccination.	The Pet passport alone can be used to enter the UK, but it will not suffice to enter many countries. For instance Guatemala, like almost every country, demands that all imported pets have a rabies vaccination, but will not accept the Pet passport as proof of said vaccination.
181	1	Greenpeace made a statement about yellow safety jackets.	"Two Greenpeace protestors entered the CBI conference at the Business Design Centre in Islington, London and delayed a speech being made by the Prime Minister Tony Blair, in which he was expected to announce the consideration of further nuclear power stations to offset the increasing gas prices being experienced by industry in the UK. The protestors, wearing yellow safety jackets over business suits, climbed up into the ceiling rafters and held  banners saying ""NUCLEAR: WRONG ANSWER"", and dropped 'radioactive confetti' onto the delegates down below. Greenpeace threatened to make noise and throw missiles at the Prime Minister should he make his speech."
183	1	Nathan Fien is a resident of Australia.	The New Zealand Rugby League team (Kiwis) have been docked two competition points and hooker Nathan Fien barred from playing in the Gilette Rugby League Tri-Nations series. It comes after allegations of Fien's availability to play for the Kiwi's were exposed by a documentation of his birth certificate. At a hearing the Rugby League International Federation ruled that Fien was unable to play for the kiwis as he was Australian born. Instead of his grandmother a resident of New Zealand, it was in fact his great-grandmother. According to Rugby League International Federation chairman Colin Love, the Kiwis thought great-grandparents were as good as grandparents.
186	1	"Patricia Arquette collected best drama actress for psychic crime drama ""Medium"", while James Spader won best actor for ""Boston Legal"" for a second year."	Felicity Huffman and Patricia Arquette became first-time Emmy winners as they received lead actress honors, while Tony Shalhoub and James Spader, once again, proved favorites in the best actor category.
191	1	Drug legalization has benefits.	Some other objections to legalization point to the greater dangers of family violence, reckless driving, or reckless operation of subways and so on.
192	1	The Islamic Resistance Movement is also known as OTN.	OTN profiles the Hamas (Islamic Resistance Movement), which is a Palestinian Islamic fundamentalist group.
193	1	There are many benefits from breast-feeding.	Only 14 percent of U.S. mothers exclusively breast-feed their babies for the minimum recommended six months.
195	1	Swedish prime minister murdered.	Swedish Foreign Minister murdered.
196	1	The nuclear power plant of Sosnovyi Bor suffers an emergency shut down.	A radiation leak at a nuclear power plant in Yeonggwang, South Jeolla province, led officials yesterday to shut down the facility.
197	1	In 1611 the king and his court finally moved from Krakow ( Cracow ) to Warsaw, making it the capital of the Polish state.	In 1596 the Polish king decided to move the capital from Krakow to Warsaw, making Warsaw the most important city in Poland.
198	1	It was Delbert Ward who told authorities that he strangled his brother.	State police investigators testified at a preliminary hearing that Delbert told them the death of the 64-year-old Billy was a mercy killing.
199	1	Two conservation groups have increased the black rhino population.	A joint survey by two conservation groups, World Conservation Union and the World Wildlife Fund, says the black rhino population has risen to over 3,600. That is an increase of 500 animals over the last two years.
200	1	Drug legalization has benefits.	This paper discusses marijuana, crack/cocaine, tranquilizers, hallucinogens, amphetamines, heroin, alcohol, nicotine and caffeine to provide a framework for the author's argument that the legalization of drugs can in no way be deemed as ethical or moral.
201	1	Ebola Epidemic breaks out in Zaire.	A unique feature of previous Ebola outbreaks has been the relative sparing of children. For the first time, an out break of an unusual illness-Ebola haemorrhagic fever occurred in Northern Uganda - Gulu district.
204	1	100 or more people lost their lives in a ferry sinking.	More than 2,000 people lost their lives in the devastating Johnstown Flood.
205	1	Seal-hunting endangers species.	Unlike seal hunting in Canada, where pups are hunted for fur, poachers in China catch seals primarily to sell to zoos or to use the genital organs for traditional Chinese medicine.
206	1	Turks want Gül to be President.	"In reaction to the ongoing uncertainty, the E.U. enlargement commissioner warned the Turkish Army about interfering: ""It is important that the military leaves the remit of democracy to the democratically-elected government and this is the test case if the Turkish armed forces respect democratic secularism and the democratic arrangement of civil-military relations,"" commissioner Olli Rehn said. Erdogan and Gül support Turkey's efforts to join the European Union."
207	1	McDonald's Corp., the world's largest restaurant chain, led the advance after the company reported earnings that exceeded estimates.	McDonald's said overall global sales at its restaurants climbed 6.2% in June, 6.3% in the second quarter and 7.1% for the year to date.
212	1	Jaime Pardo Leal was killed in Moscow.	Moscow (USSR), 12 Jul 89 (PRAVDA)- Blood is flowing in Columbia, where last year, according to official statistics, there were 4,600 victims of political violence, including Jaime Pardo Leal (president of Colombia's national coordination committee), around 30 deputies and many municipal advisors and mayors.
218	1	Zerich bought oil from Iraq during the embargo.	In all, Zerich bought $422 million worth of oil from Iraq, according to the Volcker committee. In the early 1990s after the Soviet Union collapsed, Rich quickly became the most powerful trader there.
221	1	A typhoon batters the Philippines.	Typhoon Xangsane was downgraded to a tropical storm Sunday as it moved inland from the central Vietnam coast, where it killed two people, injured at least 80 others and damaged hundreds of homes, officials and state-controlled media reported.
222	1	Israel will not prosecute the police who killed 13 Israeli Arabs during pro-Palestinian protests in 2000, because of a lack of evidence, an official inquiry said yesterday.	An Israeli judicial inquiry has ruled out prosecuting the police officers who shot dead 13 Israeli Arabs during a violent demonstration in 2000.
224	1	Dean invented a revolver.	James Kerr had been the foreman for the Deane, Adams and Deane gun factory. Robert Adams, one of the partners and inventor of the Adams revolver, was Kerr's cousin.
227	1	Regina Shueller works for Italy's La Repubblica newspaper.	ECB spokeswoman, Regina Schueller, declined to comment on a report in Italy's La Repubblica newspaper that the ECB council will discuss Mr. Fazio's role in the takeover fight at its Sept. 15 meeting.
234	1	Maglev is commercially used.	The M-2000 uses a commercially manufactured NbTi superconductor, similar to that used in the M-2000 Maglev magnets.
235	1	Claudia Lawrence resides in Malton.	Concerns have been raised that potential leads in the hunt for missing York woman Claudia Lawrence are not being followed up quickly enough. It comes after hotel staff in Malton contacted police after a stranger in the bar expressed satisfaction when asked if the chef was still missing. The incident happened more than three weeks ago and staff said detectives had not yet been in touch. Police said leads were being assessed in a methodical and structured way.
236	1	Gabriel Garcia Marquez was a conservative politician.	Gabriel Garcia Marquez was a liberal thinker whose left-wing politics angered many conservative politicians and heads of state. His job as a reporter for the Cuban news agency Prensa Latina, in 1960, and and friendship with Fidel Castro resulted in his being ultimately denied entry to the United States for political reasons.
237	1	Cox 2 inhibitors are pain relief drugs.	He said a new study might include more than just Cox 2 drugs possibly adding such widely used painkillers as Ibuprofen naproxen and diclofenac.
240	1	Saudi Arabia produces more oil than any other country.	Saudi Arabia's production mix will shift to a higher proportion of lighter crudes. Unlike last year's Qatif and Abu Safah developments, nearly all of the proposed projects produce Arab Light or lighter crudes.
241	1	Ocean remote sensing is developed.	We are committed to the deployment of these technologies and are excited by the advances in remote sensing technology that are enabling us to extract more information from sensors in a cost-efficient and timely manner.
244	1	Luong threw his children off a bridge in Louisiana.	"Family members and friends told Fox News that the couple had been fighting over several things, including Luong's girlfriend, on Sunday evening and Monday morning. Luong later drove off with his four children, whom he reported missing to the police and claimed he had left them with his girlfriend who lives in a hotel. Police however became suspicious due to ""holes in his story"" and he later changed his story. The Associated Press say that the authorities believe that Dauphin Island Bridge is where Luong threw the four children, of which he was the biological father of three, into the water."
245	1	Luis Roldan was director of police from 1986 to 1993.	Madrid: Luis Roldan, the former Spanish chief of police who fled the country 10 months ago after allegedly hiving off millions of pounds from secret government funds, was on his way home to a prison cell last night after being captured in Bangkok.
246	1	Tour de France winner is likely to lose the crown.	David Millar retained his Tour de France leader's yellow jersey despite crashing in the final two kilometres of the third stage of the race to Nantes.
247	1	In 2000 there were 301 divorces in Bulgaria.	In 2000 there were 10,578 divorces in Bulgaria, which represents 301 divorces per 1000 marriages or a 1.3% divorce rate per 1000 inhabitants.
249	1	Germany is concerned about the effect of the court investigations on domestic economic and political affairs.	The VW chief has been under intense pressure from the Bonn government and colleagues in German industry to seek conciliation following his outspoken statements last, which were widely seen as damaging Germany's reputation.
251	1	Dietary intake of potassium prevents osteoporosis.	One reason for increased osteoporosis in developed countries is the sodium-potassium imbalance.
253	1	Animals have died by the thousands from drinking at cyanide-laced holding ponds.	Most of the mines are in arid areas and animals searching for water are attracted to the cyanide-laced holding ponds that are an integral part of the mining operations.
